,Ilp4,CG8147,tsh,fkh,ImpE2,dan,apt,CG43394,Antp,knrl
,Cyp310a1,ImpL2,Ama,D,kni,noc,twi,disco,edl,bun
3,1364,1325,1363,1250,1401,1288,1439,1323,1438,1361
24,981,983,831,907,869,985,868,946,982,908
28,1099,1136,1060,1059,1176,1097,1098,1061,1137,1250
29,2680,2641,2679,2681,2716,2717,2678,2720,2639,2718
40,2401,2246,2514,2207,2284,2243,2169,2245,2206,2167
44,881,954,917,880,916,879,919,920,995,953
49,1504,1658,1503,1659,1543,1696,1582,1581,1694,1620
60,210,173,286,174,247,172,248,287,209,285
79,794,755,719,792,681,717,1175,721,680,718
86,1160,1123,1158,1119,1081,1043,1157,1195,1122,1083
87,280,277,276,240,241,242,239,238,237,312
106,1112,1111,3007,2936,1149,1073,1113,1150,1110,1151
108,3030,1520,1558,1634,1557,2956,1672,1632,2996,1633
114,172,286,247,287,249,322,285,324,248,362
122,1405,1367,1402,1290,1557,1251,1400,1632,1668,1670
142,1125,1126,1087,1164,1088,1049,1163,1124,1127,1123
161,1479,1517,1516,1554,1364,2944,1288,1556,1515,1518
166,2973,96,132,175,97,136,176,95,212,94
169,462,500,464,501,502,465,427,503,466,423
171,2678,2639,2679,2716,2677,2676,2638,2717,2718,2641
175,289,327,329,328,286,364,365,366,291,247
186,1088,1050,1126,1013,1051,1049,1089,1087,1127,1052
193,1063,1062,1064,1290,1025,1251,1024,1026,1178,1023
231,1041,1003,1231,1155,1270,1153,3035,1190,1075,1269
239,1520,1557,3030,1556,1519,1558,2970,1555,1444,1482
243,291,3009,330,442,292,370,331,369,406,293
253,3014,1214,1216,1213,1175,1252,1139,1063,1253,1098
284,1013,1128,1089,1052,1051,1088,1127,1126,1125,1090
289,347,346,310,345,306,311,348,3032,349,313
307,1165,1167,1204,1052,1013,1205,1202,1128,1091,1203
312,263,340,303,342,2935,304,301,265,341,416
316,1084,1047,1085,1009,1122,1086,1045,1048,1083,1124
323,921,922,883,960,884,919,920,923,882,885
324,683,607,3016,645,684,719,646,682,642,721
327,1567,1568,1644,1682,1569,1607,1683,1530,1532,1645
350,1193,1042,1155,1192,1230,1270,1231,1191,1348,1268
353,977,900,976,938,939,1014,1130,824,901,1055
363,303,2935,301,339,304,338,376,299,377,337
380,1014,896,823,862,863,899,819,824,821,818
388,3007,2936,1110,1149,1111,1112,1073,1071,1148,1146
390,2023,2022,1984,2098,1986,1945,2136,2252,1982,2972
391,3030,1632,1557,2956,2996,1520,1670,1558,1633,1634
397,23,21,20,19,17,62,15,54,2937,25
399,2941,785,709,747,782,824,745,783,781,748
