,Ilp4,CG8147,tsh,fkh,dan,ImpE2,apt,knrl,Cyp310a1,CG43394
,Ama,Antp,edl,ImpL2,oc,disco,D,kni,bun,noc
6,1400,1361,3008,1399,1401,1438,1362,1363,1439,1324
7,491,490,492,453,529,530,568,454,455,566
21,2936,3007,1112,1111,1073,1149,1110,1113,1150,1071
31,1384,1193,1348,1347,1386,1349,1230,1270,1192,1385
62,804,799,883,769,919,882,921,807,884,920
71,341,379,377,448,830,450,449,453,2941,490
75,1632,1668,1557,1670,1708,1671,1706,1405,1594,2970
77,2239,2242,2199,2049,2241,2126,2280,2087,2164,2086
80,2030,2104,2102,2105,2066,2143,2067,2028,2068,2069
94,1249,1440,1821,1177,1898,1405,1557,1367,1632,1936
104,3016,757,529,566,568,798,531,720,606,756
105,225,300,226,264,302,262,261,187,301,189
111,1189,1151,1226,1228,1190,1113,1150,1153,1227,1152
121,1085,1122,1161,1084,1162,1198,1124,1047,1086,1125
124,1219,1218,1179,1181,1106,1180,1143,1141,1182,1142
125,1428,1466,1391,1349,1387,1424,1348,1386,1236,1199
147,1164,1128,1163,1127,1126,2977,1162,1129,1089,1166
154,925,923,960,924,885,961,886,848,922,926
164,1214,3014,1252,1213,1253,1216,1291,1175,1215,1292
172,377,417,454,453,418,492,455,456,490,416
189,1375,1414,1413,1412,1373,1335,1409,1410,1374,2951
190,1053,1052,1015,1128,1013,1091,1092,1054,1129,977
226,2678,2679,2639,2638,2717,2641,2716,2718,2681,2680
229,1400,1361,1440,1401,1402,1362,3008,1324,1363,1399
258,1428,1391,1466,1349,1387,1236,1199,1348,1386,1424
283,286,247,249,285,324,287,322,172,362,288
286,1167,1205,1200,2994,1206,1130,1165,1204,1202,1131
292,1196,1160,1236,1349,1348,1198,1199,1387,1123,1159
296,1384,2949,1268,1383,1345,1304,1422,1230,1307,1155
301,2949,1304,1266,1228,1343,1229,1268,1226,1227,1265
303,1252,1214,3014,1290,1213,1178,1251,1216,1291,1140
309,3014,1252,1214,1178,1253,1216,1175,1140,1176,1213
343,2030,1995,2028,2066,1994,2068,2067,2183,2182,2104
346,1175,985,2943,1212,1253,1176,1099,949,983,1288
364,263,340,301,342,2935,303,336,338,378,299
365,2161,2160,2200,2198,3001,2197,2201,2238,2237,2233
375,2949,1228,1226,1914,1913,1189,1190,1304,1384,1266
377,416,415,377,414,418,417,454,456,452,453
381,1045,1084,1009,1083,1047,1122,1082,1085,1048,1086
392,747,786,2941,748,824,709,749,787,785,711
393,1042,1075,1192,1190,1155,1193,1191,1153,997,1230
403,775,776,739,814,813,850,815,778,852,741
