,Ilp4,tsh,fkh,CG8147,ImpE2,dan,knrl,apt,kni,Cyp310a1
,CG43394,ImpL2,Ama,D,Antp,oc,fj,noc,nub,disco
4,85,166,126,125,162,165,89,3012,168,53
16,2837,2794,2799,2874,2840,2796,2835,2839,2760,2795
20,459,498,384,2978,497,536,344,457,537,535
22,1059,1097,1058,1060,983,1020,982,1136,985,981
38,1063,3014,1214,1177,1064,2943,1213,1023,1216,1026
57,1120,1158,1119,1157,1121,1081,1196,1195,1156,1043
68,2710,2673,2668,2749,2672,2709,2633,2982,2671,2670
91,131,132,235,205,130,129,206,204,95,309
109,994,996,995,993,992,917,1031,1030,1072,2986
132,114,34,37,74,68,35,71,73,72,32
135,263,265,224,185,340,301,3013,151,303,304
148,2719,2717,2758,2760,2756,2716,2757,2678,2797,2754
179,1365,1404,1327,1403,1366,1328,1289,1326,1329,1291
183,1506,1467,1505,1544,1469,1507,1508,1546,1427,1509
187,1164,1127,1126,1089,1088,1163,1087,2977,1051,1049
188,1010,932,935,930,974,936,818,975,937,899
201,1128,1052,1091,1129,1013,1015,1092,1090,2977,1089
202,2253,2176,2208,2101,2209,2985,2177,2211,2139,2247
213,434,435,321,319,356,396,436,359,320,395
222,794,792,755,717,754,831,793,718,681,679
233,86,2928,48,52,51,19,2981,54,10,41
238,1261,1299,1336,2988,1069,1337,1374,1031,1334,1068
248,1176,1252,1175,1290,1253,1099,1251,1214,3038,3014
250,1294,1256,1255,1257,1370,1332,1296,1333,1408,1371
255,1504,1503,1427,1502,1464,1658,1659,1433,1696,1694
268,528,451,532,452,3016,529,568,491,415,566
281,1099,1136,1175,1176,1212,1060,1250,1059,1097,1058
282,1479,2989,1517,1557,1520,1516,3030,1554,1480,2944
288,1063,1139,1023,1062,1101,1174,1138,1100,1215,1137
298,1557,3030,1520,1558,1634,1405,1632,1519,2970,1672
300,1442,1404,1403,1365,1402,1366,1327,1405,1328,1329
310,1268,1304,1229,1230,1266,1191,2949,1228,1192,1193
317,2949,1304,1384,1266,1533,1268,1229,1343,1230,1227
318,1048,1086,1049,1047,1125,1009,1087,1085,1124,1050
329,1268,1304,2949,1229,1266,1230,1191,1228,1153,1192
335,1466,1384,1155,1195,1157,1158,1154,1194,1160,1193
358,588,550,583,514,587,621,3033,551,552,622
362,909,1140,1178,1177,793,874,906,829,1249,642
367,1418,1380,1383,1417,1495,1379,1456,1416,1878,1988
387,642,2938,646,603,565,758,684,564,644,795
396,1099,1061,1176,1136,1100,1175,1138,910,1098,1212
415,2687,2651,2725,2730,2770,2689,2690,2654,2692,2695
422,442,443,403,517,518,481,479,441,407,444
441,1978,1939,1980,1979,2016,1981,1866,1902,2931,2017
442,1389,1428,1236,1196,1199,1121,1391,1198,1195,1429
452,1214,1213,1328,1291,1289,3014,1366,1329,1327,1252
465,60,21,23,61,58,64,138,54,56,65
476,1037,1074,1038,999,1342,1305,1001,998,961,1036
478,1159,1236,1198,1195,1196,1082,1157,1083,1158,1194
484,1128,1129,1091,1166,2977,1167,1052,1090,1205,1130
500,1049,1087,1125,1088,1050,1126,1086,1048,1124,1164
525,1405,1406,1364,1402,1519,1401,2943,1556,1325,1479
526,1125,1126,1087,1088,1013,1164,1127,1128,1049,1089
530,326,323,325,289,362,364,212,213,251,327
539,960,923,961,921,928,922,885,1002,883,1382
541,1599,1636,1597,1638,1637,1447,1484,1448,1674,1485
543,2596,2634,2557,2748,2788,2597,2711,2594,2708,2669
550,637,675,711,748,714,749,709,747,405,752
564,2641,2680,2681,2643,2640,2678,2717,2720,2716,2682
565,2155,2305,2192,2116,2152,2115,2227,2352,2114,2076
567,1252,1251,1290,1214,1213,3014,1098,1289,3038,1328
583,2755,2753,2754,2756,2757,2715,2714,2719,2758,2717
590,2943,1288,1364,1402,1325,1363,1401,1479,1517,1439
591,1995,2105,2183,2182,2143,2145,1994,2028,2030,1384
606,2933,112,109,150,75,71,107,111,148,149
612,923,960,961,885,922,925,1038,1037,921,1074
628,1100,1138,1137,1177,946,1173,1135,909,1061,910
631,1557,3030,1520,1558,1556,1519,1632,2970,1555,1481
638,287,291,286,364,325,247,2995,365,324,251
648,1400,1174,2963,1215,1134,1096,1097,1133,1095,1364
666,3014,1214,1252,1213,1178,1140,1290,1139,1098,1216
691,3014,1214,1098,1063,1023,1213,1099,1216,1176,1064
728,1557,3030,1632,1670,2956,1634,1558,1671,2989,1520
738,1058,1019,1020,1057,1096,1091,1097,1129,1128,1052
748,977,1054,1015,1053,900,864,1055,1092,978,1016
799,1675,1674,1637,1712,1713,1636,1599,1866,1676,1750
800,1384,1460,1193,1386,1348,1230,1347,1268,1385,1424
802,1060,1176,3038,1099,1059,1175,1252,1097,1063,1136
811,1177,1249,1440,1402,1741,1744,982,1063,1064,1858
821,934,1125,1130,858,899,896,1196,1055,864,1392
839,481,442,443,588,517,518,709,595,521,590
851,1125,1164,1163,1126,1087,1127,1162,1200,1124,1088
