,Ilp4,CG8147,tsh,fkh,ImpE2,dan,knrl,CG43394,Ama,apt
,Cyp310a1,ImpL2,Antp,twi,kni,D,nub,oc,disco,noc
19,812,851,811,849,889,887,926,809,818,927
23,1442,1402,1480,2989,1401,1441,1440,1400,1478,1329
25,32,35,38,68,74,2937,36,34,28,30
42,777,812,475,438,437,433,435,811,2958,434
45,1264,1298,1262,1222,1224,1185,1183,1184,1225,1340
53,895,894,893,934,857,855,856,892,858,817
55,607,645,682,646,643,720,722,644,569,760
61,1290,1252,1251,1367,1400,987,986,1402,984,947
100,1520,1557,1558,3030,1519,1443,1444,1481,1556,1482
102,1214,3014,1213,1291,1216,1328,1252,1253,1292,1176
117,1084,1083,1122,1045,1085,1047,1082,1009,1159,1086
118,2365,2367,2287,2288,2325,2251,2400,2362,2286,2249
119,1158,1121,1122,1120,1083,1119,1081,1084,1045,1043
123,1391,1429,1394,1428,1389,1163,1395,1164,1199,1162
145,1405,1406,1402,1557,1520,3030,1558,1442,1443,1481
159,1290,1252,1251,1328,1289,1366,1213,1327,1291,1214
170,1405,1557,1520,3030,1406,1558,1632,1556,1402,1519
182,1598,1559,1561,1560,1521,3034,1600,1523,1562,1522
184,1405,1406,1402,1520,1557,1442,1558,3030,1443,1444
185,985,910,946,983,986,871,947,908,948,1060
192,532,3016,531,568,530,570,493,528,529,491
197,1161,1162,1199,1200,1125,1124,1198,1085,1163,1236
198,443,442,444,441,479,3017,406,403,519,521
200,2485,2523,2524,2561,2487,2447,2562,2598,2484,2601
207,2037,2074,2075,2076,2112,2035,2114,2034,2113,2111
211,2982,2674,2673,2710,2672,2675,2713,2637,2676,2633
232,2937,32,38,35,68,22,30,24,74,28
237,1413,1718,1716,1527,1756,1567,1602,1715,1564,1755
251,1435,1433,1434,1472,1131,1587,1504,1739,1440,1503
263,2949,1533,1384,1304,1266,1613,1268,1229,1227,1226
273,1427,1389,1428,1426,1391,1429,1467,1236,1505,1199
280,1125,1200,1202,1201,1165,1238,1203,1163,1164,1087
293,1422,1382,1344,1420,1305,1342,1346,1423,2949,1384
299,1128,1129,1091,1090,1052,2977,1166,1089,1167,1127
306,1391,1394,1163,1164,1125,1200,1428,1127,1315,1162
311,1445,1446,1598,1559,1561,1560,3034,1407,1521,1409
330,758,568,529,531,570,566,530,491,795,493
342,1627,1400,1668,1401,1402,1706,1665,1780,1704,1632
351,397,432,470,394,472,473,471,393,469,392
361,505,514,474,583,424,384,425,3033,386,517
385,474,595,633,670,672,634,598,707,597,671
398,1063,1178,1140,1062,1064,1025,1024,1026,1139,1101
401,1053,1052,1015,1128,1091,1013,1054,977,1092,1130
406,761,762,763,2986,724,725,799,915,723,952
421,3014,1252,1214,1213,1290,1178,1251,1216,1140,3038
436,1045,1009,1084,1082,1083,1047,1122,1085,1048,1086
437,1122,1084,1085,1121,1047,1083,1045,1086,1161,1120
446,2141,1878,2180,2292,2181,2218,2182,2217,2293,2291
459,1128,1164,1127,1129,1166,2977,1205,1163,1167,1126
464,2668,2633,2672,2710,2670,2671,2673,2709,2982,2704
467,1099,1176,1175,1136,2943,910,1212,946,1254,1253
471,1194,1195,1117,1156,1152,1157,1308,1153,1155,1232
480,735,772,697,774,773,696,810,771,733,737
488,1115,1152,1114,1117,1076,1194,1078,1156,1118,1079
519,263,301,340,299,339,303,338,378,2935,342
523,278,276,279,318,275,280,239,237,240,238
524,1335,1375,1298,1409,1297,1408,1294,1407,1296,1219
529,1470,1391,1427,1429,1433,1394,1428,1469,1467,1506
536,317,316,315,314,313,235,311,3032,233,241
548,2989,1517,1479,2944,1557,1554,1632,1516,1593,1668
551,1116,1077,1154,1153,1078,1155,1117,1192,1114,1152
561,2832,2830,2829,2796,2868,2828,2870,2826,2873,2827
570,1668,1405,793,1821,1406,1557,987,1520,986,3030
579,801,840,839,803,878,800,838,841,763,877
584,397,436,399,435,434,398,361,400,359,364
588,1128,1129,1091,2977,1166,1052,1127,1090,1089,1167
602,1264,1226,1225,1187,1302,1227,1189,1149,1262,1340
604,1193,1384,1422,1346,1192,1010,1230,1423,1268,1191
622,1442,1405,1367,1480,1402,1404,1403,1443,1441,1481
636,84,617,618,654,2965,124,81,41,47,619
652,542,500,502,503,2958,504,462,465,466,464
667,777,776,739,814,812,775,778,815,813,816
688,1246,1132,1169,1055,1322,1129,1361,1091,1130,1058
695,1310,1272,1422,1312,1275,1352,1314,1276,1277,1430
700,670,633,707,595,709,2941,671,672,668,710
702,1252,1290,1253,3038,1251,1176,1175,1405,1254,1406
707,2027,1951,2108,2064,2063,2139,2025,2101,2261,2177
708,166,126,125,168,165,136,3012,162,169,167
709,1129,1128,1205,1130,2994,1167,1091,1166,1206,1282
710,2025,2062,2061,2064,1984,1949,2024,2100,1951,1945
718,538,539,576,501,578,540,580,496,575,534
719,403,365,364,407,408,401,287,404,442,405
730,1422,1496,1534,1571,1532,1612,1421,1420,1382,1650
731,1177,1063,987,1062,1064,986,1249,1025,1023,988
751,1158,1157,1195,1119,1159,1156,1081,1194,1198,1236
762,327,364,328,365,289,366,404,291,329,367
763,1466,1995,2037,1460,2074,2034,1429,2075,2076,2035
765,1632,1557,1670,3030,2956,1708,1671,1668,1634,1558
782,1015,1053,1054,900,977,1092,1055,1013,1130,1052
784,1264,1223,1339,1260,1261,1299,2988,1337,1259,1221
785,570,532,568,531,529,528,566,530,493,491
797,1479,1517,1516,2944,1554,1593,1519,1556,1592,1515
836,1219,1218,1446,1179,1445,1181,1180,1298,1141,1143
837,1245,1419,1093,1014,1741,1381,1400,1776,1732,896
875,1176,3014,1175,1214,1253,1138,1099,1213,1254,1100
888,1038,1037,999,1074,1001,998,961,1000,1036,1039
894,74,35,37,34,32,38,68,73,114,72
903,1010,1346,1422,1465,1423,1193,1462,1463,1384,1275
912,1383,1384,1357,1387,1349,1424,1386,1348,1385,2963
917,757,720,796,798,759,756,832,760,794,721
921,1426,1236,1196,1389,1427,1198,1199,1159,1428,1161
922,162,125,126,164,3012,123,163,165,161,166
957,1422,1037,1038,1074,999,1382,1344,1153,1420,1001
988,168,166,169,165,167,126,3012,206,172,204
1003,1408,1407,1409,1370,1369,1371,1410,1333,1331,1332
1038,1205,1167,2994,1282,1168,1395,3004,1358,1206,1283
1042,3014,1062,1098,1063,1214,1024,1025,1023,1216,1213
1047,959,958,957,1264,956,955,918,1191,1230,1192
1052,2949,1304,1380,1340,1266,1302,1264,1418,1229,1227
1053,1328,1366,1291,1327,1404,1329,1289,1365,1403,1213
1057,1068,1069,1070,1030,989,1031,1027,1032,1146,992
1069,624,661,623,658,662,2955,585,621,625,584
1088,1116,926,1077,889,1154,1155,888,1115,887,1120
1091,1433,1472,1434,1471,1510,1396,1587,1470,1397,1549
1096,1177,1215,1139,1101,1174,1249,1102,987,986,911
1116,1085,1124,1162,1161,1086,1122,1047,1084,1087,1199
1136,325,287,2995,286,362,326,285,247,324,363
1145,1125,1163,1164,1200,1162,1127,1126,1123,1124,1087
1155,1290,1328,1252,1291,1366,1251,1329,1289,1367,1214
1168,702,704,703,667,740,474,701,668,700,475
1183,172,249,360,325,289,247,362,322,358,398
1191,1402,1442,2989,1401,1553,1744,1591,1668,1400,1629
1215,341,379,416,340,380,378,415,342,263,414
1217,425,462,426,464,463,500,427,465,389,502
1218,530,493,532,455,531,568,492,491,415,454
1239,1516,1479,1517,1554,1515,2944,1476,1514,1592,1552
1271,3014,1214,1216,1213,1291,1292,1328,1329,1289,1176
1281,1427,1196,1689,1732,1121,1195,1688,1495,1120,1158
1283,948,986,949,947,987,988,984,795,797,798
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
