,Ilp4,CG8147,fkh,tsh,dan,ImpE2,CG43394,knrl,apt,Ama
,Cyp310a1,ImpL2,twi,kni,Antp,D,noc,oc,nub,bun
1,175,214,174,213,176,252,2973,212,173,251
2,896,821,822,785,898,897,784,783,860,2941
9,1146,1106,1071,1110,1070,1108,1032,1220,2936,1258
12,1164,1163,1126,1127,1087,1162,1124,1088,1089,2977
27,286,253,287,251,406,365,215,324,442,364
30,1228,1264,1153,1189,1190,1226,1151,1339,1115,1152
36,347,462,349,464,348,427,500,465,312,3032
41,1249,2049,2007,2086,2126,1177,2087,2081,2164,2199
51,2735,2984,2730,2734,2772,2698,2769,2969,2806,2767
56,172,3009,292,290,249,256,362,364,291,282
58,1405,1406,1440,1442,1402,1481,1367,1443,1482,1444
69,3014,1216,1214,1291,1213,1292,1328,1329,1330,1063
81,1466,1123,1160,1053,1128,1129,1092,1158,1014,1397
90,1138,1100,1176,1137,1061,1099,1175,1136,1139,1212
95,985,1401,983,1060,1097,1059,987,986,981,988
115,1128,2977,1127,1129,1166,1089,1164,1091,1090,1052
130,1078,1115,1114,1117,1076,1080,1152,1118,1079,1156
131,1155,1422,1153,1002,1038,1001,1037,1154,1151,1116
143,889,774,777,773,812,809,888,810,811,849
157,1176,3038,1254,1252,1063,1099,1253,1175,1064,1062
167,1099,1136,1176,1175,1060,1212,1059,1250,1097,1020
180,32,35,68,38,74,34,28,36,66,30
209,1270,1269,1231,3035,1307,1306,1347,1345,1348,1267
212,297,336,301,416,377,299,303,375,339,374
228,909,911,986,873,947,948,950,987,949,912
264,868,902,869,901,940,448,908,907,834,523
275,2018,2056,1982,2019,1945,1978,1939,2094,1979,2095
304,415,416,454,417,455,456,492,414,418,453
308,341,379,377,418,340,263,417,378,380,454
315,719,721,681,720,683,645,682,680,757,760
328,1144,1182,1105,1145,1143,1107,1183,1181,1184,1142
331,1214,1213,3014,1289,1328,1252,1291,1290,1176,1327
344,1405,1557,1520,3030,1406,1402,1558,1632,1556,1519
357,1252,1290,1291,1328,1329,1214,1251,3038,1367,1366
360,1152,1114,1076,1113,1151,1112,1115,1078,1153,1117
366,1121,1120,1155,1160,1123,1158,1081,1043,1119,1196
372,1219,1218,1181,1294,1180,1256,1179,1257,1143,1296
374,707,709,2941,670,633,747,671,595,672,748
379,1080,1118,1117,1156,1081,1119,1043,1078,1120,1079
394,720,645,607,682,760,646,684,2938,643,722
404,2860,2896,2907,2902,2899,3003,2911,2895,2894,3028
409,598,637,636,599,675,597,674,634,711,635
410,1391,1428,1163,1429,1199,1389,1164,1162,1161,1394
416,280,241,242,240,239,238,201,276,319,317
435,976,938,973,1012,972,939,971,901,933,1200
439,1249,1177,1215,1286,1248,1210,1328,1288,1327,1174
450,1384,1193,1268,1230,1228,1269,1192,1190,1307,1347
457,518,443,480,517,442,481,519,444,556,482
470,1407,1409,1294,1408,1369,1296,1371,1255,1297,1370
487,1177,2943,1138,1137,1288,1100,1061,1215,1173,1210
492,263,340,301,303,342,304,378,265,339,299
497,1297,1221,1296,1258,1259,1220,1223,1336,1260,1257
504,1328,1291,1366,1329,1289,1214,1213,1327,1290,1292
528,224,151,148,3013,185,187,189,2957,113,226
531,1115,1114,1152,1190,1075,1228,1189,1188,1150,1042
545,110,71,76,72,73,31,107,106,2933,147
558,1495,1457,1613,1688,1687,1612,1609,1383,1533,1459
574,1190,1189,1228,1152,1150,1151,1226,1114,1113,1075
587,2030,2069,2068,2143,2067,2105,1994,2104,1987,2028
596,1257,1256,1294,1296,1258,1220,1219,1217,1255,1218
600,1392,1390,1243,1245,1430,1393,1244,1355,1354,1352
611,1249,1177,1210,1248,1286,1096,1062,1174,1023,985
625,749,787,748,711,786,747,824,3029,864,675
643,1168,1130,1131,1167,1055,1205,1053,1206,1169,1092
645,982,1668,1249,984,947,986,987,830,948,981
646,1840,1878,1879,1841,1917,1802,1838,1880,1842,1875
650,1115,1153,1077,1152,1116,1114,1190,1151,1154,1113
663,1252,1176,3038,1253,1290,1175,1254,1251,1099,3014
673,1069,1335,1068,1106,1031,1030,1219,1067,1181,1147
674,365,368,287,364,286,2995,324,403,362,440
683,1423,1420,1385,1424,1345,1343,1382,1386,1347,1387
706,2941,823,785,862,707,938,976,825,777,901
729,653,660,659,573,656,615,655,692,694,693
742,1384,1422,1385,1613,1424,1383,1347,1386,1345,1387
759,1439,1438,1403,1478,1365,1440,1362,1402,1326,1442
760,871,910,872,908,834,946,835,907,757,869
769,1800,1685,1760,1840,1761,1683,1612,1534,1650,1496
771,1252,1290,1253,1251,1176,1175,1214,1213,1328,3038
781,2028,2066,1995,1994,1840,2068,2067,2104,1879,2069
789,32,68,35,34,38,28,74,66,26,2937
831,1739,1587,1815,1651,1777,1612,1627,1650,1890,1811
841,2791,2790,3028,2794,2831,2860,2792,2907,2751,2833
846,889,926,1115,887,888,849,928,811,890,812
856,1479,1364,1401,1518,1516,1517,1477,1363,1439,1441
859,1361,1169,1055,1323,1130,1172,1132,1286,1057,1248
863,424,422,498,460,459,420,497,3011,536,382
869,324,286,247,322,397,249,438,285,319,362
871,1290,1251,1364,1252,1402,1253,1405,1367,1250,1325
872,607,682,3016,642,645,643,646,644,684,606
874,985,910,871,946,872,983,986,908,948,947
901,201,162,241,240,239,125,242,238,168,280
929,1178,1215,1063,1139,1062,1101,1140,1064,1025,1024
949,1384,2949,1383,1533,1345,1268,1422,1460,1307,1304
950,1230,1154,1192,1191,1268,1193,1116,1229,1077,1117
962,709,748,711,747,749,2941,786,637,673,824
968,1038,999,1192,1001,1191,998,1000,1230,1229,1193
973,1668,1557,1632,3030,1405,1670,1520,1821,1558,2956
984,2949,1304,1228,1266,1229,1268,1190,1189,1227,1230
991,1177,1249,909,945,1215,911,1139,1174,950,1210
1022,1479,1517,2944,1516,1554,1553,1593,1591,1592,1629
1027,2943,1288,1479,1442,1517,1516,1553,1439,1518,1554
1034,2797,2757,2760,2758,2719,2755,2756,2718,2804,2754
1043,1153,1151,1188,2992,1113,1265,1155,1112,1228,1190
1062,66,58,68,32,34,26,56,28,20,35
1063,1130,1125,1053,1131,1128,1092,1129,1055,1015,1168
1066,2161,2200,2201,1897,2047,2160,1858,3001,1934,2124
1067,1833,1945,1982,2018,1984,2019,2056,2022,2095,2094
1081,607,682,606,567,605,643,644,646,569,642
1092,3028,2790,2791,2753,2714,2755,2794,2713,2715,2754
1127,1422,1423,1346,1420,1382,1344,1384,1305,1342,2949
1138,864,675,1055,792,787,754,749,1131,786,755
1141,987,986,949,988,948,947,984,793,794,795
1144,1384,1613,1268,1195,2949,1193,1230,1194,1533,1154
1146,1252,1176,1290,1253,1175,1251,3038,1212,1250,1099
1147,1099,1176,1060,1175,1062,1136,1063,1059,1024,1025
1151,3014,1177,1214,1216,2943,1213,1098,1291,1176,1328
1153,1062,1178,1063,1252,1140,1023,1290,1024,1251,1025
1154,1254,3038,1176,1252,1253,1290,1175,3014,1178,1063
1156,800,801,725,838,687,763,685,839,723,840
1164,1392,1390,1423,1923,1965,1346,2156,1420,2037,2034
