,Ilp4,CG8147,tsh,fkh,ImpE2,dan,knrl,apt,CG43394,Cyp310a1
,Ama,kni,ImpL2,Antp,twi,edl,D,disco,oc,bun
,nub,noc,gt,run,aay,fj,croc,h,lok,zfh1
,sna,Mes2,Btk29A,danr,dpn,Traf4,Blimp-1,MESR3,brk,Kr
14,1055,1130,2683,2721,2717,2723,2641,2718,2759,2754
37,341,416,415,379,342,454,494,414,377,418
39,757,831,794,869,755,983,1059,988,868,835
64,1533,1613,1650,1384,1768,1879,1615,1724,1691,3020
78,2936,1033,1075,1073,1074,1071,1037,1069,1146,1070
89,478,516,324,1055,399,247,773,286,437,438
92,304,225,263,265,226,300,185,187,227,302
99,1186,1228,1226,998,1189,1188,1224,1149,959,996
101,1093,977,1054,1017,1016,979,938,940,901,865
107,94,93,128,57,129,59,95,98,96,58
116,1460,1422,2972,1383,1420,2328,2251,2332,2979,2250
126,94,134,168,129,162,135,164,166,174,165
129,1273,1122,1350,1083,1388,1086,1124,1085,1084,1197
134,2011,2051,2052,2048,2050,2013,1973,1935,3027,2012
138,2512,2511,2513,2588,2550,2283,2471,2320,2510,2589
139,874,873,912,950,1252,1214,911,2943,1289,1291
144,938,901,972,970,940,971,1012,900,939,976
163,1250,1175,1212,1367,1556,1099,2943,1097,2970,1140
165,1520,1482,1557,3030,1558,1556,2970,1444,1634,1252
176,2485,2520,2332,2521,2598,2560,2990,2561,2523,2600
177,1321,2298,2296,2179,2221,2345,2347,2334,2220,2335
194,1282,1353,1358,1319,1052,1013,2994,1283,1320,1245
196,1226,1189,1150,1228,1149,1111,1190,3007,1227,1148
199,2668,2592,2593,2594,2633,2589,2557,2635,2939,2626
206,657,685,656,690,803,621,653,768,658,609
208,303,342,340,2935,341,263,416,301,415,414
215,1086,1088,1163,1050,1164,1051,1090,1124,2977,1087
223,1197,1274,1237,1235,1273,1159,1350,1388,1424,1085
240,263,340,224,303,225,342,304,189,300,2935
242,504,542,468,2958,466,429,503,463,465,467
245,792,755,789,675,790,754,864,713,717,565
252,1291,1215,1214,1292,1253,1252,1328,1213,1329,1289
262,1922,1885,1881,1921,1923,2946,1959,1958,1961,1998
270,3039,1413,1033,1028,1939,1408,1070,1409,1794,995
274,709,747,746,748,749,711,635,707,789,673
279,820,824,822,825,853,787,819,817,786,855
285,1215,1897,1249,1934,1291,1328,1214,1253,2050,1709
302,1724,1725,1954,1995,1763,2067,2068,2070,2219,2069
305,1897,1934,1215,987,2050,986,985,2013,2048,947
326,2213,2322,2990,2323,2326,2021,2247,2364,2020,2207
348,1557,1898,1897,1936,1708,1821,1934,1935,1937,1861
373,1007,968,969,967,966,1083,1272,1271,1234,1311
383,1043,1042,1118,1078,1081,1115,1003,1194,1190,1114
384,1175,1213,1139,1216,3014,1212,1140,1102,1250,1214
411,1190,1230,1229,1228,1270,1150,1189,1037,1226,1188
414,1520,3030,1634,1557,1672,2956,1671,1632,2996,1668
418,1840,1954,1839,1994,1879,1913,1838,1995,1914,1916
455,291,330,328,362,367,365,3009,293,404,172
462,94,53,57,46,93,59,91,58,44,128
494,1298,1335,1297,1183,1185,1142,1146,1219,1104,1181
496,751,789,3029,790,826,561,827,559,596,787
515,2207,2167,2246,2243,2244,2169,2281,2208,2360,2205
542,1142,1103,1219,1104,1218,1452,1106,1181,1065,1028
546,1039,889,1075,1042,1190,1156,959,2936,809,1037
547,320,318,317,247,275,243,313,278,207,312
555,1115,1117,1151,1345,1152,1384,1114,1307,1116,1120
571,38,23,62,21,2937,54,22,28,10,11
608,3028,2790,2791,2828,2860,2822,2831,2825,2751,2787
614,2376,2335,2487,2524,2523,2525,2337,2568,2485,2564
624,1054,979,977,1017,1016,978,902,1055,940,865
644,1055,1283,3004,1131,1092,1215,1253,1214,1626,1291
649,2943,874,3038,1520,684,1252,1368,646,1253,1558
653,1177,1100,2943,1216,1175,1097,1212,3014,1139,1173
654,178,293,292,330,291,215,139,177,216,331
657,1253,1291,2943,1214,1215,1254,1292,1368,1593,1630
665,1228,1154,1189,1192,1190,1150,1268,1226,1266,1155
672,1215,909,986,1249,947,946,987,948,869,906
714,108,31,111,144,109,145,72,107,68,75
716,644,645,646,607,3016,567,642,684,569,608
739,459,498,497,423,685,687,724,611,725,723
745,118,79,117,156,115,116,162,125,2966,84
746,139,214,176,177,136,252,175,178,174,173
749,1175,1250,1212,2943,1367,1099,1137,1138,1556,1098
750,1520,1634,1252,3030,2956,1668,1558,1671,1672,1291
752,1191,3035,1231,1306,1270,1267,1269,1193,1233,1192
757,1253,1214,1291,2943,988,1215,1254,1292,949,1368
761,2943,1367,1251,1290,1250,3038,1254,1292,988,835
768,978,975,977,937,976,974,939,936,938,973
773,1175,1253,1212,1214,1250,1292,2943,1254,1291,1025
790,1091,1167,1092,1129,3004,2994,1052,1206,1282,1013
801,1156,1158,1080,1122,1157,1195,1043,1117,1118,1115
809,1632,1671,1670,1708,2989,1520,1709,2956,1634,1746
813,1989,1495,2029,1990,1687,1453,1797,1494,1225,2026
845,1719,1794,1982,1716,2020,2022,1715,2021,1718,2023
857,1175,1099,1138,1250,1137,1212,1176,1098,1290,1251
862,1217,1445,1297,1522,1179,1255,1298,1257,1332,1220
865,612,497,498,572,614,343,382,647,650,420
877,341,379,416,415,414,380,454,492,377,529
878,1146,1105,1144,1071,1297,1108,1109,1073,1145,1112
881,886,927,965,925,891,887,928,967,890,929
886,1557,1668,1823,3030,1859,1783,1821,1824,1938,1861
891,825,900,824,859,970,1163,1128,1129,892,1091
909,2791,2834,2790,3028,2793,2831,2876,2751,2828,2795
927,1228,1189,1226,1269,1308,1157,1149,1190,1271,963
930,74,37,114,110,71,76,2933,32,34,112
946,1288,1253,988,949,983,985,1364,950,987,1291
958,1252,1290,1213,1251,1291,1328,1253,1214,1215,1175
965,1632,1668,1708,1671,1670,1557,2989,2956,1520,1627
970,840,842,808,803,801,880,771,811,839,838
977,1671,1708,1668,1632,1670,1557,2956,1634,1672,2989
979,1557,1520,3030,1671,1556,2970,1558,1632,1670,1708
981,1685,1683,1645,1913,2997,2952,1686,1950,1724,1952
987,2978,384,343,382,345,306,460,347,498,349
995,1015,1052,1092,1013,977,1053,1283,1054,1014,1282
1010,763,2987,765,802,609,801,727,766,726,689
1013,1114,1228,1189,1150,1152,1226,1306,1267,3035,1343
1018,1228,1264,1226,1189,1224,1223,1221,1149,1259,1304
1035,1783,1858,1746,1821,1819,1744,1861,1440,1708,1405
1054,1519,1783,1821,1710,1819,1708,1859,1746,1858,1596
1064,1348,1349,1297,1265,1336,1387,1383,1296,1385,1110
1075,1269,1116,1075,1228,1192,1157,1073,1114,1112,1384
1077,1254,1290,985,3038,1251,987,986,948,946,947
1084,977,978,1015,1055,1014,939,1092,976,1052,1131
1098,1290,1328,1251,1252,3038,1405,1254,1291,1289,1402
1106,1200,1083,1048,1049,1315,1081,1156,1043,1042,1121
1117,247,286,324,362,322,210,319,438,172,168
1130,367,403,406,368,247,331,444,365,404,401
1162,1252,1253,1140,1175,1213,1214,1176,1212,1291,1254
