"","Ilp4","CG8147","tsh","fkh","ImpE2","dan","apt","CG43394","Antp","knrl"
"","Cyp310a1","ImpL2","Ama","D","kni","noc","twi","disco","edl","bun"
"","oc","fj","zfh1","nub","run","aay","croc","gt","lok","Mes2"
"","Traf4","h","Blimp-1","Btk29A","sna","brk","dpn","Kr","CG11208","CG10479"
"","MESR3","danr","hb","Ance","Doc2","odd","htl","trn","Mdr49","ftz"
"","Doc3","tkv","rho","rau","hkb","ken","Nek2","toc","zen","CG14427"
"3","1097","1061","1667","1099","1062","1705","1402","1518","1025","1629"
"24","831","870","832","679","1210","836","835","645","1177","868"
"28","1059","1097","1099","1250","1138","1176","1137","1098","1060","1254"
"29","2756","2753","2755","2673","2757","2750","2714","2797","2758","2759"
"40","2551","2548","2589","2396","2167","2549","2586","2243","2433","2585"
"44","840","1104","839","841","801","1067","876","1332","1335","837"
"49","1735","1810","1772","1504","1808","1806","1769","1695","1809","1811"
"60","172","362","403","210","438","401","440","286","400","476"
"79","1323","1361","1285","1020","1629","1626","754","2996","1628","1665"
"86","1123","1386","1384","1083","1345","1116","1077","1117","1017","1348"
"87","239","164","236","158","162","92","126","240","656","204"
"106","1149","1190","1189","1150","1188","1186","1226","1224","1148","1153"
"108","3030","1520","1557","1823","1558","1634","2989","1632","2088","2089"
"114","172","210","171","134","244","207","245","243","213","201"
"122","1405","1367","1519","1251","1823","1140","1859","1858","1783","1481"
"142","1239","1205","2967","1202","1241","1203","1238","1204","1125","1243"
"161","2989","1557","1593","1668","1630","1671","986","1556","1744","2944"
"166","206","161","204","160","3012","130","121","159","205","163"
"169","537","538","576","539","611","572","499","575","501","610"
"171","2752","2674","2791","2673","2717","2751","2836","2790","2714","2718"
"175","365","328","364","326","291","327","172","2995","362","366"
"186","1128","1011","1090","1049","1315","1052","1050","1126","1083","1089"
"193","1062","1367","1025","1063","1102","1101","988","1064","1292","1140"
"231","1230","1232","1270","3035","1193","1190","1191","1306","1153","1188"
"239","1482","1748","1558","1785","1520","1786","1743","3030","1708","1444"
"243","483","446","445","558","407","520","514","547","3017","549"
"253","1292","1291","1329","988","1330","1098","1063","1102","1062","1367"
"284","1053","1052","1125","1130","1091","1128","3029","824","2941","784"
"289","269","305","270","229","193","345","153","306","231","267"
"307","1324","2967","1362","1504","1201","1735","1772","1583","1810","1773"
"312","379","341","414","380","454","417","416","377","494","418"
"316","1199","1125","1201","1159","1196","1205","1236","1160","1238","704"
"323","803","1719","802","731","804","2205","727","765","2244","2987"
"324","683","684","646","682","607","645","643","950","642","492"
"327","1411","1685","2952","1686","1460","1724","1643","1183","1687","1222"
"350","1193","1155","1153","1232","1230","1151","1270","1075","3035","1154"
"353","900","896","1239","1241","1278","1276","1240","1277","1242","938"
"363","340","341","342","303","454","2935","184","417","225","304"
"380","824","823","859","826","786","784","1160","825","783","862"
"388","1146","2936","1071","1112","1075","1147","1150","1109","1108","1153"
"390","1414","1153","1155","1151","1190","1150","1420","1183","1115","1416"
"391","2956","1671","1668","1672","1783","2088","1748","2124","1785","1786"
"397","52","28","38","19","22","34","14","33","32","20"
"399","709","2941","707","777","744","669","667","595","670","636"
"408","61","138","136","88","59","57","92","130","65","99"
"419","38","34","14","2937","20","3019","32","15","74","28"
"429","1708","1709","2956","1822","1671","1672","1668","1706","1783","1748"
"432","1130","1055","1168","1094","1056","1132","1054","1093","1131","1169"
"434","1506","1544","1201","1240","1810","1242","1125","1508","1811","1507"
"445","1091","1055","1131","1092","1130","1395","1433","1054","1093","1738"
"477","1115","1130","1196","1037","1155","1055","847","886","1153","1195"
"493","774","778","773","807","737","805","576","845","848","810"
"513","498","571","459","723","687","685","499","724","457","725"
"521","1130","1436","1093","1055","1131","3008","1359","1323","1056","1361"
"527","1155","1229","1230","1194","1190","2992","1226","1153","1188","1268"
"532","1228","1266","1268","1226","1304","1189","1149","2992","1267","1192"
"552","1253","2996","3038","1634","1291","1631","988","1668","950","2956"
"568","2881","2779","2968","2884","2888","2885","2926","2953","2924","2662"
"573","514","550","478","516","517","622","621","588","477","657"
"580","2949","1153","1077","1155","1150","1075","1190","1112","1154","2936"
"589","2752","2792","2751","2667","3018","2815","2836","2714","2668","2663"
"603","1201","1202","1238","1203","1204","1315","1200","1205","1240","1199"
"610","556","558","592","554","557","553","551","517","627","622"
"626","1199","1159","1201","1236","1238","1202","1119","1203","1431","1156"
"629","1324","1214","1292","1291","1289","1330","1253","1216","3014","1252"
"634","824","827","3029","752","786","862","523","826","1130","2941"
