"","Ilp4","CG8147","tsh","fkh","ImpE2","dan","knrl","apt","CG43394","Cyp310a1"
"","Ama","kni","ImpL2","Antp","twi","edl","D","disco","oc","bun"
"","nub","noc","gt","run","aay","fj","croc","h","lok","zfh1"
"","sna","Mes2","Btk29A","danr","dpn","Traf4","Blimp-1","MESR3","brk","Kr"
"","hkb","CG11208","Mdr49","Ance","Nek2","hb","ftz","Doc2","CG14427","rho"
"","htl","srp","tkv","Doc3","CG10479","odd","trn","toc","ken","bowl"
"14","2193","1815","2233","2382","1891","1130","2232","2496","2420","1929"
"37","379","341","454","380","417","414","494","456","455","452"
"39","831","984","873","1022","874","909","870","1288","1249","836"
"64","1576","1650","1618","1767","1613","1533","1620","1809","1657","1615"
"78","1032","1037","956","1033","1001","1070","1038","1035","1034","768"
"89","478","705","706","437","400","474","701","438","475","476"
"92","263","226","187","304","185","340","225","265","224","302"
"99","1226","1188","1229","1227","1304","1224","1266","1186","1268","998"
"101","1054","1093","979","1053","1017","1092","1016","2005","1055","1663"
"107","94","61","57","59","92","91","98","96","126","93"
"116","1954","2179","1460","1945","2173","2216","2210","2135","2212","2022"
"126","130","166","3012","136","2973","163","165","204","442","406"
"129","1319","1357","1073","1358","1348","1082","1336","1071","1359","1397"
"134","2316","2315","2317","2616","2354","2660","2581","2659","2393","2621"
"138","2512","2550","2511","2472","2547","2510","2433","2360","2471","2396"
"139","719","2938","758","645","607","684","760","722","681","682"
"144","2941","784","900","937","785","898","975","786","783","362"
"163","1706","1710","1708","1746","1744","1443","1669","1671","1668","2124"
"165","2956","1668","1672","1671","1558","1748","1634","1670","1743","1520"
"176","2485","2522","2483","2520","2598","2478","2482","2169","2445","2990"
"177","1287","980","1340","1321","945","907","944","2488","941","2385"
"194","1282","3004","1245","1283","1280","1054","1243","1055","1662","1663"
"196","1113","1266","1148","1304","1226","1154","1227","1268","1229","1153"
"199","2630","2631","2592","2591","2628","2626","2585","2593","2589","2590"
"206","612","614","688","651","3023","572","650","686","648","649"
"208","303","414","2935","340","342","377","416","418","415","417"
"215","1049","1083","1009","1124","1315","1086","1394","1055","1122","1085"
"223","1155","1123","1047","1199","1009","1045","1658","1734","1809","1810"
"240","340","300","342","263","224","2957","225","148","265","227"
"242","1069","1033","1037","429","1104","1074","1106","1065","1029","1142"
"245","754","713","792","790","564","796","565","2081","2119","2079"
"252","1215","1214","1213","1252","1254","1253","1328","873","1289","1216"
"262","1650","1921","1959","1655","1961","1730","1881","2949","1768","1998"
"270","1028","1030","1031","951","991","992","1068","993","953","764"
"274","981","1057","985","680","487","682","643","524","681","679"
"279","747","822","748","824","749","786","711","820","745","788"
"285","987","1022","985","988","949","1023","984","1025","1024","950"
"302","1685","2030","2219","1724","1686","2256","2217","1684","2257","3020"
"305","1858","3001","2198","2276","1861","2278","2277","2238","2237","873"
"326","2246","2208","2322","2207","2167","2360","2247","2323","2209","2362"
"348","1367","1405","1783","1062","1440","1102","1746","1744","1063","1708"
"373","1160","1155","1123","1083","1159","1153","1049","1077","1120","1348"
"383","1042","1078","1003","1315","1115","1273","1316","1311","1309","1039"
"384","1175","1213","1212","1214","1250","1139","1216","3014","1252","1140"
"411","1193","1228","1190","1269","2949","1270","1037","1226","1188","1150"
"414","1482","1634","1520","1252","3030","2996","1480","1290","1251","1291"
"418","2105","2182","2366","2147","2408","2369","2371","2409","1994","2183"
"455","286","365","364","326","247","324","215","330","327","285"
"462","92","61","57","138","130","91","59","132","19","162"
"494","1183","1181","1182","1142","1144","1179","1105","1145","1104","1222"
"496","602","562","600","525","561","526","524","564","636","597"
"515","2360","2322","2435","2398","2441","2959","2512","2281","2511","2438"
"542","1181","1142","1180","1143","1331","1902","1106","1104","2130","875"
"546","1230","1533","1228","1568","1270","1608","1190","1534","1495","1032"
"547","237","238","172","276","312","239","314","280","201","240"
"555","2949","1459","1458","1153","1612","1608","1611","1077","1645","1343"
"571","38","28","22","34","11","2937","32","74","33","14"
"608","2793","2830","2752","2791","2794","2835","2828","2875","2751","2831"
"614","2487","2485","2524","2523","2525","2564","2566","2522","2561","2562"
"624","981","867","949","982","988","682","3025","947","950","948"
"644","1092","1055","1321","1054","1053","1091","1019","1016","1131","1093"
"649","2943","1330","3014","1292","1177","1214","1216","1329","1558","1406"
"653","1177","795","1899","1862","796","1861","1896","1819","1900","1440"
"654","293","331","330","295","140","259","258","334","252","367"
"657","1214","1252","1253","1215","1251","873","1213","2989","1291","874"
"665","1153","1151","1191","1195","1420","1154","1192","1226","1228","1113"
"672","1215","1249","909","947","1254","1023","1174","948","1214","1289"
"714","31","107","111","144","34","72","68","60","69","74"
"716","646","607","642","644","684","682","3016","603","605","608"
"739","497","496","3011","457","419","571","3024","534","459","423"
"745","88","80","44","125","57","81","93","117","59","98"
"746","139","177","140","63","102","101","252","141","218","214"
"749","1175","1250","1212","1556","2943","1063","2970","1097","1099","1176"
"750","1291","1253","1214","1292","1634","1252","1709","1593","950","1287"
"752","1230","1229","1193","1191","1194","1195","1160","1199","1232","1198"
"757","1215","873","912","1254","874","985","2943","872","1593","946"
"761","2124","2049","2163","1819","2127","2086","2203","2165","1061","1405"
"768","1131","1055","3004","1321","675","1358","981","712","1020","1093"
"773","1025","988","1062","950","1024","949","947","1292","948","911"
"790","1055","1361","1130","1323","1439","1401","1394","1663","1093","1049"
"801","1155","1160","1158","1122","1199","1159","1157","1152","1117","1124"
"809","1482","1252","3030","1251","1214","1253","1215","1290","1520","1291"
"813","1913","2170","1226","1188","2180","1190","2181","2175","1228","2256"
"845","1677","1868","1448","1446","1867","1563","1445","1753","1791","1979"
"857","1063","1102","1139","1250","1101","1064","1062","1025","1026","1140"
"862","1294","1179","1217","1293","1218","1028","991","1788","1255","1787"
"865","382","343","612","875","420","381","951","913","421","2986"
"877","379","341","454","377","418","417","414","494","378","380"
"878","1219","1184","1222","1071","1144","1185","1182","1183","1147","1227"
"881","886","926","846","887","843","889","883","925","619","578"
"886","1861","1938","1975","1897","1936","1937","1935","1976","1821","1972"
"891","520","1097","662","485","556","624","887","447","1059","1130"
"909","2910","2911","2921","2881","2968","2845","2872","2953","2919","2875"
"927","1228","1226","1189","1192","1149","1190","1193","1191","1682","1188"
"930","74","34","37","30","32","38","114","35","107","68"
"946","1025","949","950","988","1024","947","948","1291","987","911"
"958","1213","1175","1212","1215","1214","3030","1216","1176","1254","1252"
"965","1668","1671","1708","1627","1670","1634","1632","1631","2124","2086"
"970","840","801","841","876","839","838","879","2986","837","916"
"977","1634","2013","2011","2052","2051","2996","2048","2088","1520","1973"
"979","3030","1557","1520","1556","1558","2970","1824","1823","1862","1861"
"981","1913","2997","1952","1685","1991","1950","1917","1914","1915","1992"
"987","384","382","2978","422","343","305","420","347","381","424"
"995","1055","1283","1282","1092","3004","1245","1131","1093","1054","1015"
"1010","763","799","685","801","951","953","723","913","761","915"
"1013","1302","1460","1112","1228","1493","1298","1185","1454","1262","1264"
"1018","1226","1413","1188","1190","1224","1228","2975","1230","1192","1189"
"1035","2090","2278","1062","3001","2202","2127","2165","2240","2392","2394"
