"","Ilp4","CG8147","tsh","fkh","dan","ImpE2","apt","knrl","Cyp310a1","CG43394"
"","Ama","Antp","edl","ImpL2","oc","disco","D","kni","bun","noc"
"","twi","croc","gt","fj","aay","zfh1","h","run","Mes2","nub"
"","lok","brk","Traf4","sna","Btk29A","Blimp-1","danr","MESR3","dpn","Ance"
"","Kr","ftz","rau","CG11208","trn","Doc2","odd","htl","Mdr49","bowl"
"","CG14427","cad","rho","Doc3","ken","toc","Nek2","CG10479","tkv","hkb"
"6","1403","1329","1365","1330","1368","1404","1366","1292","1363","1367"
"7","304","259","226","225","187","266","220","227","184","260"
"21","1071","1073","1146","1112","1070","1147","1109","1144","1298","1108"
"31","1380","1228","1379","1111","1121","1113","3007","1384","1414","1340"
"62","689","690","609","724","685","647","726","727","572","730"
"71","225","300","265","302","378","264","2957","301","380","263"
"75","1671","1668","1520","1251","1557","1708","1252","1670","1634","1558"
"77","3006","2469","2930","2467","2470","2086","2124","2617","2696","2431"
"80","2779","2830","2826","2825","2782","2781","2822","2820","2875","2790"
"94","988","986","1025","798","1897","836","796","1062","795","1102"
"104","489","568","528","488","532","414","529","490","451","531"
"105","184","149","186","222","146","2957","225","113","189","183"
"111","1150","1115","1153","1190","1230","1113","1155","1229","1189","1154"
"121","1159","1047","1196","1122","1124","1083","1011","1160","1199","1315"
"124","1181","1180","1142","1218","1255","1028","1068","1106","1104","1369"
"125","1274","1237","2967","1235","1205","1236","1270","1155","1269","1160"
"147","1129","1128","1091","1163","2977","1130","1434","1472","1435","1395"
"154","888","807","848","849","850","777","778","815","743","773"
"164","1214","1252","1291","1213","1215","1251","1253","1328","1254","1292"
"172","454","303","377","417","414","418","494","379","644","455"
"189","1298","1294","1105","1179","1103","1027","1295","1142","1218","991"
"190","1130","1054","1282","1283","1055","1091","1131","1321","1092","1016"
"226","2638","2939","2678","2636","2679","2637","2759","2718","2681","2680"
"229","3008","1399","1361","1438","1400","1133","1134","1094","1057","1096"
"258","1123","1088","1391","1051","974","1012","1049","1014","1048","972"
"283","286","364","324","287","288","172","210","365","133","285"
"286","1167","1091","1169","1055","1205","1245","2994","1243","1282","1168"
"292","1155","1117","1160","1154","1153","1195","1460","1151","1191","1113"
"296","1343","2949","1613","1077","1043","1118","1076","1079","1081","1153"
"301","1153","1150","1155","1115","1033","1075","1112","1568","2936","995"
"303","3014","1140","1139","1178","1252","1174","1213","1134","1175","1096"
"309","1252","1214","1253","3038","1251","2943","1254","3014","1215","1368"
"343","1879","1571","1646","1873","1644","1916","1610","2256","1690","1608"
"346","912","874","988","873","1022","1214","984","1215","987","986"
"364","340","2935","303","263","338","301","342","265","339","302"
"365","2950","2161","2200","2502","2540","2198","2934","2542","2690","2730"
"375","1913","1914","1994","2064","2105","2030","1190","2971","925","2102"
"377","454","417","414","379","494","456","455","452","341","493"
"381","970","1009","1083","1047","1273","1006","1007","973","1010","1003"
"392","747","748","749","711","786","2941","824","823","788","787"
"393","1075","1190","1189","1188","1192","2936","1150","1149","1230","1226"
"403","735","741","734","775","739","703","769","774","738","729"
"417","836","1592","835","798","2943","832","796","1517","1895","1516"
"430","552","518","481","477","443","514","515","482","480","586"
"431","988","912","873","1215","874","911","1177","909","836","871"
"443","1255","1181","1447","1217","1370","1218","1257","1256","1369","1449"
"447","492","378","380","341","415","416","414","377","417","491"
"453","1252","1214","1292","1253","1175","1251","1212","1250","1061","1329"
"458","1142","1144","1105","1106","2130","1104","1141","2168","1029","1103"
"463","1661","1662","1699","1091","1663","1623","1738","1776","1737","1433"
"466","913","917","803","916","686","879","690","878","685","763"
"472","1683","2030","1954","2104","2182","2219","2256","2183","2221","2257"
"475","1343","2253","2255","1347","1422","2332","1383","2292","2294","2368"
"501","1009","1129","1199","1128","1050","1013","1085","1082","1047","1084"
"516","164","120","3012","157","163","122","156","165","158","162"
"520","193","156","153","229","120","155","345","194","192","612"
"522","850","849","815","811","888","816","887","739","813","621"
"533","478","479","403","476","443","475","438","514","439","401"
"562","1569","2949","1533","1265","1075","1109","1037","1529","1646","1074"
"572","1283","1321","1280","1245","1243","1282","978","939","902","3004"
"593","2485","2524","2523","2598","2562","2003","2487","1380","2567","2040"
"620","1125","1091","1128","1052","1130","1163","1049","1055","1196","1053"
"680","986","988","1214","874","646","644","798","608","909","1328"
"686","887","850","847","853","851","888","817","886","855","924"
"694","443","442","406","441","407","444","523","446","514","481"
"698","1015","1052","1053","1092","1091","599","1282","1246","978","670"
"705","1802","1534","1495","1493","1496","1490","1492","1840","1685","1528"
"737","1990","1988","2026","1989","1950","1905","2178","1943","2217","1949"
"744","1009","1047","1045","1011","1082","1315","1083","1049","1085","1084"
"756","2682","2645","2681","2680","2642","2722","2643","2685","2759","2639"
"758","1254","1328","1290","1251","1288","1556","1596","2970","1401","2944"
"767","1155","1160","1121","1115","1122","1113","1124","1158","1152","1151"
"791","1140","988","1178","1329","950","1139","1858","1819","1062","1861"
"795","1313","1348","1347","1386","1353","1351","1391","1350","1349","1050"
"798","910","874","1254","909","1214","871","946","872","1253","492"
"803","826","3029","789","1016","751","1155","788","1153","1056","1163"
"810","1112","1075","2936","1114","1608","1077","1648","1116","1610","1109"
"812","404","366","367","403","400","331","476","438","2973","214"
"816","2792","2838","2751","2834","2750","2870","2667","2868","2919","2910"
"823","831","1402","2943","796","1060","988","1022","985","1516","984"
"824","462","384","345","382","422","421","2978","464","425","423"
"826","1189","1150","1226","1148","1075","1110","1384","1112","1109","1111"
"829","824","904","789","705","706","633","751","942","669","703"
"832","1049","1205","1055","935","934","895","1018","2967","1155","1125"
"833","1077","1378","1144","1069","1142","1413","1105","1033","1029","1104"
"843","1291","1671","1328","1668","1670","988","987","986","1709","1022"
"848","878","841","954","915","914","840","839","2986","879","916"
"855","1905","1943","1903","1181","1942","2130","1902","1445","2168","1978"
"861","2257","2295","2485","2523","2332","2524","2378","2445","2291","2562"
"867","3030","2989","1213","1557","1215","1518","1214","1593","1254","1520"
"880","20","14","32","2937","17","69","38","28","68","16"
"905","870","798","1210","1139","1177","3014","1134","836","832","760"
"919","537","536","535","611","574","499","572","576","575","425"
"923","1394","1090","1116","1160","1077","1157","1112","1114","1154","1384"
"934","1119","1194","1081","1155","1157","889","1153","1196","1156","1190"
"937","1049","1011","1077","1155","1092","1054","1081","1114","1055","1053"
"959","955","1031","957","956","992","951","1071","913","1030","1028"
"963","1228","1533","1189","1226","1149","1682","997","1032","1452","1495"
"974","741","778","746","816","744","703","739","709","742","1049"
"999","1691","1733","1734","1772","1771","1695","1730","1735","1768","1683"
"1004","2016","2017","1977","1939","2015","1980","2019","2018","2931","2207"
"1020","1402","985","988","984","983","1401","831","987","1629","949"
"1037","2520","2483","2478","2479","2485","2560","2521","2523","2598","2524"
"1044","3030","1520","1557","1558","1634","2989","1632","2970","1556","1596"
"1048","1175","1213","1212","1216","1250","1177","1214","1215","1174","3030"
"1059","340","342","263","304","225","265","301","341","2935","150"
"1065","824","709","2941","747","1011","748","749","786","711","1125"
"1072","1163","1129","1155","1194","1160","1083","1167","1162","1153","1168"
"1078","187","226","188","2957","262","300","264","146","302","228"
"1082","1130","1169","1473","1738","1700","1701","1625","1168","1626","1245"
"1112","2105","2023","1040","2183","2028","1001","1037","2104","2149","2070"
"1123","1213","1175","1215","1212","1214","1216","1252","1254","2943","1290"
"1143","1129","1128","1091","1090","1125","1163","1166","1120","1130","1200"
"1150","1239","1205","2967","1202","1241","1203","1238","1204","1125","1049"
"1152","988","683","1025","684","1367","760","719","722","721","681"
"1161","2960","1940","1942","1978","1905","1943","1901","2016","1903","2017"
"1176","1706","1746","1443","1783","1708","1405","1744","1710","1704","1748"
"1195","1125","1201","1205","2967","1237","1274","1128","1083","1235","1239"
"1200","2625","2586","2548","2591","2549","2627","2588","2589","2509","2587"
