"","Ilp4","tsh","fkh","CG8147","ImpE2","dan","knrl","apt","kni","Cyp310a1"
"","CG43394","ImpL2","Ama","D","Antp","oc","fj","noc","nub","disco"
"","bun","twi","run","edl","gt","aay","Mes2","h","lok","Traf4"
"","zfh1","Blimp-1","sna","dpn","Btk29A","croc","Ance","danr","Kr","brk"
"","CG14427","MESR3","ftz","htl","Mdr49","Doc2","CG11208","odd","rau","hb"
"","trn","CG10479","Doc3","hkb","rho","toc","tkv","ken","srp","zen"
"4","57","164","53","59","126","88","162","89","3012","91"
"16","2911","3003","2920","2894","2890","2910","2899","2968","2896","2891"
"20","459","572","457","537","612","614","153","156","458","155"
"22","1364","1363","1026","2943","1325","985","1327","1366","1401","1404"
"38","1177","3014","1139","988","1216","1063","1026","1102","1140","2943"
"57","1196","1121","1083","1081","1119","1120","1156","1086","1118","1197"
"68","2671","2636","2939","2627","2677","2589","2591","2638","2712","2626"
"91","88","53","87","57","46","93","58","59","89","84"
"109","1104","1065","1181","1142","1031","1147","1069","1103","1229","1255"
"132","107","32","38","144","111","34","108","31","68","35"
"135","340","263","304","378","225","342","265","301","380","303"
"148","2759","2641","2717","2678","2756","2716","2718","2677","2757","2797"
"179","1140","1102","1329","1178","1101","1139","988","1330","1063","1026"
"183","1663","1738","1697","1776","1661","1700","1659","1737","1701","1696"
"187","1130","1125","2977","1055","1394","1128","1052","1015","1358","1164"
"188","1010","511","475","476","510","401","742","472","439","403"
"201","1243","2994","1052","1013","1358","1319","1207","1320","1394","1361"
"202","2281","2283","2247","2360","2320","2322","2362","2244","2321","2246"
"213","438","478","479","440","475","476","501","401","541","234"
"222","680","716","678","641","602","679","603","564","640","682"
"233","60","10","17","2981","2974","12","13","15","9","2976"
"238","1031","1029","1293","991","989","1332","954","1331","1106","1294"
"248","1251","3038","1250","1252","2943","3014","1254","1214","1253","1216"
"250","1294","1256","1255","1296","1295","1028","1258","1257","1027","1293"
"255","1698","1738","1776","1739","1815","1702","1740","1504","1700","1816"
"268","147","152","112","109","111","75","108","2933","113","76"
"281","1097","1291","1099","1253","1064","1323","754","1292","1020","1368"
"282","3030","2989","1557","1593","1520","1630","1556","1897","2970","1479"
"288","1214","1215","1139","1292","1178","1062","1025","1063","1252","1140"
"298","1520","1672","2956","1671","1558","1634","1668","1670","1444","1709"
"300","1442","1291","1406","1368","1292","1444","1330","1064","1327","1822"
"310","1269","1230","1270","1228","1268","1150","1304","1266","1075","1229"
"317","1613","1065","1104","765","764","1840","2366","1027","690","2408"
"318","1047","1083","1048","1273","1045","1316","1009","1279","970","1007"
"329","1343","2949","1116","1345","1077","1384","1151","1383","1378","1690"
"335","1691","1733","1683","1734","1772","1771","1994","1995","2036","1735"
"358","626","621","517","588","623","514","657","550","519","516"
"362","684","2938","683","682","646","719","603","642","645","680"
"367","1916","1646","1873","2952","1609","1918","1643","1378","1644","1878"
"387","682","684","646","2938","683","607","643","645","642","603"
"396","1175","1212","683","1250","645","1099","607","760","1253","1292"
"415","2882","2841","2847","2875","2885","2884","2843","2968","2880","2887"
"422","588","558","596","556","559","555","517","590","587","522"
"441","2207","2282","2244","1939","2246","2205","2243","2167","1977","2206"
"442","1658","1615","1315","1734","1613","1697","1733","1121","1650","1695"
"452","1292","1329","1291","1063","1102","1098","1330","1101","1213","988"
"465","178","139","215","177","253","103","251","255","216","223"
"476","997","922","921","998","959","1228","956","960","919","958"
"478","1236","1195","1198","929","1161","1271","1235","1308","1163","1269"
"484","1013","1282","1394","1245","1319","1353","1358","1093","1054","1321"
"500","973","1316","1279","1278","900","1276","1312","1013","1277","1012"
"525","3030","1520","1596","1252","2943","1556","2996","873","2970","874"
"526","1126","1128","1125","1089","2977","1129","1093","1090","1130","1394"
"530","134","404","478","369","366","364","162","514","170","367"
"539","1032","916","954","879","956","917","1027","1068","765","802"
"541","1597","1635","1636","1865","1181","1180","1639","1904","1559","2960"
"543","2830","2828","2790","2788","2781","2817","2825","2711","2818","2815"
"550","709","673","676","711","748","749","710","747","712","750"
"564","2641","2678","2602","2642","2601","2680","2643","2681","2604","2639"
"565","2256","3002","2171","1779","2132","2179","2769","2969","2169","2765"
"567","3014","1098","1330","1140","1063","1102","1329","1099","1442","1216"
"583","2675","2673","2756","2674","2678","2717","2716","2714","2637","2713"
"590","1175","1250","1212","2943","988","798","1292","1516","796","683"
"591","1879","2256","2294","1043","2293","2255","2253","2298","2295","1118"
"606","2933","38","112","75","36","71","76","114","73","74"
"612","774","808","773","770","769","767","733","2987","765","810"
"628","988","985","1061","1292","1063","1291","1102","1097","1062","950"
"631","1443","1746","1405","1708","1744","1748","1745","1784","1367","1785"
"638","442","403","444","443","401","512","476","405","475","438"
"648","1364","1327","1022","1403","1023","1366","1404","1020","987","1060"
"666","1214","1215","1252","1139","873","1213","874","1251","912","1253"
"691","1098","1250","1063","1140","1102","1175","1213","1212","1214","1251"
"728","1748","1822","2956","1785","1786","1672","1783","1709","1747","1708"
"738","829","790","1130","864","830","1361","754","791","753","827"
"748","1017","1054","1093","1053","1132","1055","1016","1130","979","904"
"799","1712","1673","1939","1711","1980","1978","1979","2960","1905","1943"
"800","1541","1542","1503","1460","1537","1574","1578","1499","1501","1580"
"802","1062","1063","1367","1097","1329","1098","1101","1059","1405","1064"
"811","1289","1215","1634","1440","1326","1327","1364","2996","1362","949"
"821","1315","1049","1697","1696","1011","1695","1083","1389","781","1698"
"839","784","750","824","747","713","826","748","790","752","711"
"851","1167","1130","1205","1201","896","1196","1163","1125","1127","1129"
"858","873","909","1214","874","912","1254","1215","1289","1328","1213"
"887","1037","1074","1000","1038","998","1075","810","1042","2936","734"
"892","1063","1178","1098","1251","798","1140","1250","1101","1064","796"
"897","226","187","304","227","2957","300","189","225","188","184"
"911","1055","1168","1358","3004","1131","1052","1322","1323","1091","1170"
"915","1230","1685","1686","1150","1229","1687","1724","1185","1417","1643"
"925","1405","1402","1367","1364","1365","1401","1442","1443","1406","1668"
"928","1277","1276","1278","2967","1125","1351","1349","1238","1202","1504"
"935","1520","1862","1860","1482","1900","1558","1824","1823","1406","1899"
"936","74","34","37","30","32","38","73","114","28","107"
"942","566","529","488","606","531","527","453","452","570","487"
"994","2048","2124","2047","2050","1402","2086","1819","1102","2163","1292"
"1002","150","75","340","379","341","378","111","114","108","144"
"1006","474","249","403","288","209","121","706","248","633","705"
"1014","2257","2445","2603","2598","2295","2177","2332","2682","2600","2642"
"1016","422","425","462","463","460","500","423","2978","461","3011"
"1021","350","3032","351","353","388","352","313","354","387","422"
"1026","798","795","797","756","796","528","873","567","874","529"
"1051","426","353","424","425","384","387","422","462","382","429"
"1068","1050","1275","1126","1314","1390","1088","2941","745","785","1392"
"1079","1250","1442","3014","1176","1139","1480","1478","1479","1102","1251"
"1083","1037","1534","1001","1270","1840","1685","1229","1033","995","1032"
