"","Ilp4","CG8147","tsh","fkh","ImpE2","dan","knrl","CG43394","Ama","apt"
"","Cyp310a1","ImpL2","Antp","twi","kni","D","nub","oc","disco","noc"
"","bun","edl","run","fj","croc","h","aay","zfh1","Mes2","Blimp-1"
"","gt","lok","Traf4","sna","danr","Btk29A","brk","dpn","Ance","Kr"
"","odd","CG14427","MESR3","htl","trn","Doc2","CG11208","hb","ftz","tkv"
"","cad","Doc3","Mdr49","toc","hkb","rau","ken","rho","CG10479","zen"
"19","1035","1153","1040","1112","1151","1154","1113","1116","1004","1114"
"23","1064","1709","1822","1406","1442","758","1102","1063","2048","760"
"25","34","32","38","74","16","35","11","68","37","14"
"42","809","1115","1194","1153","1195","1152","1119","1196","1156","1079"
"45","1146","1222","1185","1184","1153","1107","2936","1112","1643","1413"
"53","1119","1156","1157","1081","737","1155","1043","1115","1153","774"
"55","644","646","608","605","607","567","3016","603","682","569"
"61","1668","1671","1783","988","758","1290","1746","1744","987","2127"
"100","1520","1634","2996","1672","2956","1671","3030","1668","1482","1632"
"102","1214","1252","1291","1327","1213","1215","1251","1253","1216","1328"
"117","1043","1118","1194","1115","1156","1081","1077","1130","1315","1114"
"118","2553","2557","2556","2594","2516","2592","2555","2593","2554","2515"
"119","1162","1163","1198","1157","1201","1161","1125","1195","1194","1199"
"123","1435","1436","1433","1130","1131","1395","1092","1738","1283","1739"
"145","1558","1520","3014","1177","1862","1824","1216","1823","1899","1859"
"159","1251","1252","1290","1214","1254","1287","1213","1557","1556","1250"
"170","3030","2989","1213","1557","1215","1214","1520","1254","1897","1593"
"182","1446","1903","1712","1673","1977","1675","2015","1445","1409","1408"
"184","1252","1558","1214","1251","1140","1823","3030","988","798","646"
"185","985","910","872","988","986","987","871","834","1024","1062"
"192","532","341","415","416","531","379","454","530","491","342"
"197","1125","1159","1083","1196","1049","1086","1388","1120","1315","1350"
"198","3017","556","482","481","558","445","661","629","662","557"
"200","2560","2485","2561","2523","2598","2524","2445","2487","2600","2484"
"207","1965","2998","2041","1698","2042","2003","1660","1966","1967","1696"
"211","2678","2677","2673","2591","2637","2630","2626","2668","2982","3018"
"232","38","34","32","2937","74","14","36","35","68","109"
"237","1752","1716","1715","1713","1255","1751","1221","1939","1712","1673"
"251","1739","1130","2947","1777","1435","1815","1131","1321","1663","1434"
"263","1229","1270","1230","1305","2019","1839","1304","1266","1977","1268"
"273","1809","1885","1658","1923","1847","1922","1924","1734","1884","1697"
"280","1128","1315","1053","1205","1388","1083","1159","1196","1396","1125"
"293","1001","999","1002","1195","1035","883","1037","1033","1032","774"
"299","1013","1052","1319","1054","1320","1050","1358","1015","1090","1053"
"306","2967","1201","1205","1167","1241","1504","1239","1472","1203","1202"
"311","1939","1978","2960","1677","1445","2129","1446","2131","1409","1408"
"330","492","644","379","646","454","341","608","491","378","340"
"342","1668","2956","1405","1671","1670","1406","1672","1744","1708","1785"
"351","366","512","330","404","367","365","437","331","362","363"
"361","552","517","442","518","514","515","477","513","443","654"
"385","631","667","736","700","746","595","697","636","635","2941"
"398","1063","1102","1101","1064","1140","1098","1062","1025","1367","1026"
"401","1130","1054","1093","1169","1245","1055","1016","1321","1167","1283"
"406","913","951","762","647","875","801","953","725","687","876"
"421","1251","1252","1140","1290","1367","1250","1214","1292","1178","3038"
"436","970","1009","1078","972","1008","1046","1012","1003","1042","1114"
"437","1159","1196","1125","1236","1238","1205","1202","1128","1091","1121"
"446","2366","2369","2408","2407","2371","2367","2409","2370","2412","2482"
"459","1128","1052","1091","1358","1395","1394","1433","1090","1053","1661"
"464","2630","2629","2589","2628","2591","2668","2626","2671","2590","2588"
"467","2943","605","646","644","608","565","603","492","1214","1288"
"471","1153","1115","1194","1196","1460","1152","1151","1421","1155","1191"
"480","889","888","884","920","849","880","882","696","845","843"
"488","1228","1226","1192","1189","1227","1191","1149","1188","1194","1190"
"519","340","380","342","341","263","378","376","379","304","303"
"523","163","242","3012","239","165","241","166","164","280","437"
"524","1370","1219","1218","1181","1257","1333","1256","1180","1446","1255"
"529","1130","1663","1738","1435","1433","1093","1700","1776","1661","1702"
"536","314","239","201","384","347","276","468","169","431","3031"
"548","2989","1592","1327","1596","1668","1632","1671","1555","1328","1594"
"551","1230","1153","1119","1155","1150","1229","1194","1154","1188","1190"
"561","2826","2911","2795","2822","2868","2827","2919","2863","2832","2922"
"570","1440","1746","1819","1744","2048","2047","1442","1783","1858","1405"
"579","763","764","801","803","765","840","800","726","802","725"
"584","399","363","210","172","362","207","364","213","241","579"
"588","1093","1053","1017","1013","1016","1128","1050","1052","1091","3029"
"602","1150","1190","1189","1146","1149","1111","1145","3007","1185","2936"
"604","1230","1040","1193","1657","1568","1302","1608","1239","1650","1241"
