"","Ilp4","fkh","CG8147","tsh","ImpE2","dan","apt","CG43394","knrl","Cyp310a1"
"","Ama","ImpL2","Antp","kni","twi","oc","nub","bun","disco","edl"
"","croc","run","noc","D","fj","Btk29A","aay","Mes2","zfh1","gt"
"","h","Traf4","sna","Blimp-1","lok","dpn","rau","odd","Ance","CG14427"
"","hb","brk","Nek2","ftz","Doc2","htl","Kr","CG11208","MESR3","trn"
"","Doc3","tkv","toc","Mdr49","rho","danr","ken","srp","hkb","cad"
"10","38","15","13","12","14","32","3019","34","10","2937"
"13","1155","1153","1115","1420","1077","1151","1414","1418","1154","1380"
"32","2791","2751","2752","2835","2790","2793","2875","2792","2677","2904"
"43","1289","1324","1254","1253","1326","3038","1020","1248","1286","1327"
"52","32","34","38","37","114","68","35","108","72","74"
"73","286","324","246","400","438","362","440","363","209","3012"
"88","954","1147","956","1148","1183","994","1107","1185","1184","1222"
"120","2244","2205","2281","2207","2246","2243","2360","2283","2359","2320"
"150","1292","1291","1367","1329","988","1252","1330","1290","1140","1328"
"152","988","1671","1668","758","1783","757","1062","1025","720","1405"
"158","798","1175","1558","1212","492","1556","529","2970","760","1824"
"162","1055","1169","1131","2994","1129","1052","1130","1321","1015","1283"
"168","2359","2357","2959","2358","2396","2319","2436","2400","2397","2434"
"174","1329","1292","1140","2730","1097","1330","1178","2767","1102","2728"
"195","1298","1108","1146","2949","1183","1297","1228","1070","1150","1220"
"203","2884","2885","2968","2918","2886","2922","2883","2888","2911","2881"
"217","619","654","656","807","661","658","884","618","617","518"
"220","172","332","438","403","255","254","333","250","246","245"
"224","1063","796","1102","836","795","1026","1140","1177","988","798"
"230","1097","1059","1098","1062","1063","1023","794","1101","1021","1102"
"265","1315","1049","1083","1196","1163","1011","1047","1127","738","704"
"266","658","696","657","621","694","730","624","662","693","731"
"287","1077","1116","1115","1156","1118","2949","1081","1075","1384","1154"
"297","1181","1142","1141","1143","1145","1065","1104","1183","1146","1180"
"313","1043","1047","1039","1083","1078","1042","1114","1082","1091","1052"
"319","1043","1155","807","1077","770","773","1016","845","1045","2949"
"340","1558","1897","1861","1177","1140","1823","1934","1520","1938","988"
"355","1055","676","675","1130","677","1054","709","1093","1017","790"
"368","1196","1190","1194","889","1156","1188","1119","1226","1121","1115"
"371","379","341","414","380","454","417","416","377","494","418"
"376","607","605","645","682","644","3016","646","603","608","683"
"382","71","2933","75","112","76","73","37","114","110","38"
"386","741","709","777","707","2941","708","743","780","478","671"
"425","191","231","153","158","155","306","267","308","192","268"
"444","1214","1252","1213","1215","1291","1254","1251","1253","1518","873"
"448","1291","1254","1292","1214","1368","1253","1364","1329","1518","1252"
"454","2366","2408","2369","2371","2253","2409","2370","2325","2329","2406"
"460","709","824","2941","786","785","822","896","783","859","673"
"474","1364","1288","1401","1402","1363","1250","1254","1438","2943","1325"
"481","1129","1127","1392","826","1125","1163","1390","1160","2941","1123"
"482","1671","1668","1708","1520","1670","1596","1634","1632","1558","2989"
"483","645","568","570","417","682","454","379","646","1213","644"
"486","1239","896","1241","970","898","935","1276","930","1277","822"
"495","883","922","919","1685","1686","1724","881","920","1726","809"
"505","1776","1815","1695","2081","2156","2039","2079","1131","2119","2037"
"518","797","1215","682","642","646","1252","3016","603","644","643"
"534","1078","1077","1042","2949","1075","1039","1384","2936","1109","1380"
"535","1097","1099","1058","1361","1095","1098","1399","1323","1363","1133"
"540","1055","1282","1245","3004","1283","1017","1093","1054","1361","1056"
"554","1177","603","870","642","1139","489","682","1101","1134","646"
"557","1202","1203","1204","1130","1238","1208","900","1243","1205","2994"
"566","646","3016","644","608","605","607","684","567","642","570"
"575","1321","673","777","974","1356","1348","1386","1280","742","1621"
"576","798","873","874","567","1139","646","836","644","719","608"
"592","876","839","837","879","878","875","913","954","838","914"
"599","1209","790","751","525","829","1513","1553","1591","1551","1514"
"619","1440","1026","1062","1063","1102","1330","1744","1023","758","1746"
"627","1214","1215","1213","1252","873","874","1253","1254","1251","912"
"655","1144","1146","1183","1184","1222","1185","2936","1106","1182","1105"
"656","668","630","595","596","559","664","629","517","478","556"
"661","1049","1315","1048","1011","1317","1126","1354","1125","1089","1050"
"671","2090","2123","2950","1743","2162","2166","2161","2126","2163","2085"
