"","Ilp4","CG8147","fkh","tsh","dan","ImpE2","CG43394","knrl","apt","Ama"
"","Cyp310a1","ImpL2","twi","kni","Antp","D","noc","oc","nub","bun"
"","fj","edl","Mes2","disco","run","aay","croc","sna","Btk29A","lok"
"","h","gt","zfh1","Blimp-1","Traf4","brk","dpn","CG11208","rau","Ance"
"","danr","CG14427","trn","odd","ftz","htl","hb","Doc2","Kr","MESR3"
"","toc","Doc3","ken","CG10479","rho","Mdr49","tkv","cad","hkb","srp"
"1","134","170","136","93","206","131","168","162","169","123"
"2","821","784","820","859","2941","782","781","783","819","822"
"9","1181","951","1027","1146","1032","1028","956","1142","1065","1255"
"12","1201","1163","1125","1126","1127","1089","2977","1202","1199","1203"
"27","215","364","286","324","255","330","365","287","245","254"
"30","1191","1226","1228","1224","1222","1192","1184","1189","1183","1223"
"36","500","576","537","575","2978","536","611","574","762","687"
"41","988","794","756","719","718","2502","2543","755","679","2544"
"51","2807","2850","2804","2849","2811","2847","2999","2809","2812","2848"
"56","214","252","139","177","60","54","364","144","215","108"
"58","1251","1405","1140","1367","1178","1252","1062","1440","1402","1102"
"69","1292","1291","1329","988","1330","1062","1025","1367","1102","1098"
"81","1125","1129","1093","1167","1130","1155","1168","1315","1091","1128"
"90","1061","1250","1102","1254","1100","1101","1138","1292","1139","836"
"95","1064","1706","1708","1405","759","1062","1710","1024","1102","1063"
"115","1093","1054","1055","1016","1245","1663","1056","979","1625","1053"
"130","1114","1115","1156","1121","1152","1081","1120","1076","1080","1112"
"131","1155","1040","1002","1230","1037","1001","1305","925","1110","1075"
"143","3033","741","808","550","514","621","842","547","805","806"
"157","1140","988","1025","950","1253","1178","3038","1138","1292","949"
"167","1136","1099","1402","1401","1329","604","567","682","1363","644"
"180","76","114","147","144","37","108","110","111","71","150"
"209","1230","1232","1193","1190","1191","1421","1458","1459","1229","1420"
"212","303","2935","414","304","340","417","454","377","379","416"
"228","1102","873","874","909","986","988","836","1101","1139","912"
"264","1100","225","1136","112","1173","1099","302","2933","300","1138"
"275","1905","1943","2131","2169","1982","2129","1903","2094","2130","1939"
"304","415","263","416","379","414","341","340","378","454","417"
"308","380","341","378","417","263","301","494","379","416","377"
"315","682","646","683","603","645","607","643","680","684","641"
