"","Ilp4","fkh","CG8147","tsh","ImpE2","dan","apt","CG43394","Cyp310a1","knrl"
"","twi","Ama","Antp","oc","D","kni","ImpL2","edl","disco","run"
"","fj","noc","croc","bun","nub","aay","lok","h","zfh1","Mes2"
"","sna","Blimp-1","gt","Traf4","Btk29A","brk","CG10479","rau","danr","dpn"
"","Kr","odd","hkb","Ance","Mdr49","CG14427","ftz","CG11208","trn","hb"
"","Doc2","htl","tkv","Doc3","MESR3","rho","ken","toc","srp","zen"
"5","1364","1212","2943","1292","1250","1401","1175","1368","1438","1291"
"18","1184","1222","1224","1226","1223","1183","1191","1228","1187","1185"
"26","63","138","136","102","101","176","214","251","2973","252"
"46","3008","1361","1400","1323","1362","1438","1019","1097","1816","1155"
"47","1093","1054","1130","1053","1245","1017","1321","1016","1055","3004"
"66","2847","2884","2881","2880","2887","2841","2885","2845","2875","2882"
"70","2691","2724","2762","2767","2687","2726","2645","2689","2728","2682"
"83","707","741","709","810","807","811","671","437","747","474"
"84","309","305","306","270","153","540","346","508","279","269"
"85","1292","1291","1329","1253","1368","1099","1330","1402","1367","1364"
"96","1093","1130","1053","1994","2036","2004","1128","1017","2003","824"
"97","1671","1668","1632","1631","1670","1743","1634","1558","1708","1629"
"110","1292","1329","1291","1330","1709","1746","1747","1402","1744","1558"
"112","1217","1255","1181","1903","1218","953","951","1332","1977","2960"
"113","1252","1215","1214","1290","873","1213","874","1251","912","2943"
"128","683","645","719","684","682","607","756","643","794","680"
"146","569","3016","529","567","607","570","798","684","606","644"
"151","114","37","71","2933","109","74","76","112","38","32"
"153","988","1292","1062","950","1025","986","987","949","759","683"
"155","1201","1199","1125","1161","1236","1200","1202","1203","1198","1204"
"173","1196","1232","1195","1159","1153","1079","1115","1233","1194","1193"
"178","2691","2644","2651","2654","2687","2689","2733","2652","2604","2643"
"216","2687","2682","2645","2684","2647","2724","2644","2685","2722","2646"
"244","1329","1330","1292","1140","1291","1367","1102","1098","1214","1253"
"246","2626","2625","2627","2587","2585","2551","2942","2623","2548","2591"
"247","3038","2996","1634","1631","1520","1672","1368","2956","1671","1633"
"259","950","873","988","986","1291","607","1214","1292","911","1253"
"261","1307","1384","1345","1193","2949","1228","2256","1306","3035","1270"
"321","1230","1229","1150","1191","1188","1226","1147","1193","1153","1232"
"332","34","32","38","74","72","107","71","2933","68","109"
"356","1099","1098","1063","1061","1102","1367","1062","1097","1138","1329"
"359","2941","633","747","675","748","749","741","711","703","712"
"370","1139","1175","798","1212","646","1140","1173","1250","644","608"
"395","1213","3030","1557","1252","1556","1520","2970","1823","1177","1214"
"400","1292","1291","1367","1098","1329","1063","1102","1062","1328","1025"
"402","1140","1558","1178","1177","1139","1861","1823","1899","3030","1938"
"405","1691","1806","1810","1769","1808","1731","1721","1763","1848","1683"
"407","1062","1063","1102","1367","988","760","1101","1064","794","756"
"413","970","967","1040","1004","930","965","929","962","1002","1005"
"427","1031","1065","1104","991","1293","1030","1255","1067","992","1142"
