,croc,CG8147,cad,twi,Cyp310a1,Doc2,Doc3,sna,htl,tsh
,oc,Ilp4,Ance,disco,gt,knrl,run,Mes2,fkh,aay
1,92,136,292,255,148,184,220,221,259,2957
2,635,637,674,675,709,711,747,748,749,2941
3,981,1057,1285,1475,2124,2163,2950,3001,296,527
4,46,57,59,99,47,126,61,91,138,53
5,1626,867,1323,1361,1399,1438,1778,2650,1664,1740
6,1741,1779,1855,867,1019,1323,1361,1399,1438,1627
7,981,1057,1285,1475,148,184,220,221,259,2957
8,32,34,35,37,38,68,74,114,2937,14
9,993,1070,1107,1108,1145,1146,1147,1183,1296,1373
10,113,146,149,181,186,11,60,32,34,35
11,981,1057,1285,1475,296,527,529,564,566,567
12,968,1083,1086,1122,1124,1156,1737,901,902,938
13,2193,2343,2345,2384,673,712,713,865,903,979
15,151,185,187,189,222,223,224,225,226,227
16,2968,2919,2881,2888,2911,2922,2926,2661,2662,2699
17,1475,759,796,797,832,834,835,836,981,1097
18,993,1296,1448,1523,1562,1600,173,174,277,278
19,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
20,290,343,344,345,347,381,382,383,384,385
21,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
22,2045,2083,2197,2349,2049,2084,2087,2088,2089,2090
23,758,830,1026,1177,1216,1406,1442,1444,1481,1520
24,677,2273,2311,829,1513,1626,2271,2309,752,1474
25,15,52,20,32,34,35,37,38,68,74
26,92,136,292,523,148,184,220,221,259,2957
27,212,213,330,331,369,406,407,408,409,442
28,981,831,869,871,872,907,908,910,946,983
29,2639,2599,2641,2680,2681,2683,2939,2673,2677,2709
30,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
31,865,903,979,1016,1017,1093,1739,1775,1776,1814
32,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
33,2232,2269,2307,2308,900,1130,2193,2195,2233,2270
34,993,1070,1107,1108,1145,1146,1147,1160,1183,1296
35,377,413,414,415,416,417,418,448,449,450
36,343,344,345,347,381,382,383,384,385,386
38,758,830,1026,1177,1216,1406,1442,1444,1481,1520
40,2395,2473,2551,2433,2472,2548,2552,2585,2586,2591
41,2730,2734,793,873,874,906,909,911,912,945
42,441,477,479,480,512,513,515,516,547,549
43,377,413,414,415,416,417,418,448,449,450
44,761,763,764,799,800,801,838,839,1980,685
45,941,993,1014,1070,1107,1108,1145,1146,1147,1183
46,865,903,979,1016,1017,1093,1739,1776,1814,1815
47,901,902,938,940,1054,1245,1625,1663,1700,1701
48,2232,2269,2307,2308,900,1130,2193,2195,2233,2270
49,1995,1996,1999,2033,2034,2035,2037,2040,2070,2071
50,2725,1641,1679,1680,1681,1717,1718,1719,1720,1721
51,2804,2765,2806,2807,2810,2811,2842,2999,2809,2847
52,32,34,35,37,38,68,74,114,2937,6
53,635,637,674,675,709,711,747,748,749,901
54,158,159,196,197,198,578,615,616,3031,120
55,527,564,567,603,604,607,608,640,641,642
56,215,31,71,72,73,75,105,106,107,108
57,901,902,938,940,1054,1245,1625,1663,1700,1701
58,873,874,906,909,911,912,945,947,948,949
59,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
60,160,161,199,200,201,202,203,204,206,208
61,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
62,647,951,952,953,990,1597,1635,1749,1750,1787
63,175,445,481,482,484,520,521,522,556,558
65,389,391,426,427,428,429,430,431,433,466
66,2809,2847,2885,2968,2919,2884,1994,2482,2486,2528
67,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
68,2590,2593,2637,2669,2670,2671,2678,2708,2723,2746
69,873,874,906,909,911,912,945,947,948,949
70,2767,2768,2725,2731,2772,2730,2734,2690,2691,2728
