,croc,CG8147,twi,gt,Doc2,Doc3,aay,Mes2,kni,sna
,oc,Ilp4,disco,Cyp310a1,Ance,run,htl,cad,knrl,tsh
1,92,136,292,255,113,146,148,149,181,184
2,635,637,674,675,709,711,747,748,749,2941
4,126,57,59,92,93,94,95,97,99,136
5,867,1323,1361,1399,1438,1626,2650,565,868,1020
6,867,1019,1323,1361,1399,1438,2650,3008,982,1289
7,20,32,34,35,37,38,68,74,114,2937
8,32,34,35,37,38,68,74,114,1513,2937
9,993,1070,1107,1108,1145,1146,1147,1183,1296,1373
10,113,146,148,149,181,184,186,220,221,259
11,981,1057,1285,564,603,607,640,641,642,643
12,968,1083,1086,1122,1124,1156,901,902,938,940
13,2193,2343,2345,2384,2081,2119,2157,2194,2346,2347
14,900,1130,786,787,823,824,825,862,864,901
15,151,185,187,188,189,190,222,223,224,225
16,2968,2919,2881,2888,2911,2922,2926,1994,2482,2486
17,759,796,797,832,834,835,836,981,1097,1099
18,1448,1523,1562,1600,173,174,993,1296,1449,1450
19,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
20,343,344,345,347,381,382,383,384,385,386
21,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
22,2197,2349,2045,2083,2160,2161,2198,2199,2200,2387
23,758,830,1026,1177,1216,1406,1442,2539,2543,2544
25,15,52,485,523,20,32,34,35,37,38
26,46,523,49,60,86,92,136,292,55,61
27,212,213,330,331,369,406,407,408,409,442
30,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
31,865,903,979,1016,1017,1093,2382,2420,2458,2383
32,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
33,2232,2269,2307,2308,900,1130,2193,2195,2233,2270
34,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
35,377,413,414,415,416,417,418,448,449,450
36,343,344,345,347,381,382,383,384,385,386
37,341,379,377,413,414,415,416,417,418,448
38,758,830,1026,1177,1216,1406,1442,2539,2543,2544
39,793,873,874,906,909,911,912,945,947,948
41,2730,2734,793,873,874,906,909,911,912,945
42,2637,2678,2723,2759,2599,2601,2640,2641,2643,2644
43,717,754,755,760,792,565,868,1020,1248,1286
45,2588,2589,2630,941,993,1014,1070,1107,1108,1145
46,865,903,979,1016,1017,1093,2382,2420,2458,2385
47,901,902,938,940,1054,1245,3004,2383,865,903
48,2232,2269,2307,2308,900,1130,2193,2195,2233,2270
50,2636,2679,2720,2725,1955,2173,2210,2213,2214,2248
51,2804,2765,2806,2807,2810,2811,2842,2999,793,1133
52,32,34,35,37,38,68,74,114,2937,183
53,635,637,674,675,709,711,747,748,749,901
54,158,159,196,197,198,578,3031,120,122,153
55,564,603,607,640,641,642,643,646,679,680
56,215,183,265,92,136,139,177,178,214,252
57,901,902,938,940,1054,1245,865,903,979,1016
58,873,874,906,909,911,912,945,947,948,949
59,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
61,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
62,951,952,953,990,1977,1978,2015,2053,2055,2091
63,175,9,10,49,214,252,2973,2974,2976,445
64,993,1070,1107,1108,1145,1146,1147,1160,1183,1296
65,389,391,426,427,428,429,430,431,433,466
66,2809,2847,2885,2968,2884,2772,2919,758,830,1026
67,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
68,2590,2593,2637,2669,2670,2671,2678,2708,2723,2746
69,873,874,906,909,911,912,945,947,948,949
70,2767,2768,2804,2725,2731,2772,2730,2734,2762,2765
71,183,2204,11,60,1853,1929,1967,2195,2233,2270
72,1627,1778,1478,1741,1743,1779,1855,1858,2007,2086
73,160,161,199,200,201,202,203,204,206,208
74,901,902,938,940,1054,1245,865,903,979,1016
75,873,874,906,909,911,912,945,947,948,949
76,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
77,2730,2734,793,873,874,906,909,911,912,945
78,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
80,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
81,865,903,979,1016,1017,1093,2382,2420,2458,901
82,968,1083,1086,1122,1124,1156,901,902,938,940
83,939,976,977,978,1013,1015,1052,1053,1055,1091
84,277,278,279,508,2245,2284,2285,2322,2360,2396
85,831,869,871,872,907,908,910,946,983,985
88,2171,2172,2209,2478,2990,1070,1107,1108,1145,1146
89,160,161,199,200,201,202,203,204,206,208
90,831,869,871,872,907,908,910,946,983,985
91,46,53,88,89,47,83,87,19,41,49
92,183,113,146,148,149,181,184,186,220,221
93,1179,989,991,992,1027,1028,1029,1030,1031,1066
94,795,870,1063,1064,1096,1098,1101,1102,1134,1139
95,564,603,607,640,641,642,643,646,679,680
96,865,903,979,1016,1017,1093,2382,2420,2458,942
97,2124,2163,2950,1478,1743,1858,2086,3001,2049,2084
98,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
99,994,995,997,998,999,1034,1036,1038,1149,1186
100,1478,1743,1858,2086,341,379,873,874,906,909
101,901,902,938,940,1054,1245,3004,2383,865,903
102,758,830,1026,1177,1216,1406,1442,2539,2543,2544
103,831,869,871,872,907,908,910,946,983,985
104,377,413,414,415,416,417,418,448,449,450
105,31,71,72,73,75,106,107,108,109,110
107,57,59,92,93,94,95,97,99,136,292
109,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
110,873,874,906,909,911,912,945,947,948,949
111,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
112,951,952,953,990,1977,1978,2015,2053,2055,2091
113,873,874,906,909,911,912,945,947,948,949
115,901,902,938,940,1054,1245,865,903,979,1016
116,2725,2762,2767,2768,2763,2556,2557,2594,2595,2597
117,1129,1167,1168,1205,1206,1207,1243,1244,2994,900
118,2553,2554,2555,2592,2599,2601,2640,2641,2643,2644
119,927,929,930,965,966,967,970,1163,1195,900
120,1939,2129,2167,2205,2206,2207,2244,2246,761,763
121,968,1083,1086,1122,1124,1156,901,902,938,940
123,901,902,938,940,1054,1245,865,903,979,1016
124,989,991,992,1027,1028,1029,1030,1031,1066,1067
125,2496,2532,2534,788,826,827,863,900,1130,2374
126,251,364,365,92,136,290,291,292,2973,3009
127,1478,1743,1858,2086,873,874,906,909,911,912
128,720,756,757,794,798,645,681,683,717,718
129,865,903,979,1016,1017,1093,2382,2420,2458,901
130,901,902,938,940,1054,1245,865,903,979,1016
131,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
132,295,340,342,378,380,332,333,334,372,373
133,931,932,933,962,963,964,1000,1125,1161,1162
134,2730,2734,793,873,874,906,909,911,912,945
135,340,342,378,380,263,295,335,336,337,338
136,831,869,871,872,907,908,910,946,983,985
137,793,795,870,1063,1064,1096,1098,1101,1102,1134
138,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
139,565,2160,2161,2198,2199,2200,2387,2388,2389,2393
140,1625,1663,1700,1701,1738,635,637,674,675,709
141,3025,2197,2349,3001,867,1019,2650,601,639,980
143,595,251,19,49,60,86,92,136,290,291
144,900,1130,901,902,938,940,1054,1245,2496,2532
145,295,341,379,793,1133,2963,340,342,378,380
146,645,681,683,718,719,721,722,526,564,569
147,900,1130,901,902,938,940,1054,1245,2496,2532
148,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
149,635,637,674,675,709,711,747,748,749,901
150,1019,873,874,906,909,911,912,945,947,948
151,32,34,35,37,38,68,74,114,377,413
152,759,796,797,832,834,835,836,1097,1099,1135
153,2691,2730,2734,2725,340,342,378,380,2693,2695
154,2637,2678,2723,2759,673,712,713,865,903,979
155,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
156,1019,981,1133,2963,873,874,906,909,911,912
157,831,869,871,872,907,908,910,946,983,985
158,720,756,757,794,798,645,681,683,717,718
159,873,874,906,909,911,912,945,947,948,949
160,786,787,823,824,825,862,864,788,789,790
162,1129,1167,1168,1205,1206,1207,1243,1244,2994,900
163,1475,296,529,566,570,447,486,524,1550,113
164,1019,981,1133,2963,873,874,906,909,911,912
165,341,379,1480,1482,1557,1823,1861,1897,1934,3030
167,527,567,604,608,644,1593,1630,1704,3016,1478
168,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
170,1019,981,1133,2963,873,874,906,909,911,912
172,529,566,570,301,303,377,413,414,415,416
173,901,902,938,940,1054,1245,900,939,968,976
174,873,874,906,909,911,912,945,947,948,949
176,2593,2553,2554,2555,2588,2589,2592,2630,2171,2172
177,3004,939,976,977,978,1013,1015,1052,1053,1055
178,2691,2762,2763,2733,2689,2725,2726,2727,2731,2736
179,795,870,1063,1064,1096,1098,1101,1102,1134,1139
180,447,486,32,34,35,37,38,68,74,114
181,32,34,35,37,38,68,74,114,2937,14
182,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
183,1625,1663,1700,1701,1738,901,902,938,940,1054
184,720,756,757,794,798,645,681,683,717,718
185,831,869,871,872,907,908,910,946,983,985
187,1129,1167,1168,1205,1206,1207,1243,1244,2994,900
188,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
189,2496,2532,2534,1179,788,826,827,863,900,1130
190,901,902,938,940,1054,1245,865,903,979,1016
191,1892,1893,1094,1474,1512,1891,295,341,379,1480
192,341,379,377,413,414,415,416,417,418,448
194,901,902,938,940,1054,1245,865,903,979,1016
195,1070,1107,1108,1145,1146,1147,1160,1182,1183,1220
196,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
197,968,1083,1086,1122,1124,1156,901,902,938,940
198,251,445,481,482,484,520,521,522,556,558
199,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
200,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
201,900,1130,901,902,938,940,1054,1245,2496,2532
202,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
203,2809,2847,2885,2968,1994,2482,2486,2528,2772,2919
204,831,869,871,872,907,908,910,946,983,985
205,935,936,937,969,971,972,973,974,975,1001
206,132,135,343,344,345,347,381,382,383,384
207,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
208,377,413,414,415,416,417,418,448,449,450
209,2496,2532,2534,828,865,866,903,904,979,1016
210,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
211,1993,2031,2032,2108,2637,2678,2723,2759,745,746
212,32,34,35,37,38,68,74,114,377,413
213,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
214,341,379,529,566,570,263,377,413,414,415
215,900,1130,901,902,938,940,1054,1245,2496,2532
216,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
217,1915,1917,1946,1947,1950,1952,1985,1991,2997,1957
218,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
219,939,976,977,978,1013,1015,1052,1053,1055,1091
220,474,205,207,240,241,242,243,244,245,280
221,831,869,871,872,907,908,910,946,983,985
222,564,603,607,640,641,642,643,646,679,680
223,941,1014,1397,865,903,979,980,1016,1017,1018
224,795,870,1063,1064,1096,1098,1101,1102,1134,1139
225,2232,2269,2307,2308,961,2141,2180,2181,2182,2183
226,2590,2593,2637,2669,2670,2671,2678,2708,2723,2746
227,900,1130,901,902,938,940,1054,1245,2496,2532
228,873,874,906,909,911,912,945,947,948,949
229,942,1056,2421,2460,2461,2649,867,2650,828,865
230,2693,2695,2770,2730,2734,172,2517,2519,2558,2561
232,54,32,34,35,37,38,68,74,114,2937
233,48,41,49,81,86,2973,445,481,482,484
234,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
235,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
236,761,763,764,799,800,801,838,839,1980,673
237,993,1070,1107,1108,1145,1146,1147,1183,1296,1373
238,1179,989,991,992,1027,1028,1029,1030,1031,1066
240,31,71,72,73,75,105,106,107,108,109
241,2477,2513,2514,2515,2516,2471,2472,2510,2511,2512
242,2588,2589,2630,2636,2679,2720,2551,205,207,240
244,873,874,906,909,911,912,945,947,948,949
245,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
246,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
247,1100,1210,1439,758,830,868,1020,1026,1177,1216
248,1323,1361,1399,1438,981,868,1020,1248,1286,1288
249,1133,2963,795,870,1019,1063,1064,1096,1098,1101
250,1179,989,991,992,1027,1028,1029,1030,1031,1066
251,1739,1775,1776,1814,1815,2004,2947,2998,1778,865
252,793,341,379,873,874,906,909,911,912,945
254,931,932,933,962,963,964,1000,1125,1161,1162
255,1739,1776,1814,1815,2004,2947,2998,865,903,979
256,720,756,757,794,798,564,603,607,640,641
257,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
258,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
259,341,379,377,413,414,415,416,417,418,448
260,523,445,481,482,484,520,521,522,556,558
261,980,1018,1359,1019,2385,2423,3008,941,1014,1397
262,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
263,2610,2793,2795,2796,2798,2829,2830,2831,2832,2834
264,32,34,35,37,38,68,74,114,1100,1210
265,968,1083,1086,1122,1124,1156,901,902,938,940
266,750,788,818,826,827,863,883,2673,2677,2709
267,565,564,603,607,640,641,642,643,646,679
268,32,34,35,37,38,68,74,114,2937,14
269,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
270,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
271,2691,2730,2734,2725,2693,2695,2733,2770,793,873
272,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
273,1625,1663,1700,1701,1738,901,902,938,940,1054
274,1437,1703,2385,2423,676,714,1625,1663,1700,1701
275,761,763,764,799,800,801,838,839,1065,1069
276,951,952,953,990,1977,1978,2015,2053,2055,2091
277,290,524,563,715,295,296,1778,2043,2120,183
278,635,637,674,675,709,711,747,748,749,750
279,635,637,674,675,709,711,747,748,749,2941
280,968,1083,1086,1122,1124,1156,901,902,938,940
281,377,413,414,415,416,417,418,448,449,450
282,1478,1743,1858,2086,341,379,873,874,906,909
283,370,371,133,172,364,365,367,403,405,478
285,1019,981,1133,2963,873,874,906,909,911,912
286,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
287,865,903,979,1016,1017,1093,2382,2420,2458,942
288,1019,981,1133,2963,873,874,906,909,911,912
290,761,763,764,799,800,801,838,839,1065,1069
291,1657,1695,1696,1697,1698,1730,1735,1736,1768,1771
292,865,903,979,1016,1017,1093,2382,2420,2458,942
293,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
294,685,687,723,724,725,762,837,875,876,878
295,2383,941,1014,1397,2107,2152,2184,2197,2220,2221
296,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
297,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
298,1444,1481,1520,1558,1821,1824,1857,1859,1860,1862
299,901,902,938,940,1054,1245,3004,2383,865,903
300,758,830,1026,1177,1216,1406,1442,2539,2543,2544
301,2107,2152,2184,2220,2221,2222,2298,770,961,1010
302,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
303,795,870,1063,1064,1096,1098,1101,1102,1134,1139
304,527,529,566,567,570,604,608,644,3016,377
305,1019,981,1133,2963,873,874,906,909,911,912
306,900,1130,1209,1247,901,902,938,940,1054,1245
308,295,341,379,447,486,340,342,378,380,1444
309,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
310,941,1014,1397,865,903,979,980,1016,1017,1018
311,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
313,968,1083,1086,1122,1124,1156,901,902,938,940
314,1133,2963,795,870,1019,1063,1064,1096,1098,1101
315,564,603,607,640,641,642,643,646,679,680
317,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
318,901,902,938,940,1054,1245,865,903,979,1016
319,1657,1695,1696,1697,1698,1730,1735,1736,1768,1771
320,759,796,797,832,834,835,836,1097,1099,1135
321,1739,1776,1814,1815,2004,2947,2998,865,903,979
322,191,229,267,268,269,270,305,306,307,309
325,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
326,2171,2172,2209,2478,2990,1070,1107,1108,1145,1146
328,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
329,941,1014,1397,865,903,979,980,1016,1017,1018
330,1478,1743,1858,2086,341,379,873,874,906,909
331,873,874,906,909,911,912,945,947,948,949
332,370,212,213,330,331,369,406,407,408,409
