,croc,oc,Ance,Cyp310a1,twi,cad,Mes2,run,kni,knrl
,CG8147,Ilp4,disco,gt,Doc2,Doc3,aay,htl,sna,cnc
1,92,136,215,292,15,52,61,91,137,138
2,635,637,674,675,709,711,747,748,749,2941
3,296,527,529,566,567,570,604,608,644,3016
4,126,84,85,121,123,124,162,163,164,169
5,867,1323,1361,1399,1438,1626,2650,868,1020,1248
8,32,34,35,37,68,74,114,2937,31,38
9,2169,2208,2247,2547,993,1070,1107,1108,1145,1146
10,113,146,148,149,181,184,186,220,221,259
11,981,564,603,607,640,641,642,643,646,679
12,968,1083,1086,1122,1124,1156,745,746,778,779
13,673,712,713,2193,2343,2345,2384,2081,2119,2157
14,786,787,823,824,825,862,864,900,1130,788
15,151,185,187,188,189,190,222,223,224,225
16,2968,2919,2881,2888,2911,2922,2926,1994,2374,2375
17,720,756,757,759,794,796,797,798,832,834
18,173,174,1448,1523,1562,1600,1713,1751,1753,1789
19,160,161,1010,1033,1035,1037,1071,1072,1073,1074
20,154,156,191,343,344,345,347,381,382,383
22,565,2197,2349,602,2045,2083,2160,2161,2198,2199
23,758,830,1026,1177,1216,1406,1442,2539,2543,2544
24,677,2273,2311,752,715,829,2271,2309,565,2197
25,15,32,34,35,37,52,68,74,114,377
26,46,523,49,60,86,92,55,61,90,91
27,212,213,330,331,369,406,408,442,444,514
28,981,1057,1285,831,869,871,872,907,908,910
29,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
30,445,481,482,484,520,521,522,556,558,955
32,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
33,635,637,674,675,709,711,747,748,749,750
34,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
35,377,413,414,415,416,417,418,448,449,450
36,343,344,345,347,381,382,383,384,385,386
37,341,379,1444,1481,1520,1558,1821,1824,1857,1859
38,758,830,1026,1177,1216,1406,1442,2539,2543,2544
39,873,874,906,909,911,912,945,947,948,949
40,2551,2395,2433,2473,2548,2552,2585,2586,2591,2629
41,873,874,906,909,911,912,945,947,948,949
42,968,1083,1086,1122,1124,1156,2637,2678,2723,2759
43,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
44,761,763,764,799,800,801,838,839,1980,685
45,2588,2589,2630,2169,2208,2247,2547,2548,2585,2586
46,788,826,827,863,2496,2532,2534,3029,750,751
47,901,902,938,940,1054,1245,3004,2383,598,635
48,635,637,674,675,709,711,747,748,749,750
49,1957,1992,1996,1999,1657,1695,1696,1697,1698,1730
50,941,1014,1397,2636,2679,2720,3004,2725,2383,939
51,1133,2804,2963,1095,2765,2806,2807,2810,2811,2842
52,32,34,35,37,68,74,114,2937,183,22
53,901,902,938,940,1054,1245,635,637,674,675
54,578,3031,158,159,196,197,198,230,231,233
55,564,603,607,640,641,642,643,646,679,680
56,183,265,136,139,177,178,214,215,252,290
57,901,902,938,940,1054,1245,635,637,674,675
58,873,874,906,909,911,912,945,947,948,949
59,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
60,199,200,201,202,203,204,206,208,236,237
61,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
63,175,214,252,2973,9,10,49,176,2974,2976
64,2169,2208,2247,2547,2661,2662,2699,2700,2737,2738
65,389,391,426,427,428,429,430,431,433,466
66,2809,2847,2885,2968,1994,2374,2375,2412,2413,2416
67,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
68,2590,2593,2637,2669,2670,2671,2678,2708,2723,2746
69,873,874,906,909,911,912,945,947,948,949
70,2767,2768,2804,2725,2731,2772,2730,2734,2762,2765
72,1627,1778,1478,1741,1743,1779,1855,1858,2007,2086
73,171,209,248,286,287,324,325,361,363,437
74,901,902,938,940,1054,1245,635,637,674,675
76,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
78,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
79,1596,1628,1629,1631,1667,1705,1706,1710,1741,1742
81,941,1014,1397,865,903,979,980,1016,1017,1018
82,968,1083,1086,1122,1124,1156,745,746,778,779
83,939,976,977,978,1013,1015,1052,1053,1055,1091
84,277,278,279,508,993,1296,2245,2284,2285,2322
85,831,869,871,872,907,908,910,946,983,985
86,865,903,979,1016,1017,1093,2382,2420,2458,673
87,61,137,138,19,60,63,92,99,216,100
88,1070,1107,1108,1145,1146,1147,1183,1373,1410,1412
89,199,200,201,202,203,204,206,208,236,237
90,831,869,871,872,907,908,910,946,983,985
91,46,47,83,87,53,88,89,19,41,49
92,183,113,146,148,149,181,184,186,220,221
93,1179,2587,2623,2624,2625,2626,2627,2628,2663,2664
95,831,869,871,872,907,908,910,946,983,985
96,865,903,979,1016,1017,1093,2382,2420,2458,673
97,2124,2163,2950,341,379,527,529,566,567,570
98,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
99,957,958,959,960,994,995,997,998,999,1034
100,341,379,1478,1743,1858,2086,340,377,413,414
101,901,902,938,940,1054,1245,3004,2383,635,637
102,758,830,1026,1177,1216,1406,1442,2539,2543,2544
103,831,869,871,872,907,908,910,946,983,985
106,788,826,827,863,2496,2532,2534,3029,750,751
107,57,59,92,93,94,95,99,46,61,91
108,1627,1019,295,341,379,1478,1741,1743,1779,1855
109,501,1065,1069,1103,1104,1105,1106,1141,1142,1143
110,873,874,906,909,911,912,945,947,948,949
112,951,952,953,989,990,991,992,1027,1028,1029
113,873,874,906,909,911,912,945,947,948,949
114,133,172,364,365,367,403,405,478,199,200
115,901,902,938,940,1054,1245,635,637,674,675
