,croc,Ilp4,Ance,Cyp310a1,twi,Doc3,Doc2,cnc,aay,cad
,oc,CG8147,disco,gt,run,htl,kni,Mes2,exex,knrl
1,92,113,146,148,149,181,184,186,220,221
2,635,637,674,675,709,711,747,748,749,2941
3,296,527,529,566,567,570,604,608,644,3016
4,126,84,85,121,123,124,162,163,164,169
5,867,1323,1361,1399,1438,1626,2650,868,1020,1248
6,2690,2728,2729,2767,2768,2730,2734,2689,2725,2726
7,32,34,35,37,68,74,114,2937,113,146
9,2169,2208,2247,2547,993,1070,1107,1108,1145,1146
10,113,146,148,149,181,184,186,220,221,259
12,968,1083,1086,1122,1124,1156,745,746,778,779
13,673,712,713,2193,2343,2345,2384,2081,2119,2157
14,786,787,823,824,825,862,864,900,1130,788
15,151,185,187,188,189,190,222,223,224,225
16,2911,2968,2699,2737,2738,2739,2740,2775,2776,2777
18,173,174,1448,1523,1562,1600,1713,1751,1753,1789
19,160,161,1010,1033,1035,1037,1071,1072,1073,1074
20,154,156,191,343,344,345,347,381,382,383
21,2169,2208,2247,2547,1065,1069,1103,1104,1105,1106
22,565,2197,2349,602,2045,2083,2160,2161,2198,2199
23,758,830,1026,1177,1216,1406,1442,2539,2543,2544
24,677,752,2273,2311,676,714,715,829,2195,2233
25,486,1475,32,34,35,37,68,74,114,377
26,46,523,49,60,86,92,38,55,61,90
27,212,213,330,331,369,406,408,442,444,514
28,981,1057,1285,831,869,871,872,907,908,910
29,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
30,445,481,482,484,520,521,522,556,558,955
31,865,903,979,1016,1017,1093,2382,2420,2458,867
32,3028,2786,2788,2829,2831,2673,2677,2709,2711,2712
33,635,637,674,675,677,709,711,747,748,749
36,343,344,345,347,381,382,383,384,385,386
37,341,379,1444,1481,1520,1558,1821,1824,1857,1859
38,758,830,1026,1177,1216,1406,1442,2539,2543,2544
39,873,874,906,909,911,912,945,947,948,949
40,2551,2395,2433,2473,2548,2552,2585,2586,2591,2629
41,873,874,906,909,911,912,945,947,948,949
42,968,1083,1086,1122,1124,1156,2637,2678,2723,2759
43,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
44,761,763,764,799,800,801,838,839,1980,685
45,2588,2589,2630,2169,2208,2247,2547,2548,2585,2586
46,788,826,827,863,2496,2532,2534,3029,1589,2538
47,901,902,938,940,1054,1245,3004,867,1323,1361
49,1957,1992,1996,1999,1657,1695,1696,1697,1698,1730
51,1133,2804,2963,1095,2765,2806,2807,2810,2811,2840
52,32,34,35,37,68,74,114,2937,183,6
53,901,902,938,940,1054,1245,635,637,674,675
54,578,3031,158,159,196,197,198,230,231,233
55,564,603,607,640,641,642,643,646,679,680
56,183,265,31,71,72,73,75,105,106,107
57,901,902,938,940,1054,1245,635,637,674,675
58,873,874,906,909,911,912,945,947,948,949
59,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
60,199,200,201,202,203,204,206,208,236,237
61,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
62,1179,951,952,953,989,990,991,992,1027,1028
64,2169,2208,2247,2547,2661,2662,2700,993,1070,1107
65,389,391,426,427,428,429,430,431,433,466
66,2809,2847,758,830,1026,1177,1216,1406,1442,2539
68,2590,2593,2637,2669,2670,2671,2678,2708,2723,2746
69,873,874,906,909,911,912,945,947,948,949
70,2767,2768,2762,2804,2725,2731,2772,2730,2734,2690
71,38,183,11,14,16,18,23,24,26,32
73,171,209,248,286,287,324,325,361,363,437
75,873,874,906,909,911,912,945,947,948,949
77,873,874,906,909,911,912,945,947,948,949
78,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
79,1596,1628,1629,1631,1667,1705,1706,1710,1741,1742
80,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
81,865,903,979,1016,1017,1093,2382,2420,2458,673
82,968,1083,1086,1122,1124,1156,745,746,778,779
83,939,976,977,978,1013,1015,1052,1053,1055,1091
