,oc,CG8147,disco,Cyp310a1,Doc2,gt,knrl,Mes2,Dfd,tsh
,croc,Ilp4,twi,Ance,Doc3,htl,run,kni,sna,dan
1,92,136,253,292,181,184,220,221,255,259
2,747,748,749,2941,597,598,599,633,634,635
3,981,1323,1361,1399,1437,1438,1475,1513,1626,1703
5,867,981,1323,1361,1399,1438,1626,2650,1246,1284
6,1019,867,981,1133,1323,1361,1399,1438,2650,2963
7,20,32,34,35,37,38,68,74,114,981
8,32,34,35,37,38,68,74,114,2937,31
9,1296,1373,1410,1412,2169,2208,2247,2471,2472,2510
10,113,146,148,149,186,11,60,32,34,35
11,981,1323,1361,1399,1438,1057,1285,643,679,680
12,935,936,937,968,969,971,972,973,974,975
13,2193,2343,2345,2384,2081,2119,2157,2194,2346,2347
14,19,900,1129,1130,1167,1168,1205,1206,1207,1243
15,151,185,190,224,3013,113,146,148,149,186
17,759,796,797,832,834,835,836,981,1097,1099
18,173,174,993,1448,1523,1562,1600,277,278,279
19,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
21,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
23,758,795,830,870,1026,1063,1064,1096,1098,1101
24,2273,2311,829,2271,2309,2197,2201,2237,2238,2239
25,15,52,20,32,34,35,37,38,68,74
26,49,60,86,90,92,136,253,292,2928,113
27,212,213,330,331,369,406,407,408,409,442
28,981,1323,1361,1399,1438,831,868,869,871,872
29,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
30,1221,1258,1259,1297,1334,1372,1374,2951,996,1032
31,865,903,941,979,1014,1016,1017,1093,1397,2382
32,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
33,2232,2269,2307,2308,900,1129,1130,1167,1168,1205
34,993,1070,1107,1108,1145,1146,1147,1183,2551,2588
35,377,413,414,415,416,417,418,454,455,456
36,2016,2017,2054,2056,2093,2931,1977,1978,2015,2018
37,341,379,448,449,450,451,452,453,487,488
39,2654,2655,2657,2658,2692,2693,2696,2732,793,2653
40,2548,2585,2586,2587,2591,2623,2624,2625,2626,2627
41,2654,2655,2657,2658,2691,2692,2693,2696,2730,2732
42,160,161,199,200,201,202,203,204,206,208
43,831,868,869,871,872,907,908,910,946,983
44,761,763,764,799,800,801,838,685,687,723
45,865,903,941,979,993,1014,1016,1017,1070,1093
46,1019,2383,873,874,906,909,911,912,945,947
47,3004,901,902,938,939,940,976,977,978,1013
48,2232,2269,2307,2308,900,1129,1130,1167,1168,1205
49,1996,1999,1381,1415,1417,1419,1452,1454,1458,1459
50,788,826,827,863,1955,2214,2485,2487,2523,2524
51,2772,2804,2809,2847,2730,2734,2765,2766,2769,2771
52,32,34,35,37,38,68,74,114,2937,6
53,747,748,749,901,902,938,939,940,976,977
54,158,159,196,197,198,578,3031,120,122,153
55,564,565,603,607,640,641,642,646,527,567
56,183,215,293,31,71,72,73,75,105,106
58,873,874,906,909,911,912,945,947,948,949
59,865,903,941,979,1014,1016,1017,1093,1397,2382
60,172,133,249,364,365,367,403,405,478,212
61,2695,2698,2735,2770,2984,2654,2655,2657,2658,2692
62,1977,1978,2015,2053,2055,2091,2092,2130,2131,2168
63,175,214,252,2973,786,787,823,824,825,862
64,1296,1373,1410,1412,2169,2208,2247,2471,2472,2510
65,389,391,426,427,428,429,430,431,433,466
66,2772,2804,2809,2847,2885,2968,2840,2884,2767,2768
67,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
69,873,874,906,909,911,912,945,947,948,949
70,2767,2768,2731,2772,2804,2809,2847,2763,2765,2766
71,183,255,265,181,184,220,221,256,259,294
72,1778,1627,1741,1779,1855,2007,867,1626,1702,1816
73,121,123,162,163,164,169,171,209,248,286
74,901,902,938,939,940,976,977,978,1013,1015
75,873,874,906,909,911,912,945,947,948,949
76,2551,2588,2589,2630,2169,2208,2247,2471,2472,2510
77,2654,2655,2657,2658,2691,2692,2693,2696,2730,2732
78,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
79,1593,1596,1627,1628,1629,1630,1631,1667,1704,1705
80,957,958,959,960,1994,2177,2367,2445,2484,2486
81,865,903,941,979,1014,1016,1017,1093,1397,2382
82,935,936,937,968,969,971,972,973,974,975
83,901,902,938,939,940,976,977,978,1013,1015
84,277,278,279,508,205,207,240,241,242,243
85,831,868,869,871,872,907,908,910,946,983
86,865,903,941,979,1014,1016,1017,1093,1397,2382
87,61,63,137,138,216,714,92,99,136,139
88,1070,1107,1108,1145,1146,1147,1183,273,274,275
89,160,161,199,200,201,202,203,204,206,208
90,831,868,869,871,872,907,908,910,946,983
92,113,146,148,149,186,183,31,71,72,73
93,989,991,992,1027,1028,1029,1030,1031,1066,1067
94,758,795,830,870,1026,1063,1064,1096,1098,1101
95,2695,2698,2735,2770,2984,643,679,680,682,684
96,865,903,941,979,1014,1016,1017,1093,1397,2382
97,2049,2084,2087,2088,2089,2090,2123,2124,2125,2126
98,2556,2557,2594,2595,2597,2599,2601,2636,2637,2638
99,994,995,997,998,999,1034,1036,1038,1149,1186
100,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
101,3004,901,902,938,939,940,976,977,978,1013
102,758,795,830,870,1026,1063,1064,1096,1098,1101
103,831,868,869,871,872,907,908,910,946,983
104,377,413,414,415,416,417,418,454,455,456
105,31,71,72,73,75,103,106,107,108,109
106,2496,2532,2534,828,865,866,903,904,941,979
107,57,59,92,93,94,95,96,97,98,99
108,295,296,341,379,1627,1741,1779,1855,183,263
110,873,874,906,909,911,912,945,947,948,949
111,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
112,1977,1978,2015,2053,2055,2091,2092,2130,2131,2168
113,873,874,906,909,911,912,945,947,948,949
114,172,133,249,364,365,367,403,405,478,160
115,901,902,938,939,940,976,977,978,1013,1015
116,2763,2725,2767,2768,2724,2762,2764,2801,2802,2803
117,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
118,2553,2554,2555,2592,2593,1070,1107,1108,1145,1146
119,927,929,930,931,932,933,962,963,964,965
120,839,1065,1069,1103,1104,1105,1106,1141,1142,1143
121,935,936,937,968,969,971,972,973,974,975
122,2654,2655,2657,2658,2692,2693,2696,2732,873,874
123,901,902,938,939,940,976,977,978,1013,1015
124,989,991,992,1027,1028,1029,1030,1031,1066,1067
125,1223,1260,1261,1299,1336,1339,2328,2496,2532,2534
126,251,291,3009,249,364,365,92,136,253,290
127,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
128,717,720,754,755,756,757,760,792,794,798
129,865,903,941,979,1014,1016,1017,1093,1397,2382
130,901,902,938,939,940,976,977,978,1013,1015
131,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
133,927,929,930,931,932,933,962,963,964,965
134,2654,2655,2657,2658,2691,2692,2693,2696,2730,2732
136,831,868,869,871,872,907,908,910,946,983
137,793,758,795,830,870,1026,1063,1064,1096,1098
138,2551,2588,2589,2630,2169,2208,2247,2471,2472,2510
139,643,679,680,682,684,2160,2161,2198,2199,2200
140,1396,1433,1434,1624,1625,1661,1662,1663,1700,1701
141,867,2650,2197,2349,829,905,943,1398,2081,2119
142,994,995,997,998,999,1034,1036,1038,1149,1186
143,595,696,730,846,445,481,482,484,520,521
144,172,900,1129,1130,1167,1168,1205,1206,1207,1243
145,295,341,379,32,34,35,37,38,68,74
146,526,564,565,569,603,606,607,640,641,642
147,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
149,747,748,749,901,902,938,939,940,976,977
150,1019,873,874,906,909,911,912,945,947,948
151,32,34,35,37,38,68,74,114,2937,31
152,759,796,797,832,834,835,836,1097,1099,1100
153,2654,2655,2657,2658,2691,2692,2693,2696,2730,2732
154,673,712,788,826,827,863,1955,2214,2485,2487
155,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
156,1019,867,981,1133,1323,1361,1399,1438,2650,2963
157,831,868,869,871,872,907,908,910,946,983
158,377,413,414,415,416,417,418,454,455,456
159,873,874,906,909,911,912,945,947,948,949
160,560,595,786,787,823,824,825,862,864,445
161,1593,1596,1628,1629,1630,1631,1667,1704,1705,1706
162,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
163,1475,1513,296,1550,1551,181,184,220,221,259
164,1019,867,981,1133,1323,1361,1399,1438,2650,2963
165,341,379,1444,1480,1481,1482,1520,1557,1558,1821
166,212,213,330,331,369,406,407,408,409,442
167,1593,1596,1628,1629,1630,1631,1667,1704,1705,1706
168,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
169,501,191,229,267,268,269,270,305,306,307
170,1019,867,981,1133,1323,1361,1399,1438,2650,2963
171,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
172,529,566,570,448,449,450,451,452,453,487
173,901,902,938,939,940,976,977,978,1013,1015
174,2767,2768,2730,2734,2731,2736,2772,2804,2809,2847
175,249,364,365,288,327,328,366,404,474,677
176,2553,2554,2555,2592,2593,2551,2588,2589,2630,2171
177,3004,901,902,938,939,940,976,977,978,1013
178,2763,2733,2724,2762,2764,2801,2802,2803,2805,2843
180,32,34,35,37,38,68,74,114,2937,14
181,32,34,35,37,38,68,74,114,2937,31
