,oc,CG8147,twi,Cyp310a1,Ance,disco,Doc3,Mes2,knrl,tsh
,croc,Ilp4,Doc2,gt,cad,run,aay,htl,Btk29A,CG11208
1,113,146,148,149,181,184,186,220,221,2957
2,635,637,674,675,676,709,711,713,714,747
3,981,1057,1285,1475,32,34,35,37,38,68
4,126,57,59,92,93,94,95,97,99,136
5,1626,867,1323,1361,1399,1438,1778,2650,676,714
6,1741,1779,1855,2690,2728,2729,2767,2768,2730,2734
7,52,15,19,20,32,34,35,37,38,60
8,32,34,35,37,38,68,74,114,2937,71
9,1147,993,1032,1070,1071,1107,1108,1109,1110,1145
11,981,52,296,486,524,563,600,601,1057,1285
12,901,902,936,937,975,1050,1051,1088,1089,1090
14,900,1130,520,521,787,825,864,930,938,940
15,151,185,187,188,189,190,222,223,224,225
16,2968,2919,2809,2847,2881,2888,2911,2922,2813,2772
17,1475,759,796,797,832,834,835,836,981,1097
18,441,477,479,480,507,512,513,515,516,547
19,1357,1464,1465,1466,1617,1619,1620,1621,1656,1659
20,290,344,345,347,381,382,383,384,385,386
21,1147,993,1032,1070,1071,1107,1108,1109,1110,1145
22,602,2045,2083,2197,2349,525,716,1626,2049,2084
23,758,830,1026,1177,1216,1406,1442,1444,1481,1520
24,562,677,752,2273,2311,525,829,1209,1513,1626
25,15,20,32,34,35,37,38,68,74,114
26,49,60,92,136,113,146,148,149,181,184
27,212,213,175,215,251,133,330,331,369,406
28,981,1057,1285,1475,831,869,871,872,907,908
29,2639,2480,2673,2677,2709,2711,2712,2714,2715,2748
30,1032,955,956,994,996,999,1184,1221,1222,1258
31,2004,2947,979,1016,1093,1160,1730,1739,1768,1771
33,445,481,482,484,522,556,558,559,561,595
34,1147,2587,2588,2589,2623,2624,2625,2626,2627,2628
35,377,413,414,417,418,448,450,451,452,453
36,343,497,498,687,725,762,329,398,399,473
37,379,377,413,414,417,418,448,450,451,452
38,758,830,1026,1177,1216,1406,1442,1444,1481,1520
39,793,873,874,906,909,911,912,945,947,948
40,2551,2395,2433,2473,2548,2552,2585,2586,2591,2629
41,793,2730,2734,873,874,906,909,911,912,945
42,583,160,161,199,200,201,202,203,204,206
44,763,839,761,764,765,799,800,801,803,840
45,2588,2589,2630,993,1070,1107,1108,1145,1146,1183
46,2004,2947,1741,1779,1855,979,1016,1093,1160,1730
47,901,902,938,939,940,976,977,978,1015,1052
48,709,711,747,748,749,750,901,902,2232,2269
49,2077,2078,2079,2080,2115,2116,2117,2151,2153,2154
50,2636,957,1641,1679,1680,1681,1717,1718,1719,1720
51,2804,2765,2806,2807,2810,2811,2840,2842,2999,793
53,635,637,674,675,938,940,1054,1245,1625,1663
54,158,578,3031,159,160,161,196,197,198,199
55,527,564,567,602,603,604,607,608,640,641
56,215,183,212,213,31,75,106,107,108,111
57,938,940,968,1054,1083,1086,1122,1124,1156,1245
58,873,874,906,909,911,912,945,947,948,949
59,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
60,439,475,476,511,544,545,546,548,581,121
61,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
