,croc,oc,disco,Cyp310a1,run,Doc3,Mes2,aay,knrl,tsh
,CG8147,Ilp4,Ance,twi,Doc2,gt,cad,htl,cnc,Btk29A
1,92,136,215,61,91,100,137,138,253,46
2,786,787,823,824,825,862,864,788,789,790
3,600,601,638,639,1246,1284,1322,1360,1436,3004
4,46,126,57,59,92,93,94,95,99,61
5,1626,867,1323,1361,1399,1438,1778,2650,676,714
6,2004,2947,865,903,979,1016,1017,1093,1160,1730
7,32,34,35,37,68,74,114,2937,113,146
8,1513,900,927,929,965,966,967,970,1130,1195
9,1713,1751,1753,1789,1790,1791,1827,1904,1941,2245
10,292,259,113,146,148,149,181,184,186,220
11,523,15,20,38,52,445,481,482,484,520
12,930,1163,1547,900,927,929,965,966,967,970
13,2004,2947,1777,865,903,979,1016,1017,1093,1160
14,786,787,823,824,825,862,864,330,331,369
16,2968,2919,2809,2847,2881,2888,2911,2922,2813,2772
17,1475,759,796,797,832,834,835,836,981,1097
18,993,1296,1448,1523,1562,1600,989,991,992,1027
19,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
20,132,154,156,191,290,344,345,347,381,382
21,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
22,565,635,637,674,675,709,711,747,748,749
23,793,341,379,795,870,1063,1064,1096,1098,1101
24,525,1475,1132,1169,1170,1208,1473,1474,1511,1512
25,32,34,35,37,68,74,114,2937,31,38
26,46,53,88,89,47,83,84,85,87,124
27,367,403,405,478,786,787,823,824,825,862
28,1246,1284,1322,1360,1436,3004,981,1626,831,867
29,2639,2599,2601,2640,2641,2939,2480,2673,2677,2709
30,994,995,997,998,999,1034,1036,1038,1149,1186
31,2483,2487,2523,2524,2525,2527,2562,2564,2602,2004
32,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
34,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
35,486,753,22,28,30,36,66,377,413,414
36,343,497,498,344,345,347,381,382,383,384
37,377,413,414,415,416,417,418,448,449,450
38,758,830,1026,1177,1216,1406,1442,1444,1481,1520
39,981,3004,527,564,567,603,604,607,608,640
40,2551,2395,2433,2473,2548,2552,2585,2586,2591,2629
41,2804,2767,2768,2636,2765,2806,2807,2810,2811,2840
42,583,2637,2678,2599,2601,2640,2641,2939,199,200
43,720,756,757,794,798,527,564,567,603,604
44,761,763,799,801,839,1980,764,765,800,803
45,2588,2589,2630,653,969,1001,1002,1003,1004,1005
46,1853,2004,2612,2947,1587,1813,1887,1889,1890,1928
47,900,1130,901,902,938,940,1054,1245,1587,1625
48,783,784,785,817,819,820,821,822,853,854
49,2077,2078,2079,2080,2115,2116,2117,2151,2153,2154
50,804,802,2987,764,765,800,803,838,840,841
51,2804,2674,2675,2676,2710,2713,2982,2919,2809,2847
52,32,34,35,37,68,74,114,2937,183,31
53,597,599,633,634,636,670,671,672,707,710
55,527,564,567,603,604,607,608,640,641,642
56,31,71,72,73,75,106,107,108,109,110
57,901,902,938,940,968,1054,1083,1086,1122,1124
58,873,874,906,909,911,912,945,947,948,949
60,439,475,476,511,544,545,546,548,581,199
61,867,1777,1778,2650,1741,1779,1855,2007,2654,2655
62,690,951,952,953,990,1597,1635,1749,1750,1787
63,175,214,252,2973,173,174,212,213,9,10
64,1737,901,902,930,935,936,937,938,940,968
66,1775,829,2809,2847,788,818,826,827,863,1504
67,994,995,997,998,999,1034,1036,1038,1149,1186
68,2590,2593,2637,2669,2670,2671,2678,2708,2746,2749
69,1133,2963,795,870,1019,1063,1064,1096,1098,1101
70,2761,2725,2772,2716,2721,2767,2768,2552,2556,2557
71,523,750,183,265,38,259,445,481,482,484
72,867,1019,1627,1778,2650,980,1018,1359,3025,873
73,439,475,476,511,544,545,546,548,581,199
74,901,902,938,940,968,1054,1083,1086,1122,1124
75,1019,1627,873,874,906,909,911,912,945,947
76,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
77,2730,2734,793,873,874,906,909,911,912,945
78,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
79,717,754,755,760,792,1513,1100,1210,1323,1361
80,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
81,941,1014,1397,865,903,979,980,1016,1017,1018
83,2679,2720,439,475,476,511,544,545,546,548
84,273,274,275,276,311,312,577,955,956,1638
85,1475,759,796,797,832,834,835,836,981,1097
86,2004,2947,1777,865,903,979,1016,1017,1093,1160
87,126,92,61,91,100,137,138,253,47,83
88,273,274,275,276,311,312,955,956,1638,1639
89,439,475,476,511,544,545,546,548,581,199
90,759,796,797,832,834,835,836,1097,1099,1135
91,46,47,83,84,85,87,124,53,88,89
92,183,32,34,35,37,68,74,114,2937,113
93,1182,1220,1371,1486,1179,954,996,1032,1184,1221
94,759,796,797,832,834,835,836,1097,1099,1135
95,720,756,757,794,798,527,564,567,603,604
96,788,826,827,863,3029,750,751,791,1587,1928
97,341,379,527,529,564,566,567,570,603,604
99,618,619,621,957,958,959,960,1755,1757,1758
100,1019,1627,981,1133,2963,873,874,906,909,911
101,1775,1737,1626,901,902,938,940,968,1054,1083
102,793,341,379,795,870,1063,1064,1096,1098,1101
104,377,413,414,415,416,417,418,448,449,450
105,31,71,72,73,75,106,107,108,109,110
106,1813,1887,1889,1962,1966,2002,2374,2375,2412,2413
107,57,59,92,93,94,95,99,46,126,61
108,295,341,379,1019,1627,342,378,380,873,874
109,230,231,233,234,235,271,272,308,346,3010
110,831,869,871,872,907,908,910,946,983,985
111,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
112,951,952,953,990,1597,1635,1749,1750,1787,1788
113,831,869,871,872,907,908,910,946,983,985
114,439,475,476,511,544,545,546,548,581,199
115,900,1130,901,902,938,940,1054,1245,1587,1625
116,2556,2557,2594,2595,2597,2638,1010,1033,1035,1037
117,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
118,2552,2590,2634,2639,2669,2670,2671,2708,2746,2749
119,857,858,859,860,861,892,893,894,896,897
120,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
121,927,929,965,966,967,970,1195,968,1083,1086
122,793,873,874,906,909,911,912,945,947,948
123,1737,901,902,938,940,968,1054,1083,1086,1122
124,989,991,992,1027,1028,1029,1030,1031,1066,1067
125,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
126,132,123,162,163,164,169,3012,57,59,92
128,720,756,757,794,798,377,413,414,415,416
129,850,968,1083,1086,1122,1124,1156,2483,2487,2523
130,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
131,994,995,997,998,999,1034,1036,1038,1149,1186
132,32,34,35,37,68,74,114,295,341,379
134,2804,2730,2734,873,874,906,909,911,912,945
135,342,378,380,295,335,336,337,338,339,341
136,831,869,871,872,907,908,910,946,983,985
137,793,341,379,795,870,1063,1064,1096,1098,1101
138,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
139,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
140,901,902,938,940,1054,1245,1625,1663,1700,1701
141,867,1019,1627,1778,2650,980,1018,1359,3025,873
142,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
143,17,19,2689,2725,2726,2727,367,403,405,478
144,900,1130,901,902,938,940,1054,1245,1587,1625
145,295,341,379,2725,342,378,380,332,377,413
146,720,756,757,794,798,377,413,414,415,416
147,560,786,787,823,824,825,862,864,445,481
148,2643,2644,2645,2680,2681,2682,2683,2685,2722,2599
150,1019,1627,873,874,906,909,911,912,945,947
151,32,34,35,37,68,74,114,2937,31,38
152,377,413,414,415,416,417,418,448,449,450
153,2691,2730,2734,2725,2693,2695,2733,2770,793,873
154,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
155,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
157,831,869,871,872,907,908,910,946,983,985
158,720,756,757,794,798,2693,2695,2770,377,413
159,873,874,906,909,911,912,945,947,948,949
160,786,787,823,824,825,862,864,788,789,790
161,759,796,797,832,834,835,836,1097,1099,1135
162,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
163,1475,2313,1171,1550,569,606,645,681,683,718
164,295,341,379,1019,1627,342,378,380,873,874
165,793,340,720,756,757,794,798,341,379,526
166,121,159,160,161,196,197,198,480,439,475
167,720,756,757,794,798,377,413,414,415,416
168,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
169,501,2587,2623,2624,2625,2626,2627,2628,2663,2664
170,1019,1627,981,1133,2963,873,874,906,909,911
171,2717,2718,2719,2753,2754,2755,2756,2757,2758,2760
172,529,566,570,301,303,377,413,414,415,416
173,968,1083,1086,1122,1124,1156,622,654,656,657
174,2730,2734,2691,2767,2768,2762,2804,2693,2695,2733
175,367,403,405,478,133,328,330,331,365,366
176,2636,2556,2557,2593,2594,2595,2597,2637,2638,2678
177,3004,939,969,976,977,978,1001,1002,1003,1004
178,2556,2557,2594,2595,2597,2638,2762,2691,2517,2519
179,795,870,1063,1064,1096,1098,1101,1102,1134,1139
180,32,34,35,37,68,74,114,2937,31,38
182,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
183,901,902,938,940,1054,1245,1625,1663,1700,1701
184,720,756,757,794,798,1475,377,413,414,415
185,831,869,871,872,907,908,910,946,983,985
186,1,2,3,4,5,6,7,8,9,10
187,931,932,933,1125,1162,1164,1165,1166,1200,1201
188,1357,1464,1465,1466,1617,1619,1620,1621,1656,1659
189,1890,989,991,992,1027,1028,1029,1030,1031,1066
190,901,902,938,940,1054,1245,1625,1663,1700,1701
191,523,3004,525,720,756,757,794,798,1475,377
192,341,379,342,378,380,377,413,414,415,416
193,981,831,869,871,872,907,908,910,946,983
194,901,902,938,940,1054,1245,1625,1663,1700,1701
195,1070,1107,1108,1145,1146,1147,1160,1182,1183,1220
196,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
197,1737,901,902,938,940,968,1054,1083,1086,1122
198,524,445,481,482,484,520,521,522,556,558
199,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
200,2559,2560,2563,2598,2600,2603,2604,2642,2599,2601
201,900,1130,901,902,938,940,1054,1245,1587,1625
202,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
203,1775,829,2809,2847,788,818,826,827,863,1504
204,831,869,871,872,907,908,910,946,983,985
205,935,936,937,971,972,973,974,975,1011,1012
206,690,951,952,953,990,1597,1635,1749,1750,1787
207,1737,901,902,938,940,968,1054,1083,1086,1122
208,377,413,414,415,416,417,418,448,449,450
209,1587,1928,2496,2532,2534,828,865,866,903,904
211,770,1915,1917,1946,1947,1950,1951,1952,1984,1985
212,32,34,35,37,68,74,114,2937,31,38
213,578,3031,501,158,199,200,201,202,203,204
215,930,1163,1547,900,927,929,965,966,967,970
216,2639,2643,2644,2645,2680,2681,2682,2683,2685,2722
217,46,622,654,656,657,658,661,53,88,89
220,329,474,367,403,405,478,507,175,250,368
221,831,869,871,872,907,908,910,946,983,985
222,527,564,567,603,604,607,608,640,641,642
223,597,599,633,634,636,670,671,672,707,710
224,1171,1550,833,1057,1095,1209,1247,1285,1475,1551
226,2637,2678,2483,2487,2523,2524,2525,2527,2562,2564
228,1019,1627,873,874,906,909,911,912,945,947
229,1160,1730,1768,1771,1772,1773,1774,1775,1885,1921
230,2725,368,367,403,405,478,560,2651,2688,172
231,1813,1887,1889,1962,1966,2002,2374,2375,2412,2413
232,38,523,21,54,215,9,10,11,14,16
233,49,445,481,482,484,520,521,522,556,558
234,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
235,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
237,993,1070,1107,1108,1145,1146,1147,1183,1296,1373
238,1179,951,952,953,990,1597,1635,1749,1750,1787
239,341,379,795,870,1063,1064,1096,1098,1101,1102
240,295,332,342,378,380,333,334,371,372,373
241,2474,2475,2476,2395,2433,2473,2477,2513,2514,2515
242,542,2958,205,207,240,241,242,243,244,245
243,407,409,443,446,483,517,518,519,92,251
244,831,869,871,872,907,908,910,946,983,985
245,565,635,637,674,675,709,711,747,748,749
246,2826,2587,2623,2624,2625,2626,2627,2628,2663,2664
247,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
248,1513,1209,1247,1475,1551,1100,1210,1323,1361,1399
249,793,1133,2963,295,341,379,795,870,1019,1063
250,1179,989,991,992,1027,1028,1029,1030,1031,1066
251,901,902,938,940,968,1054,1083,1086,1122,1124
252,1019,1627,873,874,906,909,911,912,945,947
