0,htl,sna,twi,brk,NetA,nub,zen,Doc3,eve,oc
0,zfh1,Mes2,Mdr49,Doc2,Antp,croc,tsh,zen2,kni,ken
4,92,138,292,119,83,118,136,50,90,51
16,2911,2920,2913,2916,2906,2909,2903,2917,2921,2914
20,310,347,384,387,422,424,425,573,612,611
22,758,950,988,1026,1102,835,836,1022,983,984
38,3002,835,836,873,874,912,759,3014,1177,1139
57,1009,1013,1015,1016,1045,1047,1048,1234,1195,1196
68,2439,2475,2477,2478,2513,2514,2515,2825,2826,2824
91,84,124,292,46,47,87,136,248,211,209
109,1107,1145,1146,1147,1184,1103,1105,998,960,959
132,73,72,76,37,74,114,34,35,71,110
135,263,264,225,226,302,189,265,300,187,227
148,2796,2795,2835,2834,2832,2833,2874,2831,2794,2793
179,988,950,1026,987,949,986,1025,911,948,1024
183,1427,1433,1434,1435,1464,1470,1615,1127,1164,1126
187,1389,1429,1466,1425,1431,1468,1995,938,976,939
188,1009,1013,1015,1016,1045,1047,1048,854,892,855
201,1009,1013,1015,1016,1045,1047,1048,1205,1243,1242
202,1295,1333,989,991,992,1027,1028,2397,2398,2359
213,158,197,120,121,122,123,157,2955,698,697
222,982,981,754,830,868,906,944,794,793,832
233,2,4,2974,44,3,7,5,351,313,314
238,1370,1408,1369,1407,1409,799,801,1032,993,994
248,1399,1026,1102,3008,1021,1022,1023,1253,1215,1252
250,1103,1142,1141,1105,1065,1104,1066,1027,1180,1067
255,1470,1433,1432,1471,1508,1395,1509,1394,1469,1546
268,37,76,110,114,2933,73,71,75,72,112
281,1140,1133,1285,2963,1020,1058,1134,1251,1289,1288
282,1671,1708,1709,1746,1520,1558,758,1479,1518,1480
288,1062,1063,1061,1100,1138,1139,1101,1099,1176,3014
298,1671,1708,1709,1746,758,950,988,1443,1405,1481
300,1402,1327,1365,1364,1289,1326,1403,1328,1366,1404
310,1459,1460,1495,1533,1003,1041,1042,1269,3035,1307
317,1108,1222,1003,1041,1042,1071,1072,1264,1226,1225
318,1045,1083,1084,1046,1007,1122,1082,1044,1121,1008
329,1389,1429,1466,1043,1075,1077,1078,1236,1274,1237
335,1389,1429,1466,1043,1075,1077,1078,1615,1577,1653
358,158,197,133,170,210,211,212,624,662,661
362,607,645,646,683,684,719,720,910,911,948
367,1417,1613,1459,1460,1495,1533,1471,1804,1765,1803
387,720,683,645,721,760,2938,759,722,796,758
396,1520,1558,1140,1441,1443,1477,1478,1555,2989,2944
415,2841,2877,2879,2917,2921,2924,2884,2803,2842,2765
422,481,482,520,519,480,443,557,558,556,518
441,1446,1408,1370,1445,1407,1484,1369,1483,1522,3034
442,1427,1433,1434,1435,1464,1470,1615,1769,1807,1808
452,1140,1026,1102,835,836,873,874,1404,1366,1367
465,254,255,215,253,293,103,140,55,56,53
476,1073,998,997,1036,1035,959,960,999,1074,1034
478,1202,1201,1164,1125,1126,1163,1087,1127,1124,1088
484,1009,1013,1015,1016,1045,1047,1048,1166,2977,1129
500,1009,1013,1015,1016,1045,1047,1048,2967,1241,1279
525,758,950,988,1671,1708,1709,1746,1139,1101,3014
526,1009,1013,1015,1016,1045,1047,1048,1128,1090,2977
530,327,326,291,328,2995,289,365,366,364,3009
539,1070,1107,1069,1106,1144,1145,1068,1182,1108,1031
541,1559,1561,1598,1600,1597,1599,1635,1484,1483,3034
543,2918,2911,2840,2902,2908,2920,2923,2706,2704,2705
550,635,671,673,707,708,709,710,407,3017,445
564,2479,2480,2481,2485,2517,2518,2519,2794,2757,2755
565,1438,1399,1026,1102,1401,1402,1405,1951,1953,1913
567,1026,1102,3008,1020,1058,1021,1022,1366,1404,1328
583,635,671,673,707,708,709,710,2643,2682,2681
590,835,836,873,874,912,1520,1558,1252,1253,1290
591,1043,1075,1077,1078,1079,1080,1081,1657,1619,1658
606,73,76,72,114,37,74,71,110,34,2933
612,802,803,840,841,842,879,880,808,846,807
628,1026,1102,1140,1020,1058,758,950,1479,1518,1556
631,1633,1632,1594,1595,2996,2970,3030,1557,2956,2989
638,120,121,122,123,157,159,160,329,368,366
648,1026,1102,1021,1022,1023,1024,1025,1555,1517,1556
666,1026,1102,1140,1021,1022,1023,1024,1214,1252,1176
691,1138,1139,1100,1063,1101,1062,1025,1024,3014,1061
728,1671,1708,1709,1746,2160,2161,2426,1822,1860,1823
738,1165,1166,1167,1168,1197,1199,1200,1057,1094,3025
748,1017,1055,1009,1013,1015,1016,1045,826,3029,788
799,1483,1484,1485,1521,1522,1523,1560,1750,1712,1713
800,1459,1460,1495,1533,1471,1472,1502,1614,1613,1652
802,1024,1025,1023,986,948,987,1062,985,949,947
811,1401,1402,1405,1406,1440,1442,1362,1632,2996,1670
821,1389,1429,1466,1425,1431,1468,1995,1012,973,1050
839,2521,2523,2524,2525,2558,2559,2560,3017,482,481
851,1396,1426,1009,1013,1015,1016,1045,1772,1773,1810
858,758,950,988,1026,1102,835,836,1291,1329,1367
887,865,900,901,902,903,929,930,1236,1197,1235
892,1520,1557,1519,2970,1556,3030,1481,1518,1594,1595
897,189,187,264,225,226,302,265,300,227,263
911,1169,1206,1168,1131,1130,1167,1207,2994,1093,1129
915,1417,1613,1459,1460,1495,1533,1043,1265,1303,1304
925,1026,1102,1401,1402,1405,1406,1440,3014,1177,1139
928,1048,1049,1047,1009,1050,1011,1086,1010,1087,973
935,2198,835,836,873,874,912,1520,1406,1444,1405
936,74,37,35,34,68,38,32,73,114,72
942,1671,1708,1709,1746,1629,1630,1631,1214,1176,3014
994,2160,2161,2426,2427,2429,2431,2464,1138,1176,1137
1002,341,340,2935,303,263,302,380,342,378,339
1006,153,155,156,193,195,312,310,542,2958,503
1014,2522,2445,2444,2407,2446,2483,2484,2482,2409,2406
1016,343,382,458,459,497,498,535,308,307,269
1021,424,387,384,347,422,425,385,386,349,348
1026,835,873,834,872,797,796,910,795,759,833
1051,310,347,384,387,422,424,425,313,314,275
1068,2521,2523,2524,2525,2558,2559,2560,1048,1086,1049
1079,1137,1175,1213,1176,1214,1174,1212,1251,1252,1250
1083,1003,1041,1042,1071,1072,1073,1076,1499,1537,1536
1095,1671,1708,1709,2956,2996,1633,1670,1595,1632,1594
1102,1111,1149,3007,1187,1186,2936,1188,1148,1150,1225
1103,1632,1631,1708,1670,1669,2996,2956,2989,1707,1593
1115,927,961,963,964,965,966,967,1533,1495,1571
1118,2160,2161,2426,2427,2429,2431,2464,1062,1100,1024
1122,1559,1561,1598,1600,1483,1484,1485,1293,1331,1332
1124,1285,1323,1361,1322,1284,1360,1246,1247,1321,1283
1135,2439,2475,2477,2478,2513,2514,2515,916,2986,878
1137,341,379,416,377,415,417,2935,378,340,380
1165,1438,1441,1443,1477,1478,1480,1481,1289,1251,1327
1193,1003,1041,1042,1071,1072,1073,1076,1567,1529,1491
1216,1009,1013,1015,1016,1045,1047,1048,1127,1165,2977
1220,1389,1429,1466,1009,1013,1015,1016,1161,1123,1160
1225,1200,1276,1239,1238,1277,1314,1201,1278,1275,1237
1237,28,32,34,35,36,37,38,111,147,112
1240,759,795,796,797,831,832,833,1214,1176,1252
1249,584,619,620,621,654,656,3033,696,697,734
1250,758,950,988,1026,1102,835,836,2943,3038,1254
1252,1079,1155,1156,1194,1117,1118,1193,1157,1232,1154
1272,445,407,406,3017,408,369,444,483,446,367
1277,14,16,18,20,22,23,24,188,151,224
1284,1389,1429,1466,1165,1166,1167,1168,1774,2980,1773
1285,1003,1041,1042,1071,1072,1073,1076,1186,1224,1187
1288,1389,1429,1466,1009,1013,1015,1016,1126,1164,1125
1290,1417,1613,1043,1075,1077,1078,1079,1309,1271,1308
1291,1048,1047,1086,1124,1085,1087,1049,1123,1162,1125
