,Ama,Ance,Blimp-1,CG8147,croc,Cyp310a1,D,disco,Doc2,Ilp4
,Mdr49,Mes2,nub,oc,peb,rau,rho,srp,tsh,twi
14,901,902,938,939,940,976,977,978,1015,1052
37,341,379,378,380,377,414,415,416,417,418
39,2770,681,719,721,793,2654,2655,2693,2695,2696
64,1457,1495,1496,1530,1531,1532,1533,1534,1567,1568
78,996,1032,1070,1147,761,799,837,839,875,876
89,121,123,129,130,131,132,160,161,162,163
92,187,188,189,224,226,2957,220,259,260,265
99,961,995,997,998,1033,1034,1037,1038,1072,1073
101,523,1321,1396,3004,1434,1472,1510,1549,484,561
107,57,59,93,94,95,96,98,125,126,127
116,2601,2687,2724,2461,2498,2499,2650,2767,1261,1298
126,133,175,212,366,367,369,404,406,407,2973
129,1223,1260,1261,1298,1336,828,2043,2081,2082,2119
134,2657,2658,2698,2734,2735,2938,2984,487,528,529
138,2245,2284,2285,2324,2362,2400,2990,2281,2319,2320
139,795,873,874,909,911,912,947,948,949,950
144,900,1013,1128,1129,1167,1205,901,902,938,939
163,1401,1439,1479,1516,1517,1518,1519,1554,1555,1556
165,1627,1743,1779,1780,1781,1818,1855,1856,1894,1932
176,2245,2284,2285,2324,2362,2400,2990,2209,2247,2322
177,523,637,805,1321,1396,3004,676,484,561,597
194,2193,1433,1435,1586,1623,1624,1625,1661,1662,1663
196,1457,1495,1496,1530,1531,1532,1533,1534,1567,1568
199,2548,2551,2552,2553,2554,2555,2588,2589,2590,2591
206,647,685,724,153,154,155,156,192,193,194
208,301,303,339,377,414,415,416,417,418,451
215,711,747,748,749,786,787,824,864,900,1013
223,865,903,979,1014,1016,1093,1397,863,900,1010
240,265,225,227,262,263,264,266,299,300,302
242,2714,2717,2718,2719,2750,2753,2754,2755,2756,2757
245,831,830,717,718,754,755,792,794,832,868
252,2580,2583,2929,2657,2658,2698,2735,2984,2431,2463
262,1457,1495,1496,1530,1531,1532,1533,1534,1567,1568
270,989,990,992,1030,1031,1068,1069,1106,1028,1141
274,2500,2501,2538,2579,2617,2618,2694,2653,2431,2465
279,711,747,748,749,786,787,824,864,2941,677
285,2579,2617,2618,2694,2431,2465,2467,2468,2469,2503
302,1457,1495,1496,1530,1531,1532,1533,1534,1567,1568
305,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
326,2245,2284,2285,2324,2362,2400,2990,2209,2247,2322
348,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
373,1306,1307,1343,1345,1347,1348,1349,1385,1386,1387
383,962,963,1001,1039,1040,1042,1043,1078,1080,1081
384,795,873,874,909,911,912,947,948,949,950
411,961,995,997,998,1033,1034,1037,1038,1072,1073
414,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
418,1457,1495,1496,1530,1531,1532,1533,1534,1567,1568
455,288,172,213,249,250,289,291,327,328,329
462,17,106,145,146,148,151,186,190,57,59
494,1065,1445,1446,1447,1483,1484,1485,1521,1522,1559
496,676,641,679,677,525,602,639,678,488,526
515,2245,2284,2285,2324,2362,2400,2585,2586,2587,2623
542,1445,1446,1447,1483,1484,1485,1521,1522,1559,1560
546,1718,1719,1720,1721,1723,1755,1756,1757,1758,1759
547,863,290,288,474,478,514,517,518,519,788
555,1494,1612,1613,1651,1689,1690,1726,1764,2255,2258
571,377,414,415,416,417,418,451,452,453,454
608,2711,2751,2752,2790,2791,2794,3028,2748,2749,2788
614,2645,2680,2681,2682,2685,2722,2759,2641,2643,2644
624,2579,2617,2618,2694,2431,2465,2467,2468,2469,2503
644,1626,2383,1553,1591,1629,2007,2083,2197,2311,2349
649,1401,1439,1479,1516,1517,1518,1519,1554,1555,1556
653,759,796,797,834,835,836,871,872,910,946
654,220,259,260,181,298,184,185,219,222,223
657,1401,1439,1479,1516,1517,1518,1519,1554,1555,1556
665,1494,1612,1613,1651,1689,1690,1726,1764,2255,2258
672,795,873,874,909,911,912,947,948,949,950
714,301,303,339,377,414,415,416,417,418,451
716,487,528,529,531,566,567,568,569,570,606
739,191,229,230,231,423,462,496,497,498,501
745,117,157,158,196,197,578,615,616,115,119
746,214,252,63,101,102,139,177,364,365,403
749,759,796,797,834,835,836,871,872,910,946
750,1743,1779,1780,1781,1818,1855,1856,1894,1932,1970
752,999,1035,1036,1074,1151,1153,1191,1193,1383,1422
757,759,796,797,834,835,836,871,872,910,946
761,2007,2047,2049,2083,2086,2087,2124,2125,2126,2127
768,3004,829,831,1626,830,1553,1591,1629,2007,2083
773,795,873,874,909,911,912,947,948,949,950
790,2007,2047,2049,2083,2086,2087,2124,2125,2126,2127
801,833,759,796,797,834,835,836,871,872,910
809,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
813,993,1108,1146,1715,1716,1752,1411,1448,1449,1450
