,Ama,Ance,CG8147,croc,Cyp310a1,D,dan,disco,Doc2,fkh
,gt,Ilp4,knrl,nub,oc,peb,pxb,rho,tsh,twi
4,91,95,53,57,59,89,125,126,128,132
16,2661,2699,2700,2737,2738,2739,2740,2775,2776,2777
20,459,269,344,345,347,419,457,458,460,461
22,567,569,607,608,643,644,645,646,682,684
38,795,873,874,909,911,912,950,1023,1025,1026
57,963,1000,1001,1039,1040,1042,1043,1076,1078,1080
68,2548,2551,2552,2554,2555,2588,2589,2590,2591,2592
91,53,56,57,58,59,89,46,99,124,88
109,269,501,650,153,155,191,192,193,194,195
132,340,342,378,380,339,341,375,376,379,2935
135,340,342,378,380,263,2698,2735,2984,339,341
148,2557,2594,2595,2597,2636,2939,2433,2471,2510,2511
179,947,948,949,984,986,987,988,1022,1024,1249
183,445,481,482,520,521,522,556,558,786,787
187,1549,1586,1623,1624,1625,1661,1662,1663,1433,1434
188,1267,1269,1270,1305,1306,1307,1343,1344,1345,1346
201,831,1553,1591,1629,3004,981,983,1020,1248,1286
202,1027,1028,1065,1179,1335,1141,993,1108,1258,1259
213,159,198,207,210,244,439,476,541,2487,2564
222,680,683,719,641,679,681,718,721,567,569
233,86,41,2,4,6,12,13,15,17,20
238,1255,1293,1294,1331,1332,1370,1408,1027,1028,1065
248,414,415,416,417,418,451,452,453,454,455
250,1217,1256,1369,1407,1220,1255,1293,1294,1331,1332
255,1415,1417,1418,1452,1453,1454,1455,1456,1460,1643
268,32,34,35,37,38,68,74,114,31,71
281,413,448,449,450,488,489,717,754,3037,414
282,1632,1634,1668,1670,1671,1672,1895,1933,1935,1936
288,795,873,874,909,911,912,950,1023,1025,1026
298,1632,1634,1668,1670,1671,1672,1895,1933,1935,1936
300,2007,2046,2047,2086,2237,2241,2280,2313,2314,2318
310,1739,1776,1814,1815,1890,2947,1777,1816,1817,903
317,996,1032,1070,992,1030,1031,1068,1069,1106,995
318,1013,709,711,747,748,749,786,787,824,864
329,1494,1495,1530,1531,1533,1534,1567,1568,1569,1570
335,1457,1496,1532,1645,1646,1682,1683,1684,1686,1687
358,514,517,518,519,3017,410,445,480,481,482
362,680,683,719,2654,2655,2691,2692,2693,2696,2725
367,1490,1491,1492,1493,1528,1529,1565,1566,1603,1604
387,2657,2658,341,379,947,948,949,984,986,987
396,377,339,341,375,376,379,414,415,416,417
415,2695,2770,2248,2249,2251,2286,2287,2288,2325,2521
422,445,481,482,520,521,522,556,558,559,595
441,1141,951,2205,647,952,953,954,990,2167,2207
442,1669,1551,1592,1593,1594,1595,1596,1630,1631,1633
452,795,873,874,909,911,912,950,1023,1025,1026
465,214,215,252,293,103,181,139,177,178,253
476,998,1109,1111,1113,1116,1148,1149,1150,1151,1153
478,935,936,937,973,974,975,1002,1003,1004,1005
484,1013,709,711,747,748,749,786,787,824,864
500,1013,709,711,747,748,749,786,787,824,864
525,1592,1593,1594,1595,1596,1630,1631,1633,1706,1710
526,786,787,824,864,900,1128,1129,1167,1205,823
530,291,3009,251,253,290,292,2973,135,175,213
539,647,723,725,761,762,763,764,765,799,800
541,1635,1673,1674,1711,1712,1750,1939,1940,1977,1978
543,2661,2699,2700,2737,2738,2739,2740,2775,2776,2777
550,641,679,718,637,675,564,565,602,603,604
564,2640,2643,2644,2645,2682,2685,2722,2601,2641,2680
565,2734,2804,2809,2847,1627,1893,1894,1932,1970,1971
567,2618,829,830,2047,2086,2543,2544,2545,2584,2622
583,2637,2638,2639,2673,2674,2675,2676,2677,2678,2679
590,2047,2086,2543,2544,2545,2584,2622,1401,1439,1479
591,1402,1405,1406,1440,1441,1442,1443,1444,1478,1480
606,3013,183,31,71,72,73,75,105,106,107
612,770,884,723,725,761,762,763,764,765,799
628,759,796,797,834,835,836,871,872,910,946
631,1632,1634,1668,1670,1671,1672,1895,1933,1935,1936
638,442,175,213,330,331,369,370,406,407,408
648,1262,1263,1264,1300,1301,1302,1338,1340,1341,1376
666,947,948,949,984,986,987,988,1022,1024,1249
691,795,873,874,909,911,912,950,1023,1025,1026
728,1632,1634,1668,1670,1671,1672,1895,1933,1935,1936
738,717,754,755,792,794,793,831,753,756,790
748,901,938,939,940,976,977,978,1015,1052,1053
799,2016,2054,2931,1635,1673,1674,1711,1712,1750,1939
800,2007,2046,1553,1591,1627,1629,1741,1893,1894,1932
802,413,448,449,450,488,489,3037,341,379,414
811,2695,2770,2007,2046,2047,2086,2237,2241,2280,2313
821,1872,1910,1912,1553,1591,1629,2007,2046,2047,2086
839,524,219,251,529,566,570,681,721,2973,443
851,786,787,824,864,900,1128,1129,1167,1205,788
858,2657,2658,341,379,947,948,949,984,986,987
887,962,1115,1117,1118,1121,1152,1156,1157,1158,1194
892,795,873,874,909,911,912,950,1023,1025,1026
897,187,189,225,226,227,262,264,266,299,300
911,3004,831,981,983,1020,1248,1286,1323,1325,829
