,Ama,Ance,CG14427,CG8147,croc,Cyp310a1,D,disco,Doc2,Ilp4
,knrl,Mes2,oc,peb,rau,run,srp,toc,tsh,twi
15,148,151,184,185,186,187,188,189,190,222
33,212,213,251,291,369,406,407,408,442,443
54,157,158,197,578,117,119,153,154,155,156
59,1077,1644,1645,1646,1683,1684,1722,1763,2949,2952
65,2640,2641,2643,2784,2599,781,782,314,387,395
82,1001,1039,1040,1042,1043,1076,1077,1078,1080,1081
98,2597,2636,2939,2551,2556,2557,2594,2595,2601,2637
103,869,871,872,907,908,910,946,983,985,1058
127,873,874,909,911,912,945,947,948,949,950
133,783,784,821,896,1125,1201,1202,1203,1204,1238
149,675,711,747,748,749,709,712,713,714,597
156,2048,2393,2315,2316,2353,2354,2391,2392,2394,873
181,32,34,35,37,38,68,74,114,2937,31
210,2749,2784,2788,2789,2820,2825,2826,2828,2790,2791
214,341,379,377,413,414,415,416,417,418,448
218,2048,2393,2315,2316,2353,2354,2391,2392,2394,873
219,2193,675,711,747,748,749,901,902,939,940
225,961,994,995,997,998,999,1034,1036,1038,1149
227,900,1205,2307,709,786,787,824,1129,1167,1168
236,761,799,763,764,765,800,801,803,838,839
254,1546,2491,2492,2493,2526,2530,2531,2569,2570,2447
257,2485,2523,2524,2560,2562,2567,2568,2606,2607,2608
260,759,520,523,556,558,619,621,624,656,900
267,603,640,682,527,565,567,604,607,608,642
269,2714,2750,2753,2754,2755,2756,2757,2758,2760,2792
271,2730,2733,2389,2431,2467,2468,2469,2470,2505,2507
276,953,954,990,951,1901,1902,1977,2015,2960,647
277,2725,2734,2802,2882,603,640,682,2762,2763,2847
278,754,829,677,718,753,790,655,660,661,662
295,1739,867,1778,2045,1077,1644,1645,1646,1683,1684
314,2318,2356,2543,2544,2201,2204,2237,2238,2239,2241
322,153,154,155,156,191,192,193,194,229,231
325,1457,1494,1495,1530,1531,1532,1533,1567,1568,1569
333,709,3004,633,670,671,672,781,782,900,935
334,1741,2124,2387,2389,2424,2431,2467,2468,2469,2470
339,679,641,680,603,640,682,718,831,1629,2124
