,Ama,Ance,CG14427,CG8147,croc,Cyp310a1,D,dan,Doc2,eve
,fkh,hb,Ilp4,knrl,noc,oc,rho,run,tsh,twi
5,567,608,644,680,605,607,643,646,681,683
18,1184,1222,1187,1372,1600,1601,1602,1640,1866,1867
26,176,220,259,260,298,63,101,102,185,214
46,1400,982,1019,1021,1741,1062,1324,1325,1361,1362
47,709,679,637,675,1661,1663,1700,1701,1738,3004
66,2847,2809,2805,2807,2843,2846,2848,2849,2850,2882
70,679,2767,2768,1641,603,718,982,1019,1021,1741
83,671,807,811,844,1121,1128,708,739,741,742
84,314,348,3032,153,154,155,156,191,192,193
85,1363,1364,1401,1706,682,985,1060,1062,1325,1361
96,1341,1375,1377,1378,1379,1380,1414,1415,1416,1417
97,1741,2124,1400,2007,2046,2081,2083,2084,2160,2048
110,1062,1402,947,948,949,984,986,987,988,1022
112,799,954,837,875,876,877,878,879,914,916
113,1289,1291,1292,1326,1327,1328,1329,1330,1365,1366
128,569,606,645,682,720,722,377,414,415,416
146,569,606,645,682,720,722,377,414,415,416
151,32,34,35,37,38,68,74,114,31,71
153,263,340,342,378,380,682,2847,301,303,339
155,759,559,595,596,1205,900,796,797,795,832
173,558,633,670,709,556,557,559,594,595,596
178,2687,2651,2598,2601,2724,2731,2733,2688,2689,2690
216,2721,2641,2680,2681,2720,2759,2604,2639,2640,2642
244,950,2393,2431,2467,2468,2469,2470,2505,2507,2508
246,2623,2625,2662,2624,2779,2661,2663,2699,2700,2705
247,2124,2047,2049,2086,2087,2125,2126,2127,2128,2161
259,1289,1291,1292,1326,1327,1328,1329,1330,1365,1366
261,1777,1816,3008,1627,1665,1743,1778,1779,1780,1781
321,1739,1814,1815,1817,2157,2196,1245,1282,1283,1397
332,31,71,72,73,75,106,107,108,109,110
356,682,679,680,1363,1364,1401,1706,2124,831,1741
359,709,671,781,782,711,747,748,749,2941,679
370,759,798,834,835,836,1136,1137,1138,1173,1175
395,1139,1140,1174,1177,1178,1213,1216,1480,1481,1482
400,1062,1402,947,948,949,984,986,987,988,1022
402,795,759,758,796,797,1063,1064,1139,1140,1174
405,617,618,619,621,624,654,656,807,811,844
407,2124,1741,1062,1402,1668,1744,2047,2049,2086,2087
413,900,962,559,595,596,655,660,661,662,691
427,1065,1104,1260,1336,1451,1489,1564,1217,1255,1256
438,961,1033,1035,1037,1072,1073,1074,1076,1112,1113
440,183,148,151,224,184,221,31,71,72,73
461,709,671,781,782,711,747,748,749,1128,2941
469,615,616,157,158,196,197,457,495,496,497
485,1062,1402,1668,947,948,949,984,986,987,988
498,2847,2885,2968,2711,2790,2791,2794,32,34,35
508,833,1099,1100,1633,1470,445,481,482,521,522
509,993,1222,991,1028,1029,955,994,996,1032,1184
511,900,864,559,595,596,896,897,899,934,1205
537,786,787,824,1129,785,819,820,822,823,1161
549,2673,2639,2674,2675,2676,2677,2711,2716,2717,2718
559,1629,2007,2046,2083,2084,2160,1323,1399,1438,2124
563,1093,1776,979,1014,1016,1017,1702,1621,1733,1734
582,709,637,675,1661,1663,1700,673,712,713,714
586,188,31,71,72,73,75,106,107,108,109
598,1222,2193,2081,2159,673,712,713,1093,1183,1184
605,956,993,1222,1191,1193,1226,1227,1228,1229,1230
607,2207,2244,2246,1939,1980,2167,2205,2209,2247,2281
609,763,761,764,765,800,801,803,838,839,840
630,985,1060,947,948,949,981,983,984,986,987
632,709,671,781,782,711,747,748,749,1128,2941
635,671,478,517,519,633,670,707,709,708,739
642,1062,1402,947,948,949,984,986,987,988,1022
