,Ama,bun,D,dan,disco,Doc3,fkh,ftz,Ilp4,ImpE2
,ImpL2,oc,trn,twi,Antp,sna,h,knrl,tsh,Ance
,brk,Cyp310a1,rho,ken,noc,srp,zfh1,cnc,run,Kr
,hkb,CG8147,Mes2,Dfd,E(spl)m5-HLH,odd,edl,Blimp-1,nub,CG14427
,CG43394,toc,peb,Traf4,prd,croc,apt,aay,fj,CG10479
,Doc2,tkv,gt,pxb,eve,dpn,htl,lok,rau,Btk29A
6,2767,2728,2598,2599,2729,2601,2689,2690,2727,2733
7,220,259,304,260,184,258,187,226,217,225
21,1071,1073,1335,1069,1108,1112,1146,1072,1076,1077
31,1111,1228,3007,1113,1226,1532,1304,958,1073,1266
62,690,685,689,724,3023,692,726,649,686,688
71,265,264,266,302,262,263,297,340,225,339
75,1668,1671,1634,1670,2011,2048,2052,1631,1632,1708
77,2693,2691,2654,2732,2733,2655,2692,2695,2696,2658
80,2867,2872,2830,2779,2781,2904,2820,2822,2825,2864
94,2315,2318,2279,2356,2659,2660,1935,1937,1972,1976
104,494,414,417,455,415,416,529,451,492,493
105,32,71,112,2933,34,35,68,73,74,75
111,1153,1155,1077,1115,1150,2949,1113,1154,1190,1196
121,1196,1155,1160,1125,1199,1124,1201,1121,1156,1159
124,1181,1106,1180,991,1028,1142,1255,1141,1218,1369
125,1130,1083,1587,1662,1698,1017,1155,1738,2947,1245
147,1128,1129,1163,1130,1433,1435,1472,1162,1470,2977
154,2597,2939,2557,2594,2601,2636,2598,2599,2559,2637
164,1252,1251,1253,1214,1291,1213,1215,1292,1250,1254
172,529,570,566,608,644,492,493,494,531,568
189,1027,1028,2281,2319,1293,2243,2358,2320,1295,1065
190,1130,1055,1054,1091,1092,1131,1282,1128,1395,1015
226,2939,2637,2638,2639,2678,2680,2681,2679,2749,2759
229,1093,1399,1416,1420,1436,1154,1056,790,1130,1379
258,1049,1051,1391,1015,1123,1009,1014,1088,1090,1394
283,364,172,210,286,288,324,362,365,237,287
286,1245,1282,1586,1243,2994,2962,1207,1585,1246,3004
292,1160,1086,1123,1386,1159,1424,1425,1427,1464,1466
296,1077,1075,1112,2936,1043,1081,1114,1613,1078,1113
301,997,995,1075,2936,1150,1033,1270,959,1037,1613
303,1174,1140,1139,1178,3014,1175,1212,1823,1216,832
309,1252,1214,1253,1251,1291,1292,1175,1212,1289,1328
343,1916,1873,1644,1658,2000,1571,1608,1879,1965,2221
346,874,1325,1288,988,377,2943,873,912,983,984
364,263,340,2935,301,303,338,342,336,339,265
365,2689,2727,2173,2210,2730,2725,2162,2163,2950,2729
375,2064,2030,2102,2062,1840,2061,2104,2144,1914,2019
377,414,415,416,417,418,454,456,494,377,341
381,1009,1083,1045,1047,1048,973,1003,1010,1273,1049
392,786,749,787,2941,783,747,748,824,785,823
393,1230,1190,1226,1229,1150,1149,1188,1189,1228,1269
403,769,774,741,766,807,805,633,729,775,701
417,836,494,798,835,1175,1212,1516,796,832,455
430,481,517,518,2961,445,482,520,555,556,590
431,2619,2620,2659,2660,2694,873,912,2616,2697,836
443,1255,991,1028,1294,1522,1332,1217,1445,1029,1333
447,417,453,414,418,454,456,492,493,494,377
453,1328,1250,1251,1254,1290,1061,1292,1367,1025,871
458,1559,1561,1598,1977,2015,1331,2130,2168,1446,1675
463,1661,1662,2004,1650,1685,1733,1734,2260,1643,1691
466,686,685,690,689,724,3023,951,647,649,687
472,2182,2186,1840,1885,1887,2104,2183,2219,2299,1923
475,1343,1151,1076,1077,1113,1117,1154,1112,1116,1383
501,1009,969,286,324,1084,1085,1125,1199,1013,1082
516,120,162,119,157,164,122,123,168,130,163
520,612,614,577,537,539,572,575,576,613,616
522,849,478,403,888,204,1120,811,850,236,475
533,403,476,478,438,367,401,439,475,400,404
562,1916,1873,1075,2936,1644,1037,1077,1109,1569,1613
572,293,331,369,408,407,255,580,543,174,289
593,2598,2485,2523,2524,2561,2604,2560,2567,2606,2600
620,1055,1298,1130,1017,1663,1056,751,1093,1303,1336
680,379,986,341,2048,377,2989,988,378,1668,1671
686,847,886,887,843,883,885,924,813,811,850
694,407,409,443,406,442,408,441,523,484,444
698,3004,1055,1015,1052,1662,714,1018,1053,1663,1246
705,997,1264,959,1225,1268,1802,994,996,1490,1492
737,1950,2178,1687,1948,1952,1990,2217,2254,2997,1905
744,1048,1003,1049,1078,973,1043,1045,1047,1009,1011
756,2645,2682,2759,2680,2681,2685,2722,2601,2718,2679
758,2086,1596,2944,2970,2617,2467,2469,1328,1251,1254
767,827,1160,1056,882,828,1124,751,1093,785,786
791,1861,1140,1823,1858,1899,1178,988,950,1743,1748
795,1050,1353,1013,1051,1082,1313,1349,1351,1391,1348
798,1251,1252,910,1253,3038,1596,2970,1250,1254,1290
803,824,781,783,896,786,820,2491,788,2487,2569
810,1075,2936,1610,1613,1648,1649,1650,1567,1571,1608
812,404,366,438,367,401,331,363,364,400,437
816,2822,2785,2917,2826,2815,2834,2820,2825,2868,2870
823,2313,831,2124,2163,2048,2086,2047,2694,2009,2943
824,462,422,382,497,539,384,423,229,421,425
826,1149,1189,1190,1226,1075,1110,1112,1186,1192,2936
829,787,864,2096,899,1508,633,862,900,2020,672
832,1018,1055,1056,3025,751,1093,1017,3029,1049,2941
833,1104,1567,1571,1608,1067,1643,1965,1493,1566,1568
843,1668,1671,1670,1669,1708,1672,1706,2956,1631,1632
848,840,841,878,915,2986,839,879,954,842,880
855,1978,1939,953,991,1028,951,2016,2167,2207,1979
861,2600,2560,2567,2606,2485,2523,2524,2559,2562,2607
867,1630,3030,949,1632,2989,874,947,948,1634,1709
880,54,2937,10,14,2976,32,9,11,16,17
905,907,836,870,1210,832,835,908,1248,1286,798
919,537,536,574,499,535,539,572,575,576,612
923,884,749,843,847,1112,886,675,712,747,748
934,2952,1607,1682,1645,1606,1609,1873,1643,1683,1644
937,1049,1053,1315,1054,1092,1090,1394,1015,1052,1017
959,955,957,956,1229,951,953,1230,992,1031,959
963,1215,1228,1174,1213,1226,1533,1139,1173,874,960
974,778,746,771,742,739,740,741,744,635,674
999,1683,1155,1771,1720,1722,1733,1734,1772,2952,1458
1004,991,1028,2207,1980,2244,989,1104,2017,1939,992
1020,1629,2086,1631,1667,1668,1671,1706,1669,2996,1705
1037,2601,2598,2560,2600,2604,2599,2523,2524,2641,2724
1044,3030,1634,1252,1632,2989,1557,1596,2970,1520,1558
1048,1213,1175,1212,1216,874,1215,1139,3014,1250,1254
1059,263,340,150,414,2935,75,114,304,301,303
1065,896,1012,934,2941,900,935,970,1046,824,897
1072,1166,1165,1129,1163,1155,1160,1168,1205,1228,1162
1078,146,187,226,262,145,184,186,188,228,148
1082,1130,1623,1625,1738,1663,1661,1739,1624,1054,1700
1112,2149,2151,2190,2105,2299,2150,2219,2291,2186,2188
1123,1213,1175,1212,1216,874,1215,1250,1254,1139,3014
1143,1472,2940,2994,1200,2532,2498,1502,2496,2534,1235
1150,1155,1049,2967,1090,1394,1119,1194,1091,1048,1077
1152,2693,988,683,684,2124,2770,2163,719,722,1292
1161,2960,1940,1978,1939,1673,1711,1712,1901,1902,1903
1176,1668,1671,1706,988,1666,1669,1783,1670,1704,1710
1195,1205,1237,1274,2967,1277,1278,1235,1270,1239,1241
1200,2548,2625,2509,2586,2433,2471,2587,2588,2591,2626
1203,1279,1316,1245,1048,1282,1315,1273,972,973,1012
1209,1504,1190,1854,1229,1735,1150,2945,1201,1149,1188
1213,683,719,718,2935,760,794,2938,645,680,721
1231,34,74,2937,38,30,36,37,32,417,455
1232,263,340,2935,304,301,303,342,339,225,265
