,Ama,Antp,bun,dan,disco,Doc3,fkh,ftz,Ilp4,ImpE2
,ImpL2,oc,trn,twi,D,knrl,h,Cyp310a1,Ance,tsh
,rho,sna,brk,ken,noc,zfh1,srp,cnc,run,Kr
,peb,Mes2,CG8147,hkb,Blimp-1,toc,odd,nub,edl,CG43394
,Dfd,CG14427,prd,E(spl)m5-HLH,Traf4,apt,Doc2,aay,fj,eve
,CG10479,gt,pxb,tkv,rau,htl,lok,croc,Btk29A,danr
4,164,57,59,53,91,126,162,88,163,3012
16,2890,2894,2891,2911,3003,2854,2855,2889,2892,2896
20,459,612,614,650,537,572,345,458,688,685
22,1744,1746,1706,1745,1784,1363,1364,1667,1668,1671
38,1177,1139,3014,1216,1026,1140,798,836,874,1174
57,1083,1119,1130,1081,1122,1120,1121,1128,1156,1196
68,2939,2671,2677,2589,2627,2636,2712,2551,2592,2597
91,46,88,53,58,57,59,87,44,56,89
109,1181,1142,1103,1141,1144,1218,1104,1147,1031,1229
132,32,71,112,2933,76,38,108,109,111,144
135,263,340,304,378,303,342,2935,225,265,380
148,2597,2939,2759,2678,2716,2717,2557,2594,2595,2634
179,988,1102,1139,1101,1140,1292,1177,341,342,1861
183,1738,1700,1776,1196,1737,1695,1697,1735,1130,1701
187,1055,1130,1435,1015,1052,1053,1092,1131,1090,1125
188,403,475,476,477,510,512,708,204,401,439
201,1052,1020,1361,1323,1741,1358,1054,1013,1319,1017
202,2281,2320,2247,2283,2322,2360,2205,2244,2243,2245
213,403,475,476,478,479,440,509,541,234,438
222,680,602,678,603,640,564,641,567,604,608
233,10,60,12,9,17,21,2974,2,13,15
238,989,990,1179,952,1031,1293,1369,991,1255,1331
248,494,489,451,453,455,532,415,416,528,490
250,1256,1977,2015,1255,1028,1294,1217,989,1750,1141
255,1738,1696,1698,2081,2119,1739,2382,1091,1700,1776
268,147,38,108,109,111,144,75,114,2937,76
281,1097,1099,794,1058,1064,1368,1136,754,1176,719
282,3030,874,2989,873,912,1593,1630,1709,949,947
288,1025,1062,1063,1329,1139,1178,1214,1023,1064,1101
298,1668,1671,1672,2956,1406,1444,1709,1708,1634,1670
300,1822,2048,1291,1480,1330,1406,1442,1444,1709,1973
310,1228,1230,1150,1266,1496,1229,1190,1193,1226,1460
317,2370,2408,2283,2291,2205,2244,2322,2360,2366,2369
318,1009,1083,1045,1047,1245,1048,1003,1273,1055,1122
329,1651,1690,3020,1077,1613,1653,1151,1112,1116,1343
