,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
,Doc2,ImpE2,knrl,h,trn,zen2,CG43394,nub,mfas,numb
19,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
23,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
25,17,20,15,13,12,10,2976,23,21,19
42,25,27,62,29,69,70,31,107,109,112
45,2171,2170,2132,2131,2169,2208,2209,2172,2210,2055
53,776,957,738,919,881,843,844,882,920,958
55,569,3016,646,684,531,493,532,570,608,494
61,1140,1178,1216,1102,1064,1254,1026,988,950,912
100,1631,1629,1667,1591,1593,1705,1743,1781,1819,1857
102,1325,1327,1365,1287,1289,1403,1441,1479,1517,1249
117,1338,1339,1300,1377,1376,1415,1453,3021,1491,1529
118,2552,2553,2515,2590,2591,2589,2551,2592,2593,2594
119,1338,1339,1300,1377,1376,1415,1453,3021,1491,1529
123,2381,2458,2380,2496,2421,2460,2457,2419,2456,2455
145,1478,1514,1516,1476,1438,1554,1440,1402,1552,1590
159,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
170,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
182,1446,1559,1408,1597,1635,1673,1711,1749,1521,1787
184,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
185,758,1064,1102,1140,1178,1216,1254,1026,988,950
192,341,494,379,380,416,415,342,453,492,490
197,1395,1125,1357,1163,1433,1471,1509,1201,1239,1547
198,558,617,557,596,559,618,2965,619,654,615
200,843,851,881,919,957,844,882,920,958,813
207,1964,1965,1926,1888,1850,1812,2980,1774,1736,1698
211,2289,2364,2979,2328,2329,2291,2292,2293,2255,2218
232,16,35,32,28,74,37,26,66,24,22
237,1483,1486,1448,3039,1410,1372,1334,1296,1258,1220
251,1435,1815,1777,1473,1739,1701,1511,1663,1625,1587
263,1839,1989,1801,1763,1951,1725,1877,1915,1687,2026
273,1889,1927,1851,1813,1775,1928,1890,1852,1814,2947
280,1162,1161,1199,1124,1237,1275,1200,1238,1276,1314
293,2182,2257,2295,2294,2143,2105,2142,2103,2144,2106
299,1009,1011,1047,971,933,895,973,935,897,859
306,1199,1200,1238,1161,1276,1237,1275,1314,1352,1390
311,1449,1445,1411,1407,1369,1373,1331,1293,1255,1217
330,413,414,452,490,453,415,416,379,341,380
342,1729,1691,1653,1615,1577,1539,1501,1463,1425,1387
351,148,186,146,145,182,143,180,103,102,63
361,847,883,921,959,997,1035,1073,2936,3007,1149
385,766,767,2987,805,804,806,844,882,920,958
398,1102,1026,1064,1140,1178,1216,1254,988,950,912
401,1321,1092,1283,1054,1245,1207,1130,1016,1168,978
406,685,686,724,725,763,687,649,3023,688,764
421,1140,1178,1216,1102,1064,1254,1026,988,950,912
436,1354,1008,1046,1316,970,1278,1392,1430,1468,1506
437,1205,1242,1167,2967,1280,1318,1356,1394,1432,1470
446,2614,2615,2575,2576,2539,2537,2578,2577,3002,2613
459,1129,1396,1434,1358,1091,1053,1015,977,1472,1510
464,2589,2243,2282,2551,2590,2591,2592,2593,2594,2552
467,1325,1327,1365,1287,1289,1403,1441,1479,1517,1249
471,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
480,651,649,3023,688,652,653,691,729,686,687
488,2952,1745,1783,1821,1684,1646,1608,1570,1532,1494
519,337,380,341,379,416,415,342,453,492,490
523,158,197,196,159,121,157,120,122,84,124
524,1257,1272,1310,1219,1181,1143,1105,1067,1029,991
529,2952,1683,1645,1607,1569,1531,1684,1646,1608,1570
536,405,437,474,473,472,475,444,3017,514,552
548,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
551,2257,2295,2294,2258,2220,2221,2222,2184,2146,2219
561,2822,2826,2783,2825,2789,2828,2829,2787,2785,2823
570,1982,2204,2020,2019,1944,1906,1868,1830,2057,2018
579,687,723,686,649,3023,688,762,761,799,837
584,811,844,849,887,925,773,882,920,958,843
588,1356,1009,1318,1280,1047,971,933,2967,1242,895
602,1147,1181,1143,1105,1067,1029,1185,1223,1261,1299
604,1187,1193,1225,1231,1149,3007,2936,1073,1035,997
622,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
