,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
1,130,162,123,125,129,121,159,197,196,126
2,782,784,822,860,898,936,974,1012,1050,1088
9,2244,2205,2207,2167,2206,2246,2247,2284,2322,2360
12,1127,1427,1389,1465,1503,1351,1313,1089,1541,1579
27,512,139,513,140,141,218,551,589,590,553
30,1223,1149,1185,1261,1299,2988,1337,1187,1225,1375
36,762,421,383,420,382,344,305,723,761,799
41,988,2733,2695,2808,2769,2969,2696,2806,1026,1064
51,2807,2812,2882,2846,2809,2849,2771,2850,2881,2810
56,2669,2748,2711,2749,2788,3028,2790,2791,2830,2793
58,1251,341,379,380,416,415,1213,1175,342,1289
69,1292,1330,1368,1406,1444,3038,1482,1520,1558,1254
81,1153,1155,1115,1191,1117,1079,1041,1003,965,927
90,1250,2619,1212,1288,1326,1364,1402,1440,1478,1516
95,2733,684,2695,2808,2769,2969,2696,2806,2844,2805
115,1053,1054,1091,1092,1015,977,1130,1129,1016,1168
130,1114,1112,1076,1111,1152,1074,1036,1038,1000,998
131,2417,2291,2416,2292,2293,2418,2329,2415,2453,2380
143,808,805,846,767,770,884,922,960,998,1036
157,1669,1706,1707,1668,1744,1782,1820,1858,1896,1745
167,2943,1288,1326,1364,1402,1440,1478,1516,1554,1250
180,76,108,114,144,106,105,142,65,138,99
209,1190,1205,1228,1229,1167,1266,1304,1342,2949,1380
212,225,304,303,340,2935,378,377,414,452,490
228,341,2619,379,380,416,415,342,453,492,2657
264,75,32,28,35,74,37,26,66,24,22
275,2244,2205,2207,2167,2206,2246,2247,2284,2322,2360
304,567,605,644,529,606,568,530,604,566,527
308,380,378,341,379,416,415,342,2935,377,453
315,646,682,3016,643,680,718,717,755,754,753
328,1141,1065,1103,1179,1027,989,951,913,1217,1255
331,1252,2943,1290,1328,1366,1404,1442,1480,1518,1556
344,1708,1783,1821,1746,1745,1784,1822,1860,1859,1897
357,1252,2943,1290,1328,1366,1404,1442,1480,1518,1556
360,1119,1078,1081,1043,1005,1157,1195,1233,1271,1308
366,3008,1153,1115,1191,1398,1360,1322,1284,1246,1208
372,1065,1028,1103,1141,1179,1027,989,951,913,990
374,634,670,672,597,595,633,708,746,745,707
379,1161,1198,1160,1199,1237,1275,1236,1274,1122,1312
394,684,567,646,3016,529,569,531,493,532,605
404,2712,2790,2791,2673,3028,2830,2793,2710,2788,2749
409,517,478,479,518,439,516,515,441,401,480
410,1205,1167,1168,1130,1092,1054,1016,978,940,902
416,196,154,115,197,159,121,123,162,125,126
435,1205,1240,1167,1202,1164,1126,1088,1050,1012,974
439,379,873,341,911,380,416,415,835,342,949
450,1028,1027,989,951,913,1065,1103,1141,1179,990
457,520,523,521,482,481,560,561,562,524,487
470,1217,1483,1255,1293,1179,1141,1103,1065,1027,989
487,874,1288,1326,912,950,1364,836,1402,1440,1478
492,225,228,3013,302,300,262,185,2957,184,183
497,1487,1526,1564,1602,1525,1563,1601,1639,1677,1715
504,1214,1216,1178,1140,1102,1064,1254,1026,1176,1138
528,301,148,149,111,147,108,144,106,105,142
531,1380,1642,1604,2949,1342,1304,1266,1418,1456,1494
545,76,32,114,28,35,74,37,26,66,24
558,2992,1262,1227,1224,1189,1186,1265,1303,1341,1379
574,1308,1032,1070,1108,1146,1147,1185,1223,1261,1299
587,2597,2636,2939,2637,2638,2599,2596,2595,2557,2556
596,1408,1446,1370,1484,1522,3034,1521,1559,1597,1635
600,1055,1663,1625,1587,1093,1017,1701,1739,1777,1815
611,1177,832,1215,3014,1139,1101,1063,1025,987,949
625,255,253,294,257,259,298,261,254,216,215
643,1283,2962,1321,1245,1207,1588,1626,1664,1702,1740
645,3039,1373,1410,1411,1449,1372,1334,1296,1258,1220
646,1043,1077,1081,1119,1005,1039,1001,963,1157,1195
650,1112,1113,1075,1111,1074,1036,1037,1151,1189,1227
663,3038,1669,1707,1292,1330,1368,1406,1444,1482,1520
673,2207,2245,2283,2244,2246,2247,2284,2322,2360,2398
674,133,172,210,170,208,206,205,173,174,175
683,2949,1343,1342,1380,1304,1266,1305,1418,1456,1494
706,1663,1360,1625,1587,1322,1398,1284,1246,1208,2932
729,77,117,78,156,41,118,119,2966,83,44
742,1037,1032,1070,1108,1146,1075,1113,1147,1185,1223
759,1213,1324,1286,1248,1210,1172,1362,1400,1175,1251
760,262,151,300,113,225,302,185,2957,184,183
769,2324,2362,2990,2286,2249,2287,2288,2289,2979,2328
771,1367,1405,1329,1291,1253,1443,1481,1519,1557,3030
781,1340,1922,1960,1378,1416,1302,1264,1454,1492,1530
789,28,73,32,35,74,37,26,66,24,22
831,2209,1947,1985,1909,1871,1833,1795,1757,1719,1681
841,2670,2674,2675,2676,2639,2678,2982,2671,2709,2677
846,847,1153,1115,1191,885,923,961,999,1077,1039
856,1325,1667,1287,1629,1591,1249,1211,1363,1401,1439
859,1055,3025,1093,1017,1131,1169,1206,2994,1244,1282
863,536,537,574,535,572,610,609,571,499,573
869,478,237,479,439,441,401,274,238,239,240
871,3038,1669,1707,1292,1330,1368,1406,1444,1482,1520
872,567,605,644,529,606,568,530,604,566,527
874,341,2619,379,380,416,415,342,453,492,2657
901,118,119,2966,83,117,156,155,154,115,116
929,2733,2769,2969,2695,2808,2696,2806,2844,2805,2843
949,1190,1150,1228,1188,1229,1226,1264,1302,1340,1378
950,1077,1119,1081,1043,1005,1039,1001,963,1157,1195
962,364,2677,2676,2639,2678,2675,2674,2982,2713,2714
968,1878,2368,1916,1954,1992,2330,2331,2332,1840,1802
973,2013,684,1975,1937,1899,1861,1823,1785,1747,1709
984,1037,1001,1039,963,1075,1113,1151,1189,1227,2992
991,1858,2616,1896,1820,1782,1744,1706,1668,1630,1592
1022,682,988,643,1026,1064,1102,1140,1178,1216,1254
1027,836,1746,1708,1784,1822,1860,874,912,950,2956
1034,2674,2675,2676,2639,2678,2982,2677,2713,2714,2715
1043,1644,1077,1682,1606,1568,1530,1492,1454,1416,1378
