,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
,Doc2,Mdr49,Ilp4,ImpL2,rho,trn,CG14427,prd,Antp,CG10479
,peb,Mes2,Ama,bun,Traf4,tsh,Btk29A,knrl,MESR3,kni
,zen,NetA,dan,D,noc,htl,bmm,rau,fkh,Kr
,brk,sna,h,zen2,run,CG43394,pxb,dpn,Dfd,erm
,mfas,twi,ftz,tkv,E(spl)m5-HLH,lok,apt,gt,nub,oc
8,24,30,2937,22,36,38,26,66,28,32
11,796,11,14,759,834,872,910,948,986,1024
17,1288,2944,1326,1364,1402,1440,1478,1516,1554,1250
34,2332,2257,2295,2294,2331,2330,2368,2333,2372,2334
35,38,414,36,30,2937,452,490,453,415,416
48,2941,781,819,743,785,742,747,748,749,788
50,1121,1154,1192,1159,1116,1197,1235,1273,1311,1349
63,173,172,210,208,206,170,133,205,174,175
67,2255,2256,2218,2219,2181,2180,2258,2220,2221,2222
72,1329,1402,1367,1405,1440,1291,1253,1443,1481,1519
74,1245,1054,1207,1092,1283,1321,1130,1016,1168,978
76,2600,2478,2561,2598,2560,2559,2601,2640,2641,2603
93,989,1255,1293,1217,951,1027,913,1065,1103,1141
136,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
137,1520,1558,1482,1444,1406,1368,1330,1292,3038,1254
140,1739,1815,1777,1701,1663,1625,1587,1853,1891,1929
141,682,988,643,1026,1064,1102,1140,1178,1216,1254
160,711,709,712,671,710,673,635,674,636,599
191,1480,1571,1442,1404,1366,1518,1556,1328,1609,1647
204,3038,1292,1330,1368,1406,1444,1482,1520,1558,1254
205,1049,1009,1087,1047,971,933,895,1125,1163,1201
221,1099,1329,1367,1405,1291,1253,1443,1481,1519,1557
234,1073,1878,1035,997,959,2936,3007,1149,1187,1225
235,2412,2488,2526,2450,2451,2411,2410,2371,2489,2449
241,2209,2169,2208,2131,2132,2170,2171,2172,2210,2055
249,2216,1218,1180,1142,1104,1066,2179,1028,990,952
256,1253,640,1291,1329,1367,1405,1443,1481,1519,1557
272,2393,2048,3006,2010,3027,1972,1934,1896,1858,1820
290,913,951,989,1027,1065,1103,1141,1179,1217,1255
291,1155,1771,1733,1809,1117,1079,1847,1885,1923,1695
294,951,915,989,953,1027,913,991,1029,1067,1105
320,1064,1253,1291,1102,1329,1367,1405,1140,1178,1216
336,88,53,55,56,58,90,87,85,124,84
337,1253,1593,1291,1329,1367,1405,1443,1481,1519,1557
338,2179,2256,2216,2141,2140,2178,2139,2177,2214,2252
341,991,1028,953,915,1029,1067,1105,1143,1181,1219
345,84,85,124,122,120,157,158,87,194,88
347,1279,1316,1317,1241,1355,1354,1393,1431,1469,1507
349,413,338,450,3037,448,449,486,485,523,562
352,1130,1340,1378,1092,1054,1416,1016,1302,1264,1168
389,151,187,226,113,264,224,148,149,111,147
423,380,341,379,416,415,342,453,492,490,491
426,801,840,839,878,802,765,763,725,724,685
428,1205,934,1167,972,1010,896,1048,1086,1124,1162
433,1405,1783,1821,1367,1329,1745,1291,1253,1443,1481
449,1012,1115,1153,1191,974,936,898,860,1077,1039
451,1065,1027,1103,989,951,913,1141,1179,1217,1255
468,1028,1255,1293,1217,990,952,914,1179,1141,1103
479,2605,2648,2644,2684,2646,2647,2686,2687,2649,2643
489,1555,1556,1518,1480,1442,1404,1366,1328,2970,1594
490,572,537,610,609,571,535,574,536,499,573
491,1024,1062,986,948,1100,1138,910,1176,1214,872
499,1075,2936,1113,3007,1149,1187,1225,1073,1035,997
503,364,365,404,2995,363,405,444,3017,442,445
506,3038,1253,1291,1292,1330,1368,1406,1444,1329,1367
507,1146,1147,1108,1185,1223,1261,1299,2988,1337,1375
