,Ama,Ance,Btk29A,CG8147,Doc3,fj,gt,hb,Ilp4,ImpE2
,kni,lok,MESR3,Nek2,nub,oc,rho,sna,tsh,twi
3.0,1591,1553,1590,1629,1704,1515,1667,1552,1742,1666
24.0,1210,1248,1286,1172,1362,1135,1324,1325,679,1323
28.0,1058,1020,1059,1021,983,1096,1097,945,907,1019
29.0,2323,2132,2361,2170,2711,2748,2399,2285,2398,2362
40.0,2436,2473,2435,2398,2360,2474,2397,2512,2511,2399
44.0,801,763,839,840,838,878,800,802,876,725
49.0,1656,1657,1619,1618,1695,1696,1617,1694,1581,1579
60.0,402,401,400,440,438,363,476,437,439,475
79.0,449,488,489,526,450,487,527,486,451,3037
86.0,1335,1297,1298,1336,1260,1259,2951,1221,1222,1261
87.0,162,164,123,157,3012,125,187,119,156,163
106.0,1297,1335,1296,1334,1259,1298,1372,2951,1260,1336
108.0,2126,2124,2087,2049,2162,2125,2088,2163,2011,2164
114.0,442,405,443,444,403,441,478,479,404,480
122.0,1783,1821,1897,1859,1896,1858,1934,1935,1746,1784
142.0,1277,1278,1315,1239,1316,1240,1201,1354,1353,1241
161.0,1593,2944,1631,1555,1554,1568,1529,1517,1669,1606
166.0,161,200,160,201,202,199,163,236,198,203
169.0,500,2640,538,2603,2602,463,537,2639,2638,499
171.0,891,1235,1236,1197,1273,1272,775,1198,1274,813
175.0,365,364,2995,402,440,363,404,400,328,366
186.0,1278,1316,1240,1277,1239,1241,1205,1315,1203,1201
193.0,1289,1327,1290,1328,1251,1252,1366,1213,1365,1326
231.0,1344,1306,1305,1307,1382,1345,1343,3035,1267,1269
239.0,1779,1817,1741,1665,1627,1818,1703,1855,2927,1589
243.0,3017,443,444,445,520,482,558,519,480,596
253.0,1327,1289,1290,1328,1251,1366,1252,1365,1213,1326
284.0,1244,1282,2994,3004,1358,1320,1243,1396,1283,1281
289.0,535,573,572,534,574,496,536,497,612,610
307.0,1205,1167,1278,1242,1204,1166,1240,1316,1241,1277
312.0,454,492,415,530,453,416,455,379,491,490
316.0,1274,1236,1235,1273,1237,1272,1199,1197,1310,1311
323.0,194,193,232,158,195,155,230,156,270,196
324.0,491,528,1250,490,568,1212,529,605,1288,492
327.0,1562,1525,1563,1487,1600,1524,1526,1449,1523,1601
350.0,1264,1302,1301,1263,2992,1340,1265,1225,1339,1226
353.0,1278,1240,1205,1316,1277,1239,1241,1315,1203,1204
363.0,489,488,450,451,452,490,526,528,449,453
380.0,2640,2603,2602,2638,2563,2601,2639,2642,2564,2637
388.0,1146,1108,1145,1184,1107,1109,1147,1071,1222,1260
390.0,1146,1108,1145,1184,1147,1107,1109,1222,1260,1071
391.0,2083,2045,1818,2927,1932,2122,1856,1931,2008,2007
397.0,52,54,19,51,13,21,12,15,17,60
399.0,786,748,824,747,749,711,710,823,709,671
408.0,3012,164,163,165,131,130,166,132,129,95
419.0,985,947,910,948,986,984,909,871,1023,946
429.0,1783,1821,1897,1859,1896,1858,1934,1746,1745,1707
432.0,1054,1016,978,977,1092,1017,1055,1015,979,940
434.0,1662,1624,1700,1586,1549,1625,1661,1587,1623,1510
445.0,2423,2460,2422,2385,2421,2462,2386,2384,2424,2461
477.0,1468,1506,1467,1429,1469,1431,1507,1544,1505,1466
493.0,573,535,572,612,574,575,2479,534,2516,2554
513.0,725,763,800,838,801,762,724,764,687,839
521.0,1335,1297,1298,1336,1260,1259,2951,1221,1222,1261
527.0,1302,1264,1301,1340,1263,2992,1265,1339,1225,1338
532.0,1264,1302,1301,2992,1263,1340,1265,1225,1226,1339
552.0,2944,1593,1516,1554,1517,1555,1631,1439,1556,1669
568.0,2779,2625,2814,2626,2588,2781,2587,2817,2627,2589
573.0,479,443,441,478,442,480,518,517,516,444
580.0,1338,1300,1301,1339,1376,1340,1378,1263,2988,1302
589.0,2701,2703,2702,2741,2704,2742,3018,2739,2665,2705
603.0,1278,1277,1239,1316,1315,1240,1201,1354,1241,1276
610.0,2987,727,671,633,699,775,672,765,737,670
626.0,1273,1274,1236,1235,1468,1311,1237,1272,1429,1350
