,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
,Mes2,tsh,zfh1,rho,knrl,Kr,run,edl,CG8147,odd
19,1815,1777,1853,1814,1854,1852,1816,1890,2947,1776
23,758,757,720,719,796,795,681,2938,756,759
25,34,72,68,74,69,35,73,32,71,29
42,96,95,98,97,136,57,59,94,93,132
45,1091,1053,1129,1128,1092,1130,1168,1015,1090,1054
53,707,744,745,746,706,669,782,705,783,708
55,567,529,605,604,606,642,568,644,566,491
61,2725,2724,2726,2727,2763,2762,2689,2764,2964,2690
100,1634,1672,1596,1633,1595,3030,1710,1671,1558,2996
102,569,3016,531,570,606,644,608,532,493,646
117,1013,1051,975,1012,1014,1052,1050,974,1090,1088
118,2100,2061,2062,2138,2099,2101,2023,2098,2176,2024
119,1009,1047,971,1010,1048,1008,1046,933,1086,1084
123,1091,1053,1129,1128,1092,1130,1168,1015,1090,1054
145,569,3016,531,570,606,644,608,532,493,646
159,1596,1634,1558,3030,1595,1672,1633,1520,1557,1519
170,415,416,453,454,492,414,377,379,417,378
182,1446,1408,1484,1447,1409,1445,1407,1522,1371,1370
184,569,3016,531,570,606,644,608,532,493,646
185,871,909,833,872,910,908,870,947,832,795
192,342,380,303,304,340,341,418,379,2935,265
197,1119,1081,1157,1158,1156,1120,1118,1043,1082,1195
198,442,405,403,441,443,444,404,479,480,440
200,1679,1641,1717,1716,1678,1718,1680,1755,1603,1640
207,1041,1003,1079,1040,1078,1080,1042,1002,1117,965
211,1756,1794,1718,1719,1757,1755,1717,1832,1795,1681
232,38,36,35,32,30,74,28,37,2937,34
237,1716,1754,1678,1715,1677,1679,1717,1640,1792,1755
251,1091,1053,1129,1128,1092,1130,1168,1015,1090,1054
263,2459,2498,2497,2458,2496,2460,2535,2421,2461,2534
273,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
280,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
293,2112,2074,2075,2113,2111,2150,2035,2037,2114,1999
299,1013,1051,975,1012,1014,1052,1050,974,1090,1088
306,405,444,442,404,367,406,403,366,443,3017
311,2079,2118,2041,2117,2078,2080,2116,2042,2156,2081
330,378,2935,377,416,376,339,379,341,340,375
342,1519,1557,1481,1520,3030,1443,1482,1518,1558,2970
351,2588,2626,2587,2551,2549,2589,2550,2548,2625,2627
361,825,787,863,862,824,786,864,826,900,788
385,633,670,595,672,671,594,632,710,708,631
398,1026,1064,988,1025,987,1102,1063,950,949,1101
401,1623,1661,1585,1622,1624,1660,1662,1699,1547,1586
406,409,446,410,447,371,372,484,408,448,483
421,1137,1099,1175,1176,1174,1136,1138,1098,1061,1212
436,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
437,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
446,995,1033,994,957,1032,996,1034,956,1071,1072
459,1091,1053,1129,1128,1092,1130,1168,1015,1090,1054
464,2588,2626,2587,2551,2549,2589,2550,2548,2625,2627
467,606,568,644,569,567,531,605,530,529,3016
471,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
480,823,861,824,822,785,862,860,784,786,899
488,1125,1163,1087,1164,1124,1126,1162,1201,1202,1200
519,263,302,339,2935,301,225,340,303,378,338
523,926,964,888,927,889,887,925,965,849,1002
524,1183,1221,1182,1145,1220,1184,1258,1222,1144,1259
529,1129,1091,1167,1166,1168,1128,1130,1053,1205,2977
536,446,483,484,409,408,407,522,447,371,445
548,909,947,871,908,946,910,948,984,985,870
551,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
561,237,274,238,275,276,236,277,199,239,312
570,2583,2544,2622,2582,2621,2545,2507,2584,2929,2505
579,764,763,726,802,765,725,687,801,727,3023
584,364,2995,363,326,325,362,402,365,440,400
588,1321,1283,3004,1359,1360,1322,1284,1245,1282,1397
602,1017,1055,979,1018,1016,1054,1056,1092,1093,941
604,963,1001,925,964,1000,962,1002,1039,1040,1038
622,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
636,1755,1717,3005,1794,1756,1793,1754,1718,1679,1792
652,707,744,745,746,706,669,782,705,783,708
667,825,787,863,862,824,786,864,826,900,788
688,1511,1473,1549,2962,1510,1512,1548,1435,1472,1587
695,927,965,889,926,928,966,964,1002,1003,1004
700,523,562,522,485,560,561,484,521,524,600
702,797,835,759,798,836,874,796,834,760,873
707,745,707,746,784,783,782,2941,744,822,821
708,478,479,439,441,403,515,440,401,516,477
709,1129,1091,1167,1166,1168,1128,1130,1053,1205,2977
710,2156,2118,2194,2119,2155,2081,2157,2193,2079,2117
718,478,479,439,441,403,515,440,401,516,477
719,367,366,368,406,405,404,369,329,328,444
730,1763,1801,1725,1764,1802,1762,1839,1800,1840,1726
731,798,797,760,836,759,874,721,835,722,796
751,707,744,745,746,706,669,782,705,783,708
762,403,440,442,441,404,478,479,365,402,405
763,2285,2247,2323,2284,2324,2990,2322,2246,2362,2985
765,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
782,1013,1051,975,1012,1014,1052,1050,974,1090,1088
784,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
785,415,416,453,454,492,414,377,379,417,378
797,758,757,720,719,796,795,681,2938,756,759
836,989,951,1027,1028,990,1066,913,952,1065,991
837,2721,2720,2683,2759,2719,2645,2722,2718,2758,2681
875,1176,1214,1138,1137,1175,3014,1099,1213,1139,1100
888,936,974,898,899,935,937,897,973,861,975
894,75,2933,150,152,76,112,110,114,113,149
903,41,78,44,40,39,43,77,80,81,5
912,764,763,726,802,765,725,687,801,727,3023
917,1819,1781,1857,1820,1856,1858,1782,1896,1743,1780
921,1041,1003,1079,1040,1078,1080,1042,1002,1117,965
922,43,80,81,41,44,2966,78,83,79,119
