,brk,zen,CG43394,Btk29A,kni,twi,tkv,hkb,h,Ilp4
,dan,tsh,erm,lok,cnc,dpn,toc,ftz,htl,noc
6,1190,1228,1152,1153,1151,1191,1189,1229,1115,1227
7,105,106,144,67,31,142,70,104,107,180
21,1082,1083,1120,1045,1044,1121,1007,1158,1122,1081
31,923,961,960,998,999,885,922,962,1000,924
62,275,274,312,237,273,276,313,311,236,238
71,669,706,631,708,707,746,668,670,593,630
75,1328,1290,1289,1327,1366,1251,1252,1365,1291,1253
77,871,909,910,872,833,947,948,908,870,834
80,2517,2554,2479,2556,2555,2518,2516,2480,2519,2553
94,1214,1176,3014,1175,1252,1213,1138,1137,1215,1177
104,415,453,492,454,416,414,490,455,377,417
105,105,106,31,70,67,144,107,142,104,108
111,1078,1079,1116,1041,1117,1040,1154,1077,1039,1080
121,1120,1119,1081,1158,1082,1157,1043,1121,1196,1083
124,1032,995,1033,1070,1071,994,993,1108,1031,1034
125,582,581,544,545,543,3033,620,507,546,583
147,1166,1204,1205,1167,2977,1129,1242,1128,1165,1168
154,2444,2405,2482,2406,2407,2367,2483,2404,2445,2443
164,1059,1021,1060,1022,1098,1097,1058,983,1020,1096
172,415,416,453,414,377,454,379,378,492,452
189,1032,1070,995,1033,994,1071,993,1031,1108,957
190,940,902,903,865,941,978,864,901,979,939
226,2716,2677,2678,2679,2639,2715,2676,2717,2754,2714
229,1039,1001,1040,1002,1078,963,1077,1076,1038,1041
258,897,898,859,860,936,935,896,821,934,858
283,1053,1091,1092,1015,1054,1130,1129,1052,1128,1090
286,2404,2367,3015,2993,2405,2366,2442,2406,2327,2368
292,1012,974,973,1050,1011,1013,975,935,936,1051
296,1116,1154,1077,1078,1115,1079,1117,1153,1039,1192
301,1305,1267,1304,1342,1343,1266,1268,1306,1229,2949
303,1023,1061,1062,1060,985,1099,1024,1100,1022,1098
309,1251,1213,1290,1252,1289,1214,1175,1328,1250,1288
343,2142,2103,2104,2105,2141,2140,2180,2143,2065,2027
346,1328,1290,1289,1327,1366,1251,1252,1365,1291,1253
364,107,109,31,144,108,147,106,112,70,110
365,2569,2568,2606,2567,2607,2529,2608,2530,2531,2566
375,2176,2175,2099,2138,2137,2214,2252,2213,2177,2100
