,brk,zen,CG43394,exex,CG11208,cnc,dpn,toc,h,Ilp4
,dan,tsh,hb,Btk29A,kni,twi,tkv,ftz,htl,noc
4,163,162,164,161,123,3012,121,125,126,202
16,2862,2861,2859,2900,2858,2898,2865,2863,2864,2860
20,125,162,126,127,123,3012,164,124,87,84
22,709,747,2941,671,708,785,746,748,710,670
38,1213,1290,1251,1252,1289,1214,1175,1328,1250,1253
57,1039,1078,1077,1040,1001,1116,1041,1076,1002,1079
68,468,467,506,505,469,431,430,429,504,2958
91,88,87,127,85,128,89,86,46,125,126
109,238,237,239,199,277,236,274,276,200,275
132,146,145,186,184,183,147,2957,108,111,182
135,149,148,186,111,113,151,224,150,2957,146
148,2717,2718,2679,2754,2716,2756,2680,2719,2681,2715
179,1138,1176,3014,1100,1139,1214,1137,1099,1175,1101
183,1158,1119,1120,1157,1081,1196,1082,1195,1156,1121
187,1125,1164,1163,1126,1202,1087,1127,1201,1124,1088
188,896,858,857,859,934,895,897,820,819,821
201,1129,1166,1167,1205,1128,1168,2977,1091,1204,1130
202,883,882,920,921,845,958,844,922,884,881
213,578,539,540,577,616,541,576,501,615,538
222,2995,365,327,328,326,364,404,366,440,289
233,23,66,26,62,25,21,27,20,24,29
238,996,1034,958,959,997,957,995,1035,921,1072
248,1290,1252,1251,1289,1328,1213,1327,1214,1253,1291
250,1220,1219,1258,1181,1257,1182,1296,1183,1143,1218
255,1395,1357,1432,1394,1433,1470,1356,1396,1471,1358
268,67,69,29,27,104,70,64,25,68,105
281,1326,1364,1325,1288,1287,1363,1249,1402,1327,1289
282,2989,1632,1593,1555,1631,2944,2970,1594,1670,2996
288,795,757,758,796,833,834,832,756,720,719
298,1441,1403,1479,1480,1442,1478,1365,1404,1517,1440
300,1278,1316,1277,1241,1240,1239,1315,1354,1279,1317
310,1229,1267,1266,1304,1268,1228,1191,1305,1342,1230
317,1840,1802,1841,1803,1878,1839,1879,1765,1801,1764
318,1009,1010,971,1048,972,1047,933,1008,1011,1046
329,1120,1082,1081,1119,1043,1158,1044,1083,1121,1157
335,2150,2113,2151,2189,2188,2112,2111,2149,2114,2190
358,517,516,518,515,479,554,592,555,480,553
362,2489,2490,2451,2452,2488,2526,2528,2491,2450,2527
367,963,1001,1002,964,925,1040,1000,962,1039,1038
387,642,605,567,604,643,603,682,680,644,565
396,1289,1290,1328,1251,1327,1252,1213,1366,1365,1326
415,2872,2912,2871,2873,2870,2910,2876,2834,2833,2869
422,477,476,514,515,475,439,552,401,478,438
441,2135,2097,2096,2134,2174,2173,2136,2172,2095,2059
442,1158,1196,1157,1119,1120,1159,1195,1234,1121,1197
452,1213,1290,1251,1252,1289,1214,1175,1328,1250,1253
465,214,175,213,139,252,101,174,177,176,212
476,1115,1153,1152,1077,1114,1190,1116,1154,1191,1076
478,1266,1228,1227,1229,2992,1189,1190,1304,1265,1151
484,1129,1166,1167,1205,1128,1168,2977,1091,1204,1130
500,857,856,819,894,895,858,896,818,820,932
525,2784,2745,2785,2786,2744,2747,2746,2783,2787,2822
526,1396,1397,1434,1359,1435,3004,1358,1436,1472,1395
530,2667,2666,2629,2668,2706,2704,2628,2630,2669,2665
539,311,312,273,3032,272,348,310,274,275,313
541,1676,1675,1637,1714,1638,1713,1599,1752,1674,1677
543,2819,2818,2821,2856,2820,2857,2817,2783,2953,2822
550,518,480,517,519,479,441,556,516,555,443
564,470,469,471,508,433,432,431,506,395,472
565,2292,2217,2293,2254,2255,2291,2972,2218,2216,2179
567,1262,1300,1261,1299,1224,1263,1338,1223,2988,1225
583,854,892,855,853,816,893,817,891,815,930
590,1213,1290,1251,1252,1289,1214,1175,1328,1250,1253
591,1078,1079,1041,1040,1116,1039,1077,1117,1003,1154
606,20,18,15,17,22,24,23,13,14,21
612,472,434,433,435,473,471,470,436,474,396
628,985,1024,986,1023,947,1062,948,1061,984,1022
631,1669,1631,1670,1707,1632,1668,1708,1593,1706,2956
638,403,442,441,479,478,440,405,443,404,480
648,662,663,664,625,624,661,587,700,702,623
666,1251,1213,1290,1289,1252,1175,1250,1214,1288,1328
691,1213,1290,1251,1252,1289,1214,1175,1328,1250,1253
728,1214,1213,1175,1176,1252,1137,1251,1290,3014,1138
738,1053,1091,1128,1090,1052,1015,1129,1092,1054,1014
748,787,825,786,824,788,749,826,863,862,864
799,1639,1638,1601,1676,1677,1600,1563,1714,1640,1678
800,1195,1196,1234,1233,1157,1158,1272,1197,1271,1194
802,701,739,702,740,663,738,778,776,777,664
811,985,1023,947,1024,986,1022,984,1062,1061,948
821,1047,1085,1086,1009,1048,1084,1046,1124,1123,1010
839,320,319,283,281,321,358,282,356,318,322
851,1350,1388,1349,1311,1312,1387,1426,1351,1273,1313
858,1365,1404,1403,1366,1442,1327,1441,1328,1480,1402
887,614,576,575,577,613,539,652,612,651,537
892,1479,1441,1517,1403,1480,1518,1478,1442,1556,1516
897,70,31,67,69,72,107,105,71,106,104
911,1315,1277,1316,1354,1353,1278,1314,1352,1239,1276
915,1231,1193,3035,1270,1269,1230,1232,1192,1194,1268
925,1290,1252,1251,1213,1289,1328,1214,1327,1253,1175
928,1044,1006,1007,1082,1005,1045,1043,969,968,1083
935,871,909,833,872,910,908,870,947,832,946
936,20,17,15,18,23,21,13,24,22,52
942,2970,2989,1555,1556,1594,1632,1518,1517,2944,1593
994,719,2938,682,643,681,758,720,607,680,645
1002,144,108,106,147,109,145,107,143,182,105
1006,545,582,583,546,3033,544,584,507,621,581
1014,2216,2179,2178,2140,2141,2139,2217,2215,2254,2177
1016,2872,2871,2912,2870,2910,2873,2869,2833,2907,2876
1021,477,515,439,476,478,516,514,479,552,401
1026,565,527,566,604,564,640,603,642,489,529
1051,545,582,583,546,3033,544,584,507,621,581
1068,203,204,202,205,241,242,167,3012,201,164
