,lok,zen,CG43394,brk,erm,hkb,dpn,toc,h,Ilp4
,dan,tsh,CG17724,Btk29A,kni,twi,Traf4,ftz,htl,noc
19,1039,1076,1077,1114,1001,1038,1078,1115,1040,1116
23,833,872,871,834,795,910,909,832,870,908
25,69,70,72,34,31,29,67,71,68,73
42,844,882,843,881,920,845,806,807,883,805
45,2446,2409,2407,2445,2408,2484,2447,2371,2370,2444
53,895,857,896,933,934,894,858,932,856,972
55,1214,1252,1176,1213,1215,3014,1175,1177,1290,1138
61,840,878,802,841,803,839,801,879,765,916
100,1708,1670,1707,1669,1746,2956,1745,1631,1632,2996
102,1022,984,983,1021,1060,945,946,985,1059,1023
117,898,860,936,861,897,859,899,821,822,823
118,809,847,848,810,846,771,885,886,884,808
119,819,781,818,856,857,820,858,780,894,782
123,972,1010,973,1011,935,934,1048,971,1009,933
145,225,302,263,301,300,264,226,265,303,339
159,644,605,606,567,607,569,682,3016,568,642
170,1137,1174,1175,1136,1099,1212,1176,1098,1213,1138
182,1257,1219,1181,1258,1220,1256,1295,1296,1294,1218
184,834,872,795,833,796,835,871,910,757,758
185,682,607,605,644,643,2938,642,645,719,3016
192,492,491,453,530,454,490,455,415,568,528
197,1044,1082,1045,1007,1006,1043,1083,1120,1005,1081
198,475,514,513,512,476,437,477,552,474,551
200,1033,995,1032,1071,1070,1072,1034,994,1110,996
207,1124,1162,1125,1123,1163,1087,1086,1200,1085,1161
211,2288,2249,2250,2287,2251,2211,2286,2289,2248,2213
232,69,29,70,72,34,68,67,27,31,104
237,1410,1371,1409,1372,3039,1448,2951,1333,1334,1447
251,1506,1468,1467,1544,1429,1505,1430,1469,1507,1431
263,922,884,883,921,960,885,845,923,847,846
273,1731,1693,1732,1770,1769,1655,1694,1730,1808,1768
280,1240,1202,1203,1165,1241,1164,1278,1201,1204,2967
293,2181,2143,2182,2180,2219,2142,2144,2256,2105,2218
299,1052,1090,1014,1053,1015,1051,1013,1128,1091,976
306,2941,785,784,822,747,709,746,745,823,824
311,2171,2172,2134,2133,2209,2135,2170,2210,2985,2208
330,568,606,530,531,491,529,567,493,569,492
342,29,27,67,69,104,70,25,64,68,66
351,389,350,388,351,390,349,313,427,426,387
361,590,589,591,629,628,666,553,551,554,552
385,629,591,666,590,628,589,630,668,554,627
398,1252,1290,1213,1214,1251,1215,1253,1175,1176,1289
401,2307,2345,2308,2344,2306,2269,2346,2384,2305,2383
406,880,842,879,918,841,881,843,919,917,956
421,1024,1062,1023,985,986,1061,1100,1025,947,1063
436,1046,1047,1009,1084,1008,971,1085,1045,970,1007
437,1199,1198,1236,1161,1160,1237,1274,1123,1197,1238
446,2259,2296,2260,2297,2221,2298,2336,2258,2257,2334
459,2994,1167,1206,1205,1244,1243,1168,1207,1282,1281
464,2554,2592,2553,2591,2555,2593,2516,2515,2517,2630
467,872,834,795,833,871,796,835,910,873,832
471,1077,1116,1115,1078,1039,1154,1114,1153,1152,1076
480,751,3029,713,750,752,789,788,790,826,827
488,1114,1152,1076,1077,1115,1075,1113,1151,1039,1037
519,68,34,32,66,29,35,28,69,26,72
523,963,1001,925,1000,1002,964,962,1039,1040,1038
524,1297,1259,1298,1335,1260,1336,1221,1296,1258,1334
529,1625,1587,1663,1624,1662,1586,1549,1700,1626,1664
536,354,355,315,316,317,352,356,353,314,318
548,1632,2989,1594,1670,2996,1593,2970,1555,1631,2944
551,1077,1116,1115,1078,1039,1154,1114,1153,1152,1076
561,2858,2859,2861,2860,2857,2862,2821,2898,2855,2824
570,601,638,602,639,676,600,637,678,599,563
579,465,427,464,466,426,428,463,425,462,502
584,810,772,773,771,811,809,848,734,735,812
588,1052,1090,1014,1053,1051,1128,1013,1089,1015,1091
602,1229,1266,1228,1304,1267,1191,1190,1268,1227,2992
604,1189,1227,1151,2992,1228,1226,1188,1190,1266,1150
622,1176,1214,1138,1175,1137,3014,1213,1099,1252,1139
636,1875,1914,1913,2971,2997,1876,1837,1838,1952,1799
652,2288,2249,2287,2250,2286,2326,2251,2289,2211,2248
667,817,779,818,856,855,816,854,780,778,894
688,903,941,940,902,978,979,865,942,904,901
695,427,465,428,466,426,464,389,429,388,425
700,673,635,710,711,634,672,712,597,671,674
702,834,872,795,833,796,835,871,910,757,758
707,2179,2216,2178,2140,2141,2139,2217,2215,2177,2254
708,2288,2287,2289,2326,2249,2251,2250,2290,2286,2364
709,1052,1090,1053,1014,1015,1128,1091,1051,1013,1089
710,1228,1190,1227,1266,1229,1189,1151,2992,1191,1304
718,919,956,918,957,881,880,994,920,917,958
719,2518,2519,2556,2517,2481,2480,2557,2520,2558,2555
730,1003,1041,1040,1042,965,1002,1004,1080,1078,1079
731,492,453,454,415,530,491,455,490,568,416
751,2063,2101,2102,2064,2062,2025,2065,2100,2138,2139
762,2745,2784,2744,2785,2783,2786,2746,2782,2747,2822
763,354,353,352,355,315,390,393,392,351,314
765,1137,1175,1174,1099,1176,1136,1212,1213,1138,1098
782,939,978,940,901,977,1016,902,976,938,941
784,1110,2936,3007,1109,1148,1072,1071,1073,1149,1186
785,31,70,107,71,72,110,69,109,67,106
797,1664,1626,1702,1663,1625,1665,1588,1587,1740,1627
836,1219,1257,1181,1218,1220,1256,1258,1294,1180,1295
837,934,896,897,972,935,895,933,859,858,857
875,1480,1479,1441,1442,1518,1403,1556,1404,1517,1365
888,925,887,962,924,963,964,926,886,849,888
894,69,72,34,29,68,70,67,31,71,27
903,1316,1278,1277,1315,1354,1241,1239,1279,1240,1317
912,1049,1087,1086,1048,1011,1050,1088,1124,1126,1125
917,567,606,568,529,605,644,604,642,491,566
921,1038,1037,999,1076,1000,1036,961,1075,1074,1001
922,274,237,236,275,273,312,238,3010,276,199
957,966,967,1004,929,928,1005,965,927,1003,1042
988,595,596,672,558,634,557,594,559,633,597
1003,2990,2985,2247,2248,2285,2209,2286,2324,2210,2246
1038,2484,2446,2409,2445,2447,2407,2448,2486,2444,2485
1042,1138,1100,1099,1176,1062,1061,1139,1137,1101,3014
1047,1837,2971,1875,1836,1874,1799,1913,1912,1876,1798
1052,1240,1278,1241,1239,1201,1316,1202,1203,1279,1277
1053,2786,2784,2747,2785,2746,2745,2749,2711,2748,2787
1057,1031,993,1070,1069,1030,1032,1068,992,955,1108
1069,515,552,553,516,477,514,554,590,517,589
1088,1001,1000,1038,963,1039,1076,962,999,961,1037
1091,787,826,825,864,788,863,3029,786,749,902
1096,1328,1290,1289,1366,1252,1327,1291,1253,1251,1329
1116,1046,1008,1084,1009,1047,1045,1007,971,970,969
1136,971,1010,1009,972,933,1048,934,1047,1008,970
1145,973,1011,1012,1050,974,935,1049,1010,972,1048
1155,492,415,453,454,455,530,416,490,491,417
1168,402,401,439,440,400,363,478,403,438,476
1183,2901,2902,3003,2904,2899,2867,2900,2907,2896,2906
1191,1252,1214,1290,1213,1215,1253,1176,1251,1175,1177
1215,226,225,264,300,262,187,189,302,185,301
1217,998,959,960,997,921,1036,922,1035,999,958
1218,226,187,189,264,262,225,300,185,188,224
1239,1478,1516,1517,1479,1554,1440,1441,1477,1439,1403
1271,1327,1289,1365,1326,1328,1251,1364,1290,1288,1366
1281,1655,1617,1656,1693,1694,1654,1618,1579,1692,1616
1283,187,185,224,226,262,188,189,2957,264,300
