,brk,zen,CG11208,croc,kni,danr,tkv,ftz,htl,ImpL2
,dan,tsh,erm,Btk29A,twi,dpn,toc,h,Ilp4,noc
15,2928,48,45,8,2976,50,49,82,86,2981
33,404,403,405,442,365,440,366,441,444,367
54,198,160,159,197,3031,161,196,199,121,200
59,1117,1079,1154,1116,1155,1118,1078,1192,1156,1041
65,848,847,886,809,885,810,924,846,884,811
82,277,276,237,238,278,275,239,316,274,315
98,2101,2138,2100,2063,2139,2062,2176,2177,2102,2178
103,1176,1137,1175,1138,1099,1214,1213,1174,1100,3014
127,605,644,567,642,682,606,643,607,604,529
133,1272,1310,1234,1235,1271,1273,1233,1311,1348,1309
149,160,200,199,198,161,236,201,159,3031,163
156,1061,1023,1099,1062,1100,1060,1138,1024,985,1098
181,69,34,72,68,29,70,67,71,27,31
210,2707,2708,2746,2669,2706,2747,2705,2744,2709,2743
214,377,378,416,415,376,414,379,2935,375,341
218,605,644,567,606,682,642,607,643,604,568
219,901,863,902,940,939,864,900,978,938,825
225,963,1001,1002,964,925,1040,1000,962,1039,1038
227,279,278,317,316,318,280,277,281,276,240
236,660,621,659,698,622,2955,658,3033,623,583
254,1238,1239,1276,1200,1201,1277,1163,1314,1237,1278
257,1230,1268,3035,1231,1191,1192,1193,1267,1306,1229
260,902,940,901,939,863,864,978,903,865,941
267,414,453,452,415,377,413,490,375,416,492
269,2303,3000,2264,2340,2265,2302,2342,2341,2301,2379
271,487,488,449,486,526,524,450,489,525,448
276,1036,1074,1035,1037,1073,1112,998,997,999,1075
277,1784,1746,1822,1783,1745,1708,1821,1747,1860,1785
278,292,330,255,291,293,3009,253,329,294,254
295,1096,1058,1134,1057,1097,1095,1019,1059,1020,1135
314,867,905,866,829,904,828,868,906,942,943
322,198,199,160,236,200,3031,161,159,238,3010
325,887,925,924,886,962,849,926,964,963,888
333,898,936,897,860,899,859,861,935,974,937
334,1092,1130,1054,1091,1055,1093,1053,1168,1017,1131
339,795,757,832,833,756,758,794,796,834,872
354,2941,747,709,785,746,784,748,708,786,671
369,1252,1213,1290,1214,1251,1175,1289,1215,1176,1328
378,424,425,423,422,385,387,462,426,386,460
412,377,414,375,378,415,416,376,453,413,452
420,2519,2556,2518,2557,2558,2517,2481,2555,2520,2480
424,302,265,264,225,303,227,263,226,304,266
456,490,452,453,451,528,491,492,414,489,529
473,966,967,1004,929,928,965,1005,927,891,1003
502,26,66,23,24,28,20,22,21,32,62
510,354,315,352,355,353,316,314,317,356,351
