,CG11208,zen,CG43394,brk,erm,twi,Traf4,hkb,h,Kr
,dan,tsh,CG17724,Btk29A,kni,dpn,toc,ftz,htl,noc
5,786,749,748,747,787,824,825,788,785,711
18,1417,1418,1455,1456,1379,1380,1454,1494,1493,1416
26,99,138,98,137,136,100,61,59,64,65
46,1005,1004,967,1042,966,1043,1006,1003,929,1080
47,901,939,938,863,900,940,902,978,976,977
66,2907,2909,2910,2871,2867,2911,3003,2914,2872,2912
70,2308,2346,2345,2269,2270,2983,2307,2347,2231,2232
83,773,810,811,772,812,848,735,774,849,809
84,3010,273,235,236,3031,274,234,272,233,237
85,1290,1252,1251,1213,1289,1328,1214,1253,1327,1175
96,2189,2188,2226,2151,2227,2150,2190,2149,2265,2225
97,1480,1442,1441,1518,1479,1404,1403,1556,1405,1443
110,1061,1100,1062,1099,1023,1138,1024,1060,1137,1098
112,921,883,920,958,882,959,922,845,960,884
113,1328,1290,1289,1366,1327,1252,1251,1291,1253,1365
128,757,795,756,758,832,833,794,796,681,834
146,490,528,451,491,452,489,453,529,492,566
151,69,72,34,29,68,70,67,31,71,27
153,2504,2542,2467,2429,2466,2465,2503,2468,2428,2543
155,1194,1195,1157,1156,1232,1233,1155,1119,1193,1196
173,1192,1154,1153,1191,1115,1230,1116,1193,1155,1117
178,2694,2617,2655,2656,2616,2619,2657,2654,2732,2693
216,2408,2370,2371,2407,2446,2409,2369,2333,2331,2332
244,1366,1328,1404,1327,1329,1365,1291,1290,1289,1367
246,2024,2023,2062,2061,1986,2025,1985,2100,2022,1947
247,2391,2353,2392,2315,2430,2390,2428,2354,2314,2352
259,378,416,377,379,2935,415,341,376,414,339
261,2219,2258,2256,2257,2181,2295,2220,2182,2218,2296
321,505,544,506,2958,507,543,468,467,582,508
332,69,34,68,29,72,70,66,27,67,71
356,1214,1252,1176,1213,1175,1215,3014,1290,1251,1137
359,281,318,282,320,319,283,317,356,280,279
370,1062,1023,1024,1061,1100,985,986,1099,1138,1060
395,111,149,112,147,150,109,186,148,146,113
400,1290,1252,1251,1213,1289,1328,1214,1253,1327,1175
402,2389,2390,2428,2351,2466,2388,2427,2352,2391,2429
405,1005,1004,1042,967,1043,1006,966,1080,1003,1044
407,604,529,567,566,642,528,565,605,527,568
413,1158,1120,1119,1196,1157,1081,1121,1159,1082,1195
427,1030,991,992,1029,953,1068,1031,954,1067,1028
438,1192,1230,1154,1191,1193,1153,1155,1268,1231,1116
440,186,2957,148,224,146,184,149,185,111,151
461,859,897,898,860,821,896,935,858,936,934
469,654,655,692,617,653,615,693,691,656,730
485,1442,1480,1404,1441,1518,1403,1479,1405,1366,1443
498,2900,2898,2862,2901,2859,2864,2904,2896,2861,2865
508,1159,1121,1158,1197,1196,1160,1120,1198,1083,1122
509,2296,2259,2258,2257,2221,2260,2220,2334,2297,2295
511,317,316,278,279,318,277,315,276,280,281
537,1242,1204,2967,1203,1205,1243,1280,1166,1165,1241
549,2745,2783,2784,2782,2744,2785,2820,2822,2743,2781
559,1248,1286,1249,1211,1287,1210,1324,1325,1209,1288
563,282,245,281,283,246,243,280,320,318,322
582,1015,1053,1052,1014,977,1091,1090,1054,976,1128
586,695,732,694,733,657,696,734,731,693,770
598,886,924,887,849,848,925,811,885,962,847
605,1419,1418,1381,1457,1456,1380,1420,1343,2949,1494
607,2097,2135,2174,2173,2136,2096,2059,2134,2137,2058
609,692,654,653,655,691,730,615,617,693,652
630,872,871,910,833,834,909,795,948,835,873
632,1163,1125,1162,1201,1200,1164,1124,1087,1202,1126
635,201,240,239,202,200,241,203,238,199,163
642,1100,1061,1062,1138,1099,1023,1137,1024,1176,1063
651,1290,1252,1213,1251,1289,1328,1214,1253,1215,1175
664,198,160,159,197,3031,196,199,161,236,121
669,872,910,871,834,833,909,873,948,835,911
689,263,339,301,2935,302,225,338,340,378,376
692,947,985,948,986,909,1024,910,1023,984,946
699,632,593,631,594,555,556,592,630,670,633
704,587,625,624,662,664,663,626,549,661,585
721,70,69,67,31,72,29,104,105,34,27
727,994,993,955,1032,956,1031,917,995,992,1070
734,2935,378,339,376,263,377,340,341,379,416
794,437,474,475,512,436,438,473,435,511,399
