,aay,apt,Btk29A,CG14427,D,eve,Ilp4,lok,odd,run
,Ama,Blimp-1,bun,CG43394,danr,ftz,ImpL2,MESR3,prd,Traf4
,zen,exex,CG10479,CG8147,dpn,h,kni,noc,pxb,trn
,Antp,brk,CG11208,Cyp310a1,edl,zfh1,Kr,nub,rho,tsh
4,162,125,126,123,164,3012,163,127,124,87
16,3003,2907,2909,2902,2906,2867,2904,2911,2901,2910
20,2016,2931,1978,2054,2017,1979,1939,2092,1977,2015
22,985,1023,947,984,1024,1022,986,948,909,1061
38,988,1026,950,987,949,912,1025,1064,911,1063
57,1083,1045,1121,1122,1120,1082,1084,1046,1044,1159
68,2627,2628,2626,2589,2664,2665,2590,2666,2588,2629
91,124,85,83,84,87,47,125,46,2966,162
109,1040,1002,1078,1041,1039,1003,1001,963,965,964
132,222,221,223,185,184,260,2957,262,183,220
135,302,264,265,225,226,303,263,227,189,304
148,232,195,230,270,193,233,194,234,231,191
179,342,380,303,304,340,341,418,379,2935,265
183,19,54,21,60,58,17,56,52,62,23
187,8,7,2976,5,2928,45,82,48,42,44
188,84,124,122,123,2966,121,83,162,85,125
201,1020,982,1058,1019,983,1021,981,945,944,1096
202,2358,2319,2320,2281,2321,2959,2357,2283,2359,2282
213,241,242,203,240,202,205,204,201,280,243
222,298,259,261,260,297,223,296,258,299,257
233,24,20,22,18,26,23,17,28,15,21
238,1265,1303,2992,1302,1266,1304,1342,1341,1227,1340
248,528,566,529,489,490,451,491,604,527,452
250,1256,1294,1218,1217,1219,1255,1257,1293,1332,1295
255,1402,1440,1364,1363,1365,1403,1401,1478,1441,1326
268,188,224,151,187,189,148,3013,2957,185,226
281,1055,1093,1017,1056,1092,1054,1132,1130,1094,1018
282,2989,1632,1555,1593,2970,1594,2944,1631,1556,1670
288,950,988,949,987,912,911,1026,1025,873,874
298,38,36,35,32,30,74,28,37,2937,34
300,683,645,722,684,721,646,760,607,2938,3016
310,1071,1033,1110,1108,1109,1070,1032,1146,1072,995
317,2369,2330,2331,2368,2408,2407,2406,2332,2370,2367
318,285,322,324,247,360,323,284,321,286,283
