,aay,Btk29A,croc,disco,Doc3,gt,Ilp4,knrl,run,tsh
,Ance,CG8147,Cyp310a1,Doc2,exex,htl,kni,oc,sna,twi
1,92,136,253,215,251,292,61,63,91,137
2,635,637,674,675,709,711,747,748,749,2941
3,524,563,981,1475,32,34,35,37,38,68
4,126,84,85,123,124,162,163,164,169,171
5,1323,1361,1399,1438,565,867,868,1020,1248,1286
6,867,2650,829,905,943,1019,1323,1361,1398,1399
7,17,20,32,34,35,37,38,68,74,114
8,32,34,35,37,38,68,74,114,2937,14
9,993,1070,1107,1108,1145,1146,1147,1183,1296,1373
10,259,60,113,146,148,149,181,184,186,220
11,981,601,639,1057,1246,1284,1285,1322,1360,564
12,901,902,938,940,968,1054,1083,1086,1122,1124
13,1995,2033,2034,2035,2037,2040,2070,2071,2072,2073
14,900,1130,786,787,823,824,825,862,864,901
15,151,185,187,188,189,190,222,223,224,225
16,2813,2699,2737,2738,2739,2740,2775,2776,2777,2778
17,759,796,797,832,834,835,836,981,1097,1099
18,1448,1523,1562,1600,441,477,479,480,507,512
19,1357,1466,941,1010,1014,1033,1035,1037,1071,1072
20,344,345,347,381,382,383,384,385,386,419
21,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
22,2160,2161,2197,2198,2199,2200,2349,2387,2388,2389
23,758,830,1026,1177,1216,1406,1442,2539,2543,2544
24,677,1209,1247,2201,2237,2238,2239,2240,2241,2242
25,15,19,52,485,523,17,20,32,34,35
26,46,49,60,86,92,136,253,113,146,148
27,212,213,172,175,215,251,133,160,161,199
28,981,831,869,871,872,907,908,910,946,983
29,2639,2673,2677,2709,2711,2712,2714,2715,2748,2750
30,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
31,865,903,979,1016,1017,1093,1160,2003,2036,2038
32,3028,2786,2788,2831,2639,2673,2677,2709,2711,2712
33,2232,2269,2307,2308,900,1130,2193,2195,2233,2270
34,2551,2587,2588,2589,2623,2624,2625,2626,2627,2628
35,377,413,414,415,416,417,418,448,449,450
36,343,497,498,685,687,723,724,725,762,878
37,341,379,377,413,414,415,416,417,418,448
38,758,830,1026,1177,1216,1406,1442,2539,2543,2544
39,793,873,874,906,909,911,912,945,947,948
40,2548,2585,2586,2591,2629,2551,2587,2588,2589,2623
41,2691,2725,2730,2734,793,873,874,906,909,911
42,2599,2601,2637,2640,2641,2678,2724,2793,2830,2939
43,717,754,755,760,792,565,868,1020,1248,1286
44,761,763,799,801,839,1980,764,765,800,803
45,2551,2588,2589,2630,993,1070,1107,1108,1145,1146
46,865,903,979,1016,1017,1093,1160,2003,2036,2038
47,901,902,938,940,1054,1245,3004,1323,1361,1399
48,2232,2269,2307,2308,900,1130,2193,2195,2233,2270
49,1996,1999,1657,1695,1696,1697,1698,1735,1736,2001
50,2556,2557,2594,2595,2597,2636,2638,1955,2173,2210
51,2804,2725,2765,2801,2803,2805,2806,2807,2810,2811
52,32,34,35,37,38,68,74,114,2937,183
53,635,637,674,675,709,711,747,748,749,901
54,158,578,3031,120,122,153,155,157,192,193
55,564,602,603,607,640,641,642,643,646,679
56,183,215,31,71,72,73,75,105,106,107
57,901,902,938,940,968,1054,1083,1086,1122,1124
58,873,874,906,909,911,912,945,947,948,949
59,941,1010,1014,1033,1035,1037,1071,1072,1073,1074
60,172,365,367,403,405,478,475,544,133,249
61,2654,2655,2657,2658,2692,2693,2695,2696,2698,2732
62,951,952,953,990,1977,1978,2015,2053,2055,2091
63,175,9,10,49,214,252,2973,2974,2976,2
64,2039,2041,2339,2341,2418,2419,2571,2605,2607,2608
65,389,391,426,427,428,429,430,431,433,466
66,2772,2809,2847,2885,2968,751,2610,2686,2687,2795
67,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
68,2553,2554,2555,2590,2592,2593,2599,2601,2637,2640
69,873,874,906,909,911,912,945,947,948,949
70,2725,2767,2768,2804,2762,2765,2801,2803,2805,2806
71,1929,1967,2195,2233,2270,2983,2204,828,866,904
72,1627,1478,1741,1743,1778,1779,1855,1858,2086,1019
73,123,162,163,164,169,171,209,248,286,287
74,901,902,938,940,968,1054,1083,1086,1122,1124
75,873,874,906,909,911,912,945,947,948,949
76,2551,2587,2588,2589,2623,2624,2625,2626,2627,2628
77,2730,2734,2691,2725,793,873,874,906,909,911
78,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
79,1626,1596,1628,1629,1631,1667,1705,1706,1710,1741
80,2639,2673,2677,2709,2711,2712,2714,2715,2748,2750
81,865,903,979,1016,1017,1093,2382,2420,2458,901
82,968,1083,1086,1122,1124,1156,1160,2003,2036,2038
83,939,976,977,978,1013,1015,1052,1053,1055,1091
84,277,278,279,508,2245,2284,2285,2322,2360,2395
85,831,869,871,872,907,908,910,946,983,985
86,2004,2947,865,903,979,1016,1017,1093,1160,2003
87,61,63,137,138,216,255,113,146,148,149
88,2171,2172,2209,2477,2478,2513,2514,2515,2516,2990
89,475,544,931,932,933,1125,1162,1164,1165,1166
90,831,869,871,872,907,908,910,946,983,985
91,46,47,83,87,53,88,89,15,19,41
92,183,113,146,148,149,181,184,186,220,221
93,1179,989,991,992,1027,1028,1029,1030,1031,1066
94,795,870,1063,1064,1096,1098,1101,1102,1134,1139
95,720,756,757,794,798,564,602,603,607,640
96,2004,2947,865,903,979,1016,1017,1093,1160,2003
97,2124,2163,2950,1478,1743,1858,2086,3001,2045,2049
98,2599,2601,2637,2640,2641,2678,2939,2483,2487,2523
99,994,995,997,998,999,1034,1036,1038,1149,1186
100,1478,1743,1858,2086,341,379,873,874,906,909
