,dan,srp,twi,Doc2,fkh,Cyp310a1,Doc3,Blimp-1,ftz,sna
,tsh,CG43394,htl,CG14427,lok,danr,ImpE2,Ilp4,fj,oc
1,92,517,162,164,518,119,120,122,123,157
2,2941,782,783,784,816,821,850,859,671,675
3,759,2389,2391,2392,2393,2394,2470,2930,3006,1779
4,162,164,46,126,552,57,59,129,161,163
5,1475,1513,295,1323,1361,1438,1514,1552,1626,1627
6,1399,1323,1361,1438,1626,1627,1741,1778,981,2431
7,2963,829,867,869,906,1019,1133,1210,1248,1286
8,32,34,35,37,38,68,74,114,2937,22
9,1939,1979,1980,2017,2207,2244,2246,2247,2282,2664
10,2796,2800,2838,2839,2840,2874,15,32,34,35
11,829,867,601,905,943,2499,2574,2963,602,830
12,1260,1297,1336,972,1012,1201,1202,1203,1204,1238
13,739,743,744,777,780,815,849,889,1343,1420
14,2709,2710,2712,2713,2714,2715,2719,2750,2753,2754
15,222,223,185,224,260,261,151,187,189,226
16,2917,2919,2872,2910,2924,2968,2775,2813,2815,2852
17,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
18,1179,1028,1065,1066,1103,1104,1141,1142,1143,1180
19,930,932,967,968,1004,1005,1006,1040,2145,2151
20,517,537,572,575,576,612,614,650,434,435
21,1067,1069,1105,1144,1145,1179,1182,1183,837,839
22,1324,1476,1628,982,1020,1058,1096,1134,1098,1099
23,1324,1476,1628,982,1020,1058,1096,1134,1098,1099
24,2802,32,34,35,37,38,68,74,114,640
25,2793,2795,2831,2832,2833,2834,2841,2877,2878,2885
26,559,595,596,83,523,561,636,671,709,520
27,291,328,364,365,366,367,403,404,405,442
28,377,413,414,415,416,417,418,448,450,451
29,2758,2760,2982,2557,2590,2594,2595,2596,2677,2709
30,1396,1434,1472,1041,1611,1613,1615,1616,1617,1651
31,1205,1243,972,1012,1201,1202,1203,1204,1238,1239
32,2599,2677,2711,2716,2759,2872,2910,2924,2641,2676
33,1890,1928,2193,1283,1814,1815,1853,1891,1929,2004
34,1029,1068,1106,2117,2182,2183,2217,2221,2222,2224
35,263,303,304,340,341,342,379,454,225,227
36,610,611,609,647,1711,1713,1715,1749,1750,1751
37,341,379,454,640,377,413,414,415,416,417
38,874,909,1135,1137,1139,1140,1173,1174,1177,1178
39,1514,1552,487,869,906,1210,1248,1286,1324,1476
40,2357,2359,2395,2396,2397,2434,2435,2436,2471,2472
41,679,682,2692,2693,2696,2732,603,640,718,2691
42,805,806,809,812,814,581,586,737,767,769
43,754,792,982,1020,1058,1096,1134,603,718,2048
44,875,913,1179,1597,1599,1635,1636,1673,1674,1675
45,1029,1068,1106,2004,2179,2216,2255,2258,2998,1321
46,1451,1489,1527,1205,1243,1775,1175,1176,1212,1213
47,977,979,1016,1017,1053,1054,1093,2383,3004,900
48,1205,1243,1490,1491,1492,1493,1495,1528,1529,1530
49,1490,1491,1492,1493,1495,1528,1529,1530,1531,1532
50,3004,1013,1052,1091,1128,1129,1358,1395,1397,1433
51,32,34,35,37,38,68,74,114,2937,2802
52,2788,32,34,35,37,38,68,74,114,2937
53,919,1013,1052,1091,1128,1129,1358,1395,1397,1433
54,896,897,898,325,326,361,362,782,783,784
55,341,379,454,488,525,526,527,528,529,531
56,19,49,52,54,60,86,162,164,518,61
57,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
58,869,906,1210,1248,1286,830,868,982,1020,1058
59,1811,1883,1887,1888,1924,1926,2972,1451,1489,1527
60,325,326,361,362,861,893,894,895,928,291
61,2730,2734,2770,754,792,2695,2698,2735,2984,2725
62,2245,2281,2283,2284,2319,2320,2321,2322,2358,2360
63,175,176,214,252,2973,88,520,558,633,670
64,1255,1256,1257,1294,1295,1296,1483,1484,1485,1488
65,537,572,575,576,612,614,650,577,610,611
66,2885,2968,2829,2830,2835,2845,2873,2875,2876,2883
67,1878,1879,1881,1918,1919,1920,1921,1922,1923,1925
68,2509,2548,2586,2590,2597,2634,2636,2638,2639,2679
69,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
70,2767,2603,2773,639,679,682,2692,2693,2696,2732
71,1779,2005,2346,2347,2383,2385,2421,2422,2423,2460
72,1323,1361,1438,1626,1627,1741,1778,1019,1133,1324
73,325,326,361,362,552,2103,2105,2024,162,164
74,1205,1243,1508,1536,1546,1510,1549,1587,331,369
75,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
76,2357,2359,2395,2396,2397,2434,2435,2436,2472,2473
77,679,682,2692,2693,2696,2732,607,641,643,645
78,1028,951,1027,1939,1979,1980,2017,2207,2244,2246
79,1323,1361,1438,1626,1627,1741,1778,1019,1133,1324
80,2790,2791,2794,2872,2910,2924,2711,2829,2830,2835
81,1014,1015,1055,1092,1130,1131,1168,1435,1739,1377
82,1811,1883,1887,1888,1924,1926,1807,1838,1839,1840
83,1014,1015,1055,1092,1130,1131,1168,1435,1739,886
84,305,343,345,381,382,384,420,496,610,611
85,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
86,1396,1434,1472,1321,1013,1052,1076,1079,1091,1117
87,162,164,518,61,63,137,139,177,221,92
88,954,955,956,577,581,586,610,611,2987,195
89,615,616,119,120,122,123,157,158,196,519
90,874,909,1135,1137,1139,1140,1173,1174,1177,1178
91,47,84,85,87,118,124,555,588,590,630
92,148,184,185,224,2957,106,145,146,151,186
93,2664,2665,2666,2701,2702,2703,2704,2706,2707,2741
94,2315,2316,2318,2353,2354,2356,759,795,796,797
95,603,718,2048,2124,642,646,679,681,682,717
96,2307,2308,2343,2345,2382,2384,2420,2458,2637,2720
97,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
98,555,588,590,630,664,667,2597,2604,2636,2638
99,961,962,998,1001,1002,1038,923,925,929,931
100,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
