,Ama,Ance,CG43394,CG8147,cnc,croc,Cyp310a1,D,Doc2,E(spl)m5-HLH
,fkh,Ilp4,knrl,Mdr49,Mes2,noc,oc,Traf4,tsh,twi
1,407,523,259,260,92,176,409,443,517,519
2,713,714,752,789,827,637,2941,676,677,639
3,1361,1706,981,830,1099,1175,1176,1212,1250,1253
4,57,59,53,89,93,94,95,96,98,91
5,676,677,641,754,525,602,639,678,716,753
6,1741,1400,1402,1287,1325,1326,1363,1364,1365,1401
7,676,677,259,260,487,488,641,754,981,714
8,32,34,35,37,68,74,114,31,38,71
9,2322,2360,2396,2397,2434,993,996,998,999,1032
10,32,34,35,37,68,74,114,181,259,260
11,447,485,524,487,488,526,523,377,414,415
12,745,781,782,783,785,819,820,821,822,896
13,1077,1153,1155,1225,1605,1643,1663,1690,1701,1776
14,637,1053,1054,1092,1130,522,713,714,752,789
15,148,151,184,185,187,189,222,223,224,225
16,2919,2804,2840,2911,2914,2525,2527,2528,2709,2711
17,1325,1363,1364,1401,1667,1704,1705,1742,983,1020
18,1107,1145,1183,1184,1221,1222,1258,1259,1297,1335
19,1112,1113,1116,1151,1154,881,882,919,920,994
20,154,155,156,193,194,195,232,517,519,157
21,880,993,996,1032,1070,1108,1112,1113,1146,1147
22,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
23,947,948,949,986,987,988,1023,1024,1025,1026
24,676,677,2082,2120,2158,2309,2347,2650,679,755
25,377,414,415,416,417,418,450,451,452,453
26,215,253,484,214,252,293,407,408,523,217
27,251,214,252,290,408,175,212,213,330,331
28,1361,1706,1099,1175,1176,1212,1250,1253,1254,1323
29,2723,2599,2641,2680,2681,2683,2720,2721,2759,2761
30,880,993,996,1032,1070,1108,1112,1113,1116,1146
31,995,997,1033,1035,1036,1071,1072,1073,1109,1110
32,2637,2638,2639,2673,2674,2675,2676,2677,2678,2679
33,902,1168,901,938,939,940,976,978,1131,1167
34,961,880,883,884,885,921,922,923,960,962
35,377,414,415,416,417,418,450,451,452,453
36,233,234,235,271,272,307,308,309,310,344
37,341,379,377,414,415,416,417,418,450,451
38,758,795,947,948,949,986,987,988,1023,1024
39,1741,1400,1402,1287,1325,1326,1363,1364,1365,1401
40,1867,1868,1905,1906,1943,1944,1946,1948,1981,1982
41,680,681,683,717,718,719,721,793,794,2938
42,408,259,260,784,889,639,678,716,753,790
43,377,414,415,416,417,418,450,451,452,453
44,799,800,801,837,838,839,840,876,877,878
45,713,827,1600,2043,2081,2233,2234,2271,2499,828
46,1627,1668,1744,830,1077,1153,1155,1663,1690,1701
47,559,560,561,595,596,598,637,593,594,597
48,1013,1052,1128,1129,2941,675,709,711,747,748
49,1123,1160,1303,1381,1419,1653,1732,2342,2723,1296
50,881,882,919,920,1641,1679,1680,1681,1717,1830
51,2804,2765,2766,2769,2771,2806,2842,2844,2969,2809
52,32,34,35,37,68,74,114,36,66,31
53,1740,805,808,811,812,843,844,846,849,887
54,229,231,269,496,533,534,571,610,611,117
55,527,565,567,569,603,604,606,607,608,640
56,293,292,330,331,368,3009,295,291,369,214
