,aay,Ama,Ance,Antp,apt,Blimp-1,bmm,bowl,brk,Btk29A
,bun,cad,CenG1A,CG10479,CG11208,CG14427,CG17724,CG17786,CG43394,CG8147
,cnc,croc,Cyp310a1,D,dan,danr,Dfd,disco,Doc2,Doc3
,dpn,edl,ems,erm,Esp,E(spl)m5-HLH,eve,exex,fj,fkh
,ftz,gk,gt,h,hb,hkb,htl,Ilp4,ImpE2,ImpL2
,ken,kni,knrl,Kr,lok,Mdr49,Mes2,MESR3,mfas,Nek2
1,228,3013,190,266,227,304,152,113,265,151
2,722,684,836,608,2961,798,950,912,988,1026
3,2961,266,190,304,684,228,608,722,342,494
4,2961,266,190,304,228,342,3013,684,608,494
5,2961,266,3019,684,722,190,608,304,228,342
6,2961,3019,33,190,114,37,76,266,38,75
7,1102,1254,988,1026,836,950,1064,1216,912,722
8,2961,684,722,266,608,836,304,494,342,190
9,2961,266,684,190,722,608,304,228,342,494
10,2961,684,722,608,266,494,836,304,342,798
11,2961,722,684,836,608,798,950,988,912,1026
12,2961,684,722,266,608,836,304,494,798,190
13,2961,266,190,228,76,114,304,152,3013,75
14,2961,3019,37,114,76,33,38,190,75,266
15,2961,722,684,836,608,988,950,912,1102,798
16,2961,684,722,836,608,988,1102,950,1254,1026
17,2961,684,722,608,266,836,494,304,798,342
18,2961,3019,266,190,684,304,228,76,608,722
19,2961,684,722,608,836,988,950,798,912,1102
20,2961,3019,114,190,37,76,266,33,38,75
21,2961,684,722,608,266,836,494,798,304,342
22,2961,3019,190,266,76,114,37,228,152,75
23,2961,684,722,608,266,836,494,798,304,950
24,2961,266,190,304,684,228,608,3019,342,722
25,2961,684,266,722,608,304,190,494,342,836
26,2961,722,684,836,1102,988,1254,950,1026,912
27,2961,684,722,608,266,836,494,304,798,342
28,2961,266,684,722,608,190,304,342,228,494
29,2961,266,684,722,608,304,190,494,342,228
30,2961,266,190,228,304,76,3013,152,114,75
31,2961,266,190,684,304,3019,228,608,722,342
32,2961,722,684,836,608,988,950,912,1102,798
33,2961,266,684,722,190,608,304,228,342,494
34,2961,3019,190,266,114,76,37,228,152,75
35,2961,266,684,722,190,608,304,342,228,494
36,2961,266,684,190,722,608,304,3019,228,342
37,2961,266,190,684,304,722,608,3019,228,342
38,2961,266,684,304,608,722,190,342,228,494
