,twi,Mdr49,knrl,rau,Ama,CG8147,mfas,lok,toc,hkb
,Ilp4,htl,kni,noc,dpn,disco,E(spl)m5-HLH,Btk29A,hb,apt
,Mes2,NetA,Antp,croc,tsh,Esp,run,ImpE2,zen,zen2
,sna,edl,ImpL2,gk,Doc3,D,h,cad,odd,peb
,Cyp310a1,tkv,Traf4,CG10479,MESR3,danr,ken,rho,oc,Dfd
,zfh1,aay,Nek2,brk,Doc2,ftz,gt,prd,eve,cnc
1,2908,2923,2905,2903,2893,2897,2920,2913,2925,2892
2,2908,2905,2923,2893,2897,2903,2889,2892,2920,2925
3,4,6,2,3019,11,9,33,3,2974,14
4,2908,2923,2903,2920,2905,2897,2913,2925,2893,2906
5,2851,2891,2890,2852,2889,2853,2854,2813,2894,2892
6,3019,33,16,6,2937,4,11,14,30,36
7,2893,2908,2892,2889,2897,2923,2903,2899,2890,2894
8,2893,2897,2903,2923,2892,2908,2899,2889,2913,2906
9,2925,2924,2920,2921,2926,2923,2916,2913,2905,2922
10,2893,2897,2903,2923,2908,2892,2913,2899,2889,2906
11,2890,2889,2891,2892,2851,2894,2893,2895,2896,2854
12,2908,2905,2889,2893,2892,2923,2897,2890,2903,2851
13,2905,2908,2923,2925,2920,2903,2913,2926,2921,2924
14,3019,33,6,4,16,11,14,2937,2,9
15,2893,2892,2889,2897,2903,2899,2908,2923,2896,2894
16,33,3019,16,6,11,2937,14,4,30,22
17,2851,2891,2890,2852,2853,2889,2854,2813,2894,2892
18,2905,2925,2908,2920,2923,2924,2921,2926,2913,2916
19,2905,2908,2923,2925,2920,2913,2903,2921,2924,2926
20,2923,2920,2925,2913,2908,2903,2897,2921,2905,2906
21,2905,2908,2925,2923,2920,2924,2921,2926,2913,2903
22,2851,2891,2890,2852,2889,2853,2854,2813,2892,2894
23,4,2,6,3,9,2974,11,3019,42,7
24,3019,6,33,4,11,16,2,14,9,2937
25,2893,2897,2903,2923,2908,2892,2913,2899,2889,2906
26,2908,2923,2903,2893,2897,2920,2913,2905,2892,2925
27,2908,2923,2905,2920,2925,2903,2913,2897,2893,2921
28,2851,2890,2891,2889,2892,2894,2853,2852,2854,2893
29,3019,33,6,16,4,11,2937,14,2,30
30,2905,2908,2923,2925,2920,2903,2913,2926,2924,2921
31,2905,2908,2925,2923,2920,2924,2921,2926,2913,2903
32,3019,33,6,16,4,11,14,2937,2,9
33,2908,2905,2889,2893,2892,2923,2890,2897,2903,2891
34,3019,33,16,6,2937,4,11,30,14,36
35,2889,2892,2893,2890,2894,2897,2899,2896,2891,2903
36,2923,2925,2920,2908,2913,2905,2903,2921,2924,2916
37,2889,2892,2890,2893,2894,2891,2896,2899,2897,2895
38,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
39,2851,2891,2890,2852,2889,2853,2854,2813,2894,2892
40,33,3019,16,2937,30,6,11,36,14,22
41,3019,6,4,33,11,16,2,14,9,2937
42,2905,2908,2923,2925,2920,2903,2913,2897,2921,2893
43,4,2,6,3,9,3019,2974,11,33,14
44,2925,2920,2923,2908,2905,2921,2924,2913,2926,2916
45,2925,2905,2908,2920,2923,2924,2921,2926,2913,2916
46,2851,2889,2890,2891,2908,2892,2893,3019,2852,4
47,2908,2889,2892,2890,2893,2851,2891,2905,2897,2894
48,2908,2905,2893,2923,2889,2892,2897,2903,2890,2920
49,3019,33,4,6,2,11,16,14,9,2937
50,2908,2905,2923,2893,2903,2925,2897,2920,2892,2889
51,3019,6,33,4,11,16,14,2,9,2937
52,2893,2897,2903,2923,2892,2899,2908,2913,2889,2906
53,2908,2905,2923,2893,2903,2897,2920,2892,2925,2889
54,2908,2905,2923,2903,2893,2920,2925,2897,2913,2892
55,2889,2890,2892,2891,2894,2893,2896,2895,2851,2899
56,2908,2923,2903,2897,2893,2920,2913,2905,2925,2906
57,2908,2905,2889,2893,2892,2890,2923,2851,2897,2891
58,2851,2891,2890,2889,2852,2853,2854,2894,2892,2813
