"","twi","tsh","ken","brk","srp","oc","Dfd","disco","odd","exex"
"","Doc2","ImpE2","knrl","h","trn","zen2","CG43394","nub","mfas","numb"
"1","132","61","131","134","60","135","100","64","104","67"
"2","2521","882","920","958","844","843","881","919","957","806"
"3","1729","1691","1653","1615","1577","1539","1501","1463","1425","1387"
"4","158","197","196","159","121","157","120","122","84","124"
"5","1437","1816","1778","1854","1740","1702","1664","1626","1588","2962"
"6","1190","1153","1228","1115","1191","1229","1266","1304","1342","2949"
"7","19","796","54","52","51","759","834","872","910","948"
"8","1319","1356","1318","1280","2967","1242","1394","1432","1470","1508"
"9","1141","1179","1103","1065","1027","989","951","913","1217","1255"
"10","10","3019","2976","12","13","15","17","20","23","21"
"11","19","796","54","52","51","759","834","872","910","948"
"12","1167","1129","1205","1091","1053","1015","977","1168","1130","1092"
"13","2952","1683","1645","1607","1569","1531","1684","1646","1608","1570"
"14","2412","2415","2453","2450","2451","2411","2410","2371","2416","2417"
"15","105","138","106","144","108","99","65","142","147","111"
"16","2779","2911","2778","2909","2907","2867","2904","2916","2917","2919"
"17","1325","1327","1365","1287","1289","1403","1441","1479","1517","1249"
"18","1147","1181","1143","1105","1067","1029","1185","1223","1261","1299"
"19","1190","1153","1228","1115","1191","1229","1266","1304","1342","2949"
"20","310","346","347","386","348","385","384","2978","345","424"
"21","1332","1335","1297","1259","2951","1221","1294","1256","1183","1373"
"22","1190","1153","1228","1115","1191","1229","1266","1304","1342","2949"
"23","1669","1707","1745","1783","1821","1859","1897","1935","1973","1631"
"24","2575","2498","2459","2461","2500","2463","2614","2576","2539","2537"
"25","17","20","15","13","12","10","2976","23","21","19"
"26","142","138","65","99","105","106","144","108","147","111"
"27","408","479","478","439","441","401","369","371","442","405"
"28","1227","1229","2992","1189","1265","1303","1341","1379","1417","1228"
"29","2673","2709","2712","2710","2671","2670","2713","2714","2715","2754"
"30","1411","1433","1449","1471","1509","1373","1395","1357","1547","1585"
"31","2974","1325","1287","1249","1211","1363","1401","1439","1477","1515"
"32","2744","805","2745","2784","2743","2705","2785","2787","2825","2826"
"33","2488","291","2526","2449","2954","2486","2447","2484","2445","2483"
"34","1102","1026","1064","1140","1178","1216","1254","988","950","912"
"35","341","413","379","380","416","415","342","453","492","490"
"36","571","611","609","610","572","573","535","574","536","650"
"37","451","489","526","525","563","600","599","636","674","635"
"38","2619","2620","2657","2732","2770","2731","2768","2767","2728","2727"
"39","957","843","881","919","844","882","920","958","806","767"
"40","2589","2243","2282","2551","2590","2591","2592","2593","2594","2552"
"41","2689","2690","2691","2692","2693","2655","2726","2725","2724","2964"
"42","25","27","62","29","69","70","31","107","109","112"
"43","40","55","53","56","58","90","60","61","100","64"
"44","801","648","839","647","3026","878","840","802","765","611"
"45","2171","2170","2132","2131","2169","2208","2209","2172","2210","2055"
"46","1395","1125","1357","1163","1433","1471","1509","1201","1239","1547"
"47","2567","2605","2644","2606","2607","2608","2570","2604","2566","2565"
"48","1187","1193","1225","1231","1149","3007","2936","1073","1035","997"
"49","1470","1472","1510","1432","1394","1508","1546","1584","1622","1660"
"50","609","887","610","849","811","571","925","773","572","535"
"51","2878","2841","2877","2876","2912","2881","2882","2807","2846","2809"
"52","37","114","76","74","35","32","28","26","66","24"
"53","776","957","738","919","881","843","844","882","920","958"
"54","405","437","474","473","472","475","444","3017","514","552"
"55","569","3016","646","684","531","493","532","570","608","494"
"56","135","173","134","132","131","169","168","167","204","203"
"57","1395","817","1357","1433","1471","1509","1547","1585","1623","1661"
"58","2204","2275","2242","2241","2279","2317","2354","2392","2316","2315"
"59","1880","1838","1876","1800","1762","1842","1724","1686","1918","1804"
"60","338","261","298","259","257","294","255","254","216","215"
"61","1140","1178","1216","1102","1064","1254","1026","988","950","912"
"62","688","647","648","3026","3023","649","686","687","689","690"
"63","584","11","14","547","583","622","623","661","662","663"
"64","1539","1578","1501","1463","1540","1502","1464","1425","1577","1615"
"65","464","465","466","426","425","424","385","384","2978","345"
"66","28","32","35","74","37","26","66","24","22","18"
"67","1954","2179","2216","1992","1916","1878","1840","1802","1764","1726"
"68","2589","2243","2282","2551","2590","2591","2592","2593","2594","2552"
"69","1098","1099","1136","1061","1174","1137","1023","985","947","909"
"70","2724","2725","2964","2685","2722","2683","2721","2720","2681","2680"
"71","26","66","24","22","28","32","35","74","37","18"
"72","1437","1816","1778","1854","1740","1702","1664","1626","1588","2962"
"73","326","327","328","366","367","368","331","370","333","334"
"74","1129","1396","1434","1358","1091","1053","1015","977","1472","1510"
"75","1631","1629","1667","1591","1593","1705","1743","1781","1819","1857"
"76","2208","2672","2169","2209","2131","2132","2170","2171","2172","2210"
"77","2689","2690","2691","2692","2693","2655","2726","2725","2724","2964"
"78","1220","1222","1258","1184","1296","1334","1372","1410","3039","1448"
"79","1361","714","1323","1399","1285","1247","1209","1171","2963","1133"
"80","2870","2751","2869","2750","2752","2753","2792","2755","2756","2715"
"81","1811","2041","2003","1849","1887","1773","2079","2118","2156","2194"
"82","2337","2413","2375","2374","2373","2335","2334","2372","2333","2338"
"83","541","579","540","580","543","581","582","545","546","509"
"84","310","346","347","386","348","385","384","2978","345","424"
"85","1745","1783","1821","1859","1897","1707","1669","1935","1973","1631"
"86","1124","1123","1085","1162","1200","1238","1276","1314","1352","1390"
"87","105","138","106","144","108","99","65","142","147","111"
"88","878","879","841","839","801","840","802","765","916","917"
"89","2451","2489","2450","2412","2411","2410","2371","2490","2491","2492"
"90","2619","2620","2657","2732","2770","2731","2768","2767","2728","2727"
"91","19","41","78","77","44","54","52","51","21","23"
"92","375","303","304","340","2935","378","377","376","339","412"
"93","2625","2665","2666","2667","2706","2624","2664","2586","2942","2548"
"94","1821","2182","1783","1745","1859","1897","1707","1669","1935","1973"
"95","1987","1986","1948","1949","1910","1872","2025","2024","2023","2062"
"96","2378","1130","2377","1092","1054","1016","1168","2341","2379","978"
"97","1481","1519","1443","1557","1405","1367","1329","1291","1253","3030"
"98","2556","2557","2595","2555","2596","2597","2939","2599","2558","2594"
"99","2372","2979","2333","2334","2335","2373","2374","2328","2289","2375"
"100","1631","1629","1667","1591","1593","1705","1743","1781","1819","1857"
"101","2567","2605","2644","2606","2607","2608","2570","2604","2566","2565"
"102","1325","1327","1365","1287","1289","1403","1441","1479","1517","1249"
"103","1227","1229","2992","1189","1265","1303","1341","1379","1417","1228"
"104","1723","2928","1761","48","1799","1837","45","82","50","1875"
"105","69","28","32","35","29","74","27","25","62","37"
"106","1190","1153","1228","1115","1191","1229","1266","1304","1342","2949"
"107","132","61","131","134","60","135","100","64","104","67"
"108","1593","2989","1632","1631","1670","2944","1555","1517","1479","1441"
"109","467","503","502","468","504","463","500","466","465","464"
"110","1480","1482","1442","1404","1366","1518","1556","1520","1328","1444"
"111","2952","1745","1783","1821","1684","1646","1608","1570","1532","1494"
"112","2282","1677","2243","1639","1601","1563","1525","1715","1753","1487"
"113","1326","1288","1364","1402","1440","1478","1516","1554","1250","1212"
"114","401","476","439","478","479","441","477","515","516","517"
"115","1623","1625","1587","1663","1661","1699","1737","2945","1585","1547"
"116","1102","1026","1064","1140","1178","1216","1254","988","950","912"
"117","1338","1339","1300","1377","1376","1415","1453","3021","1491","1529"
"118","2552","2553","2515","2590","2591","2589","2551","2592","2593","2594"
"119","1338","1339","1300","1377","1376","1415","1453","3021","1491","1529"
"120","2207","2244","2246","2247","2284","2322","2360","2398","2436","2285"
"121","2967","1315","1277","1353","1391","1242","1280","1318","1356","1394"
"122","1481","1519","1443","1557","1405","1367","1329","1291","1253","3030"
"123","2381","2458","2380","2496","2421","2460","2457","2419","2456","2455"
"124","1129","1147","1185","1223","1261","1299","2988","1337","1375","1413"
"125","1165","1166","2977","1128","1090","1052","1014","976","1127","1089"
