"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","SP5L","TA","OSR1","WNT11"
"","CHD","SNAI1A","ADMP","MIXL1","BMP4","BMP7A","NOTO","TBX16","CST3","WNT8A"
10,46,38,45,54,47,48,30,52,61,55
30,33,34,41,49,25,29,57,17,37,9
37,27,29,19,28,20,11,30,22,21,14
40,53,61,54,55,62,45,56,51,63,37
41,28,12,27,36,20,3,33,19,4,30
47,35,30,22,33,12,41,14,3,28,4
50,23,24,31,15,32,16,22,7,39,30
79,12,3,4,18,10,26,33,2,17,19
97,33,49,3,34,57,12,41,10,4,18
123,33,34,49,35,57,26,41,18,25,60
137,38,54,61,30,62,55,22,56,39,14
156,43,51,35,44,41,49,36,46,57,27
160,60,61,53,59,54,62,50,58,52,45
167,21,13,29,22,30,5,14,12,6,3
173,15,16,7,8,23,24,14,31,6,32
183,22,14,30,21,13,6,29,5,23,24
184,33,41,25,34,17,9,1,26,18,10
199,39,47,40,48,31,32,54,55,23,56
202,51,49,43,59,57,52,50,60,58,46
203,23,15,24,39,40,16,31,32,7,8
210,37,29,38,21,30,13,22,39,34,5
225,52,50,42,58,59,49,61,57,55,51
229,18,17,26,25,9,10,1,2,19,27
230,27,28,19,20,26,11,18,10,25,17
233,21,13,22,30,14,5,29,6,23,24
248,45,37,47,29,48,53,46,55,56,21
262,35,27,33,36,28,19,59,20,34,43
263,21,13,12,18,5,3,26,4,10,2
271,49,50,57,58,41,42,51,33,34,59
289,26,38,30,18,22,25,10,14,17,9
308,47,48,46,45,55,56,39,38,40,54
320,36,35,44,34,12,37,43,28,51,27
321,49,33,57,34,50,25,26,58,17,9
326,12,28,27,20,19,3,4,21,11,13
334,15,16,7,8,23,24,31,32,14,6
347,41,49,57,33,42,34,43,50,53,58
361,47,48,39,55,40,56,54,31,32,63
388,22,30,21,14,13,12,6,29,20,19
406,34,50,35,42,58,60,33,59,43,36
410,33,34,25,26,17,52,9,18,1,35
417,61,46,54,62,47,38,48,44,30,26
422,37,29,45,38,21,35,13,30,33,53
444,23,24,15,16,31,32,22,7,14,8
445,35,27,28,36,19,20,11,29,12,37
446,15,16,23,24,7,8,14,31,22,32
458,26,18,25,17,9,10,1,2,49,57
460,45,51,53,61,37,46,62,29,59,54
469,30,38,22,26,18,14,10,25,29,6
498,44,36,46,27,28,43,19,38,45,20
501,10,18,2,26,9,17,1,25,11,19
508,49,33,57,25,34,17,9,1,26,18
515,27,28,19,20,26,11,35,33,18,10
520,26,18,10,25,17,9,1,2,29,27
522,38,30,26,18,22,25,10,14,17,9
538,23,15,24,16,31,7,32,22,8,14
540,35,27,36,51,28,19,20,49,11,57
555,63,59,62,64,55,51,56,61,52,50
556,59,52,60,61,51,45,53,37,62,46
576,27,28,19,51,20,44,11,49,26,57
605,23,24,39,47,15,40,48,16,31,46
616,15,16,7,8,23,24,13,31,32,5
619,54,53,30,46,22,60,21,14,45,6
622,15,16,23,24,7,8,31,32,39,14
626,14,22,6,15,16,30,23,24,7,8
639,19,27,20,28,11,36,12,18,3,26
657,18,26,10,2,17,12,25,9,21,3
658,51,50,59,43,58,52,61,53,60,44
662,41,33,42,34,25,17,43,9,26,1
666,26,18,25,17,10,9,1,27,2,19
686,23,24,15,16,47,31,48,32,7,8
699,35,34,39,43,40,36,37,15,16,33
706,55,56,63,64,61,62,54,53,60,46
711,15,16,23,24,7,8,31,32,14,39
717,49,57,50,41,58,60,42,51,33,34
762,50,58,51,49,60,45,57,44,53,61
773,54,62,53,61,55,56,63,46,59,64
775,14,6,22,15,16,30,7,23,8,24
776,42,41,33,49,34,57,43,26,35,45
786,30,22,38,14,39,21,40,31,6,13
787,17,25,9,18,26,1,10,2,19,27
792,62,61,54,53,63,55,64,52,59,60
794,35,27,33,36,28,19,20,34,11,49
810,23,39,40,24,37,15,38,16,31,45
816,10,18,2,9,17,26,1,25,33,11
825,29,39,40,23,24,37,31,47,48,15
830,12,4,20,3,11,19,13,28,21,27
