"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","WNT11","TA","OSR1","SP5L"
"","MIXL1","BMP4","SNAI1A","NOTO","CHD","ADMP","TBX16","FOXD5","BMP7A","CST3"
2,27,28,19,20,11,26,18,12,10,3
8,49,33,57,22,18,14,10,26,30,2
31,33,38,30,22,14,29,39,6,40,31
32,25,17,9,26,18,1,10,33,2,27
43,17,25,18,26,9,1,10,33,2,19
48,30,29,22,45,42,31,14,32,6,37
74,23,24,15,31,16,32,22,14,7,30
76,49,50,57,58,25,26,17,62,9,1
78,15,16,23,24,47,7,8,48,31,32
88,49,57,42,25,34,17,9,26,1,18
98,38,37,46,54,53,61,29,62,55,45
112,33,34,26,25,17,18,9,1,41,10
117,60,52,59,51,50,49,43,57,58,44
118,30,22,39,40,38,14,31,32,23,6
124,49,57,50,58,51,61,44,42,46,36
127,33,26,18,25,17,10,9,1,41,2
150,42,41,44,34,26,36,43,25,17,18
153,60,50,61,58,59,53,52,49,51,62
181,16,15,8,7,24,23,31,32,14,6
198,30,22,31,32,14,23,24,6,21,15
208,21,13,29,22,5,30,14,23,24,33
215,62,61,60,63,51,54,53,64,59,46
218,27,51,28,19,59,20,43,49,11,57
224,33,34,41,42,35,26,25,53,18,54
276,39,47,30,40,48,46,22,31,32,14
280,60,59,49,57,50,61,58,52,53,51
290,12,28,20,27,3,19,4,30,11,22
296,51,60,61,49,59,62,43,57,54,52
313,18,33,26,10,17,25,9,2,1,19
327,26,18,25,17,9,10,1,2,27,19
328,33,25,17,9,1,26,18,34,10,49
354,33,25,26,17,18,9,1,10,41,2
369,19,29,27,20,28,11,21,13,22,30
374,34,35,33,36,42,38,49,54,59,57
378,61,62,60,54,53,63,55,59,64,56
381,51,50,60,58,59,43,52,49,57,44
386,62,61,54,63,55,64,53,56,60,59
416,49,50,57,58,61,60,51,42,59,62
423,21,13,29,5,18,26,10,22,2,17
425,62,54,60,61,53,55,63,56,64,52
437,26,18,10,25,17,27,9,28,19,1
440,49,33,26,57,34,18,25,17,9,10
442,41,33,42,25,59,34,17,9,26,1
443,33,41,25,34,17,26,9,1,18,10
453,33,26,18,25,17,10,9,1,2,41
470,15,16,7,23,8,24,13,31,5,32
494,61,46,54,62,47,48,38,55,30,56
507,60,59,51,61,53,52,50,58,62,54
509,51,54,43,61,59,62,49,52,57,55
514,30,22,31,32,14,23,24,6,21,15
524,27,35,28,33,19,20,36,11,26,12
526,26,33,34,18,25,17,10,9,1,41
544,15,16,23,39,7,40,24,8,14,22
559,60,59,61,53,49,57,51,52,62,50
565,41,33,42,52,25,59,34,17,9,1
570,26,33,18,34,10,25,17,9,1,27
571,15,39,16,38,40,7,8,23,47,24
573,21,30,41,45,13,29,22,46,37,5
574,26,33,18,25,17,10,9,1,27,41
577,41,42,49,57,44,33,34,26,36,25
578,34,26,36,18,25,17,9,10,33,1
582,22,14,21,30,13,6,23,29,5,15
595,16,15,7,8,23,47,24,48,31,32
620,33,25,17,9,1,26,18,10,41,2
624,59,52,50,58,60,51,42,49,57,43
625,49,25,57,17,36,9,1,26,18,34
629,22,39,33,40,14,54,30,21,23,24
637,43,51,35,44,36,49,57,42,50,12
643,35,21,34,13,43,37,22,5,52,30
644,24,23,16,39,15,47,40,48,31,32
651,62,61,54,55,56,63,53,64,46,60
652,18,26,10,2,17,12,25,9,21,3
660,22,30,21,14,13,23,6,31,24,5
668,16,39,15,40,23,24,7,47,8,48
713,49,50,57,58,41,51,42,33,34,59
743,34,37,50,35,42,58,49,45,36,57
767,23,24,39,15,40,31,16,21,32,13
771,46,51,38,47,62,48,49,54,59,30
780,33,25,17,9,26,18,1,10,41,2
789,21,13,29,12,5,37,22,30,3,4
790,15,7,16,8,23,24,13,31,5,32
791,60,62,61,53,49,57,59,63,52,64
811,46,38,47,30,48,45,39,22,29,40
824,60,59,51,61,52,53,50,58,62,54
838,22,14,30,23,24,6,15,31,16,32
