"","EVE1","SOX3","BAMBIA","VED","HES6","VOX","SP5L","OSR1","WNT11","TA"
"","CHD","SNAI1A","BMP4","NOTO","MIXL1","FOXD5","TBX16","ADMP","WNT8A","BMP7A"
14,23,24,39,15,40,16,31,32,22,7
15,54,61,55,53,60,56,59,62,42,49
21,42,50,43,34,51,35,58,44,26,41
39,60,59,50,52,58,51,61,42,53,43
42,18,10,26,2,17,9,25,19,1,33
57,18,10,26,2,17,9,25,1,12,3
62,33,26,18,25,17,9,10,1,2,27
66,44,42,50,58,36,41,43,46,34,26
68,45,37,38,46,30,47,42,48,29,22
99,36,27,28,35,19,20,44,38,37,11
109,26,18,10,25,17,27,9,28,19,1
129,21,13,12,33,5,3,18,4,26,10
140,43,44,60,35,41,27,51,28,36,19
142,33,41,25,17,26,34,9,1,18,10
147,61,60,59,62,52,54,53,51,55,56
171,25,17,9,1,26,18,10,33,2,27
175,43,53,52,54,35,27,44,60,55,28
188,61,60,59,52,54,62,53,55,51,56
189,51,60,59,61,52,62,43,49,57,44
192,21,13,22,30,5,14,29,18,26,6
228,37,29,21,38,30,26,13,18,45,22
237,49,34,33,57,35,42,41,38,50,59
243,22,14,21,30,13,6,12,5,29,4
249,49,57,60,59,50,58,62,51,52,61
250,15,16,23,39,24,40,7,8,31,14
253,49,57,50,41,58,51,61,33,42,46
256,60,61,59,53,50,52,58,62,51,54
281,33,41,25,17,34,26,9,1,18,10
300,60,62,59,61,52,53,51,63,54,64
307,30,22,21,14,29,13,31,32,6,45
311,26,18,29,10,25,17,9,1,33,2
312,15,16,23,39,24,40,7,8,31,32
324,26,18,25,17,9,10,1,2,27,19
332,21,13,29,18,5,26,10,2,12,17
353,30,22,31,46,32,14,23,24,6,38
355,33,26,25,17,18,9,1,10,41,2
364,49,50,57,58,51,42,59,43,34,52
379,48,47,40,39,31,32,23,46,24,55
387,26,25,44,18,17,9,27,1,10,28
428,26,41,38,46,18,25,17,10,9,29
431,36,35,27,28,44,19,37,20,11,34
436,53,54,55,46,56,43,61,62,41,52
439,25,17,26,9,1,18,10,44,2,27
448,22,30,14,21,13,29,6,12,5,20
457,42,41,44,34,43,36,26,25,17,18
487,43,51,35,52,44,59,27,28,60,19
492,35,36,43,34,37,27,44,28,19,20
502,26,25,17,18,9,1,10,2,30,27
503,18,26,10,33,34,2,17,12,25,9
512,17,9,25,1,18,10,26,2,33,29
517,60,61,62,59,51,49,57,54,46,55
542,21,43,45,13,37,41,39,5,40,22
557,49,42,57,50,59,58,41,43,34,52
567,31,32,23,24,30,15,22,16,47,29
568,22,14,21,30,23,13,6,24,15,16
581,39,23,40,31,24,32,47,48,15,16
585,30,47,48,22,62,55,56,29,45,46
589,49,57,41,50,58,33,42,51,25,59
597,18,10,26,2,17,9,25,1,19,33
606,51,43,59,52,49,35,57,60,44,27
609,41,42,33,34,44,26,36,25,17,43
611,12,28,27,20,3,19,4,41,21,11
634,60,59,52,51,53,61,44,27,62,28
655,63,64,62,55,61,56,54,60,53,50
670,39,40,31,33,32,41,23,24,38,26
674,15,7,16,8,23,24,14,31,32,6
676,15,16,7,8,23,24,14,31,6,32
678,47,46,48,45,38,37,51,39,40,43
688,21,39,40,13,22,30,5,41,14,23
714,43,59,52,60,51,44,49,35,42,57
725,61,62,60,59,63,64,49,55,53,51
728,21,13,29,22,30,33,5,14,18,26
729,28,27,19,20,26,11,18,10,25,36
731,13,21,12,5,3,4,10,18,2,26
763,22,30,21,14,13,23,6,31,24,5
774,61,62,60,54,53,59,55,63,56,51
778,21,13,22,29,5,14,30,12,6,20
783,27,28,19,20,36,11,26,12,18,10
796,45,37,44,59,47,49,46,57,48,53
800,25,17,26,9,1,18,49,60,57,10
802,15,23,16,24,7,31,14,22,8,32
815,15,16,23,24,7,8,31,14,32,22
819,15,16,7,8,23,24,31,12,32,14
821,22,14,30,23,24,6,15,16,31,32
833,43,35,36,44,41,42,12,34,3,27
