"","EVE1","SOX3","VED","BAMBIA","VOX","HES6","WNT11","SP5L","OSR1","MIXL1"
"","SNAI1A","ADMP","FOXD5","BMP4","TA","CHD","NOTO","BMP7A","TBX16","CST3"
6,38,39,47,40,48,23,24,15,16,55
13,23,15,24,16,31,32,22,14,7,8
18,26,25,18,17,9,27,1,10,28,2
61,15,39,33,16,40,23,24,41,7,55
70,26,33,34,18,25,17,10,9,1,42
80,23,39,24,40,15,16,47,31,48,32
81,55,63,56,61,64,62,60,54,53,59
144,51,47,60,48,44,39,49,57,40,27
154,59,52,61,60,50,58,54,51,62,55
169,33,41,26,25,34,17,18,9,1,10
178,60,61,53,59,62,50,58,54,52,51
185,27,28,19,20,43,11,26,12,18,3
186,12,19,20,27,3,28,4,11,35,18
190,22,30,14,21,33,6,13,34,37,41
196,15,16,7,8,23,24,14,31,32,6
207,12,20,19,3,28,27,4,11,22,30
212,27,28,19,20,26,18,11,10,25,36
220,61,60,54,62,59,52,49,55,57,63
240,60,49,53,61,59,57,50,58,52,62
241,15,16,7,8,39,40,23,24,31,14
244,49,42,57,50,41,58,34,43,60,35
266,27,19,28,20,11,12,33,26,18,3
273,3,12,33,10,4,18,2,26,9,17
274,29,38,30,22,37,21,14,26,39,13
285,29,37,21,30,38,13,26,22,18,5
299,49,42,57,53,50,59,58,43,41,34
303,39,38,40,31,32,47,23,48,24,30
304,60,59,61,51,52,58,62,50,54,53
309,15,16,23,24,7,8,31,14,32,22
314,12,3,11,4,19,20,27,10,28,18
316,15,16,39,40,23,24,7,47,8,48
323,27,28,19,20,11,12,26,18,3,10
339,17,25,9,18,26,1,10,2,19,27
351,25,17,9,26,1,18,10,33,2,27
357,41,33,42,34,25,17,26,9,43,1
359,25,26,17,9,18,1,33,10,2,27
362,23,24,31,32,15,16,22,30,7,14
365,25,17,26,9,18,1,10,2,27,19
370,51,59,52,62,61,60,54,63,46,50
382,33,25,26,17,9,18,1,10,2,27
393,33,25,17,9,1,26,34,18,10,41
404,60,49,59,50,57,58,62,52,54,51
455,34,37,38,29,45,33,30,22,35,21
466,61,53,60,50,62,58,59,54,51,52
472,46,29,30,62,38,22,47,21,48,45
479,18,26,10,2,17,21,25,9,13,12
485,62,63,64,54,61,55,56,53,60,50
500,53,45,54,42,43,55,37,34,56,35
511,23,31,24,32,47,48,15,16,29,21
516,53,43,49,57,51,35,60,44,42,54
521,27,28,19,20,36,11,12,26,18,3
523,60,50,59,58,61,51,53,49,52,57
527,49,57,50,58,42,51,60,34,43,59
536,61,53,62,63,54,64,59,55,45,56
537,15,16,23,24,7,8,31,13,32,21
558,33,41,25,17,9,34,26,1,18,10
566,13,21,5,14,22,29,6,15,16,30
583,14,22,13,6,21,30,15,5,23,16
596,51,43,50,42,60,44,58,35,59,53
608,26,18,25,17,10,9,1,27,2,19
613,51,59,49,43,57,52,44,60,35,27
631,21,13,29,5,22,49,30,33,57,14
647,15,16,23,24,7,47,8,48,31,32
654,33,34,26,18,25,17,9,1,10,41
682,43,41,54,51,60,53,44,35,61,33
687,13,21,14,5,22,37,6,30,29,35
690,15,16,39,7,40,8,23,47,24,48
705,60,59,61,51,52,62,54,50,58,53
718,39,23,40,31,24,32,47,48,15,22
735,27,19,28,20,11,12,26,18,3,10
740,15,16,7,8,23,24,13,31,5,32
745,21,13,12,5,18,3,26,4,10,2
752,14,22,12,6,3,10,4,30,18,2
753,44,36,53,43,60,45,59,54,52,37
755,47,48,46,54,38,55,39,40,56,53
757,51,60,49,59,57,50,58,43,61,52
758,33,49,57,25,17,9,1,34,26,18
759,47,49,46,48,57,39,42,38,40,55
782,55,56,54,47,29,53,63,48,46,64
788,41,26,39,12,18,40,3,25,4,10
798,52,50,42,58,63,59,51,64,49,43
805,23,39,24,40,31,32,15,16,38,7
812,30,22,33,21,35,14,37,13,6,38
828,51,44,36,46,59,50,43,58,38,52
841,15,16,7,8,23,24,31,13,32,5
