"","EVE1","SOX3","BAMBIA","VED","HES6","VOX","TA","OSR1","SP5L","WNT11"
"","MIXL1","CHD","SNAI1A","BMP4","ADMP","TBX16","NOTO","BMP7A","FOXD5","CST3"
1,15,39,23,40,16,24,47,7,48,8
9,33,49,57,25,59,17,9,34,26,1
24,61,62,60,54,53,59,50,55,58,63
25,60,59,52,51,49,57,44,50,58,43
28,22,30,21,14,13,29,23,6,24,5
55,51,60,49,59,57,50,58,43,61,52
58,26,18,25,17,10,9,1,33,2,29
69,39,38,40,31,47,32,48,23,24,37
83,60,51,59,52,49,61,57,43,53,50
87,60,59,51,52,50,58,43,61,49,53
92,19,27,20,11,28,12,18,26,3,10
94,47,39,48,40,31,32,23,24,46,55
104,27,19,28,20,11,12,26,18,3,10
106,21,13,23,24,5,15,31,16,32,22
110,25,26,17,9,1,18,10,27,2,19
113,33,29,37,34,21,26,18,53,25,13
149,35,27,28,19,36,20,33,11,37,29
152,23,24,31,32,15,16,29,20,7,28
157,18,33,26,10,17,25,9,2,1,19
161,25,17,9,1,26,18,10,2,27,19
187,13,3,5,12,21,10,4,2,18,9
217,50,44,51,58,36,45,42,59,37,43
255,43,44,35,36,51,45,37,42,53,46
261,23,24,31,32,47,63,55,64,48,15
269,33,49,57,25,17,9,1,26,34,61
283,51,43,59,52,35,49,44,57,60,27
298,33,41,26,18,12,10,3,25,17,27
305,25,26,17,9,18,1,10,33,2,27
306,25,17,9,1,26,18,10,2,27,19
336,62,61,54,53,60,55,63,56,59,51
340,50,58,42,53,51,49,43,57,34,60
352,15,16,23,24,7,8,31,14,32,22
358,17,25,9,1,18,26,10,2,19,27
375,26,38,18,10,25,29,17,30,9,2
390,23,31,24,47,32,48,15,16,39,7
396,18,26,17,25,9,10,1,2,19,27
397,53,54,55,56,61,62,45,41,33,63
401,60,61,51,54,62,55,56,53,59,63
419,43,35,44,42,36,34,41,52,51,27
424,61,55,62,56,54,63,53,64,46,60
429,33,41,25,17,9,34,26,1,18,10
450,29,26,18,10,25,17,9,21,2,1
454,55,56,63,47,64,48,46,62,61,54
467,27,28,19,20,11,26,12,18,10,3
474,37,34,33,41,29,42,35,45,38,36
478,41,33,42,34,25,17,26,9,1,43
483,49,57,50,58,41,33,42,51,59,34
488,38,30,22,37,36,26,14,34,39,18
493,15,16,23,24,7,8,14,31,22,32
528,52,59,51,60,43,53,61,44,35,62
534,23,15,24,16,31,7,32,22,8,14
552,21,13,12,20,5,19,3,28,4,27
560,61,53,60,62,54,55,63,59,52,56
562,21,37,13,30,22,29,5,14,35,6
563,30,22,14,39,46,45,38,40,6,31
586,41,33,42,49,57,25,17,34,9,1
598,53,59,43,51,60,49,52,57,35,44
599,33,49,34,26,57,25,18,17,9,1
600,10,2,18,26,9,1,3,17,12,25
604,27,19,28,20,11,26,12,18,10,3
607,18,10,26,2,12,17,9,25,20,3
621,12,3,4,11,19,20,10,27,28,2
663,15,16,7,8,23,24,13,31,5,32
665,31,39,47,40,32,48,23,24,15,16
673,23,24,39,40,31,32,15,16,22,7
680,18,10,26,2,17,12,9,25,3,19
694,12,4,39,15,40,23,3,16,24,7
707,27,19,28,20,11,36,26,12,18,3
712,15,16,7,8,23,24,31,13,32,5
723,29,37,27,21,45,28,19,13,20,38
754,23,15,24,39,16,40,31,22,32,14
760,55,39,56,54,40,53,38,61,23,63
766,62,61,54,63,60,64,53,46,50,55
795,54,62,46,61,55,56,47,63,48,53
797,12,4,13,3,21,14,5,20,11,22
799,33,25,41,17,9,26,18,1,34,10
801,44,43,36,12,41,52,27,42,3,28
809,38,46,30,45,22,54,37,14,39,47
813,60,59,52,51,49,61,57,53,50,62
834,49,57,25,17,9,26,1,18,10,2
837,27,28,44,19,36,20,41,11,43,26
845,12,20,19,3,27,4,28,11,18,26
846,18,26,10,17,25,9,1,2,19,27
851,41,46,54,47,33,38,48,30,42,55
