"","EVE1","SOX3","VED","BAMBIA","VOX","HES6","OSR1","SP5L","TA","WNT11"
"","ADMP","MIXL1","CHD","SNAI1A","BMP4","TBX16","NOTO","FOXD5","BMP7A","AXIN2"
11,35,27,33,19,28,20,36,11,34,26
17,15,23,16,24,7,8,31,14,32,22
19,17,25,9,1,18,26,10,33,2,19
22,25,17,9,26,18,1,10,2,27,19
27,22,30,14,23,31,24,6,32,15,16
29,18,33,17,9,25,10,26,1,2,41
46,34,49,57,33,35,42,50,41,26,43
52,50,59,58,34,51,49,60,35,57,42
59,25,17,26,9,18,1,10,2,27,33
60,25,17,26,9,1,18,49,10,57,2
65,41,42,33,49,59,34,57,43,25,26
71,41,42,33,34,43,26,25,17,18,9
93,52,51,61,59,60,35,50,36,54,53
96,15,16,23,24,7,8,14,31,22,32
100,46,38,54,47,48,30,55,56,39,40
116,49,57,50,34,58,33,51,42,35,60
134,34,33,49,35,42,57,26,25,36,17
135,22,30,3,21,14,13,18,26,6,10
148,22,30,14,39,6,21,40,33,34,38
151,47,48,39,55,56,40,61,31,32,63
176,27,33,35,19,28,41,11,20,36,26
177,36,44,42,41,12,28,20,4,26,49
191,22,30,21,14,13,29,6,23,31,5
193,47,48,55,39,56,40,31,63,32,64
195,33,41,34,26,25,18,17,9,1,10
221,22,14,30,23,24,6,15,16,31,32
223,33,25,17,9,1,26,18,10,2,27
231,51,60,59,43,49,35,52,57,27,50
234,53,54,61,60,55,52,56,63,59,64
238,30,22,14,38,39,36,6,40,12,31
264,50,59,58,51,60,52,49,57,42,44
272,35,27,19,34,33,26,18,11,43,25
278,34,33,35,42,41,26,18,25,43,17
287,26,34,18,33,10,25,17,9,36,2
292,41,53,33,42,54,34,43,55,25,56
317,7,15,8,16,23,24,31,6,32,3
330,21,29,13,30,45,22,46,5,37,14
335,54,53,61,55,62,56,46,45,60,59
343,59,52,60,51,44,61,53,45,43,36
348,27,19,28,43,20,26,11,41,18,25
349,51,43,59,35,49,27,60,57,52,44
380,25,17,26,9,1,18,10,2,27,19
399,18,33,26,10,17,25,9,1,2,41
408,26,18,25,17,10,9,1,33,27,2
434,52,44,49,28,36,57,50,20,58,51
468,3,11,19,12,27,4,10,18,2,26
473,33,18,26,41,10,3,34,17,25,9
491,23,24,31,32,15,16,21,13,22,7
499,35,43,34,33,42,41,27,38,54,52
525,50,58,49,51,44,57,60,52,62,61
530,23,24,39,15,40,31,16,32,7,8
532,11,3,19,10,27,18,2,26,12,9
535,15,16,23,39,24,40,7,8,31,14
539,27,19,26,11,3,18,10,25,17,2
550,15,16,23,24,7,8,31,14,32,22
564,15,16,23,24,7,8,14,31,22,32
575,18,26,17,25,9,1,10,33,2,19
588,55,63,56,64,62,54,61,31,32,47
591,15,16,23,24,7,8,31,14,32,22
635,51,60,59,49,43,61,57,35,52,62
636,36,35,52,37,51,44,28,38,59,43
645,7,15,8,16,23,24,31,32,6,14
671,15,23,16,24,7,31,8,14,32,22
672,12,19,27,3,20,11,28,4,21,13
685,33,41,25,17,9,1,34,26,18,10
696,51,50,59,58,43,60,49,52,61,57
708,15,23,16,24,7,8,31,32,14,22
720,51,49,57,52,44,59,50,36,58,43
721,26,25,18,17,9,1,10,2,27,19
737,43,35,51,27,49,57,42,19,44,28
738,22,30,21,14,13,29,6,23,24,5
747,63,64,55,56,62,50,58,51,31,32
768,15,16,7,8,23,24,31,14,32,6
777,7,8,15,16,23,24,31,32,6,14
785,12,21,4,13,18,26,10,5,2,17
803,28,26,20,18,25,12,17,9,4,10
804,22,30,14,23,24,31,6,15,32,16
806,55,56,47,48,63,54,39,64,40,46
807,19,27,21,3,11,12,13,22,4,30
808,30,22,21,14,31,13,23,6,32,24
817,61,60,62,55,59,56,63,54,53,64
826,41,47,33,48,39,49,57,40,31,42
836,15,16,23,7,24,8,31,14,32,22
840,21,13,22,37,30,29,14,5,6,39
844,20,19,28,27,11,12,18,26,4,10
847,15,16,23,24,7,8,31,32,14,39
