"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","SP5L","WNT11","OSR1","SNAI1A"
"","TA","MIXL1","CHD","BMP4","ADMP","TBX16","NOTO","FOXD5","BMP7A","WNT8A"
"","CST3","AXIN2","NDR2","CDX4","SEBOX","APLNRB","FOXD3","VENT","SZL","GATA5"
"","OTX1A","LHX1A","FOXI1","HER1","FGF8A","GATA2A","BMP2B","ID3","FOXB1A","OTX1B"
33,28,36,20,35,52,12,44,27,4,19
54,43,41,27,35,33,42,26,19,20,25
75,21,28,29,20,12,4,13,5,36,19
84,41,46,42,30,38,22,54,43,14,6
86,28,36,41,30,42,20,22,21,12,35
90,31,23,24,32,15,39,16,7,30,21
91,17,18,28,41,25,26,9,1,10,27
95,28,36,27,19,20,35,11,18,29,17
119,41,43,27,53,42,35,29,28,45,21
122,36,42,35,34,22,43,37,14,44,6
133,3,12,4,10,2,9,1,11,18,17
143,10,9,1,2,12,11,4,18,17,28
155,40,23,24,32,15,39,16,7,8,31
162,3,10,2,9,1,12,4,11,13,18
179,18,17,28,26,25,9,27,1,10,19
200,9,10,1,2,11,3,18,17,28,12
206,29,30,38,22,21,40,32,39,23,24
209,30,43,35,22,41,21,42,36,33,14
216,28,27,19,20,11,36,3,18,17,12
236,10,9,1,2,13,11,5,37,18,36
246,33,17,18,25,9,1,26,10,2,27
251,15,16,23,24,7,8,32,30,63,31
254,33,18,17,3,19,10,26,2,9,25
259,27,19,20,11,28,3,36,18,17,12
267,21,28,36,29,20,3,19,27,12,4
284,49,51,57,50,59,43,58,27,19,20
295,33,34,35,17,18,36,25,28,26,9
302,62,61,59,54,63,53,64,51,52,38
310,49,57,50,58,51,42,59,43,46,62
318,44,36,42,43,49,57,45,46,37,30
325,30,21,22,29,14,6,23,24,15,16
346,34,35,42,61,50,59,58,53,36,43
363,51,60,59,49,57,52,33,50,58,34
367,22,14,30,45,6,21,46,32,23,24
377,15,16,23,24,7,8,32,31,30,21
385,15,16,7,8,23,24,32,31,22,21
391,52,59,44,43,60,49,51,57,35,53
392,17,18,25,28,9,26,1,10,2,27
402,30,21,22,14,13,6,5,29,23,40
407,63,64,56,55,61,62,54,53,51,50
412,44,45,30,46,36,28,29,38,22,20
413,49,57,44,36,42,59,50,58,43,52
430,13,5,3,21,12,52,14,4,6,10
461,18,17,26,25,9,19,10,1,2,11
462,21,30,22,29,14,13,6,5,23,37
476,18,17,26,36,25,9,1,10,27,19
477,59,52,60,51,43,49,35,57,50,58
489,28,36,27,19,20,11,35,29,3,18
490,43,35,41,51,44,36,28,27,19,42
496,22,21,13,5,14,18,6,28,36,17
513,51,49,57,59,43,50,58,52,35,41
518,3,11,12,4,19,10,2,9,18,1
533,13,5,20,12,21,4,22,28,14,36
541,19,3,12,11,4,18,17,20,33,27
545,61,62,53,54,45,63,60,64,56,37
546,45,37,29,46,38,22,21,13,14,5
553,49,57,44,42,36,50,43,58,41,45
580,63,64,56,55,61,62,54,53,50,58
587,52,45,44,51,61,53,59,29,46,21
590,36,44,43,49,57,51,35,3,12,42
602,33,34,25,26,35,17,18,9,1,10
617,17,18,25,28,9,26,1,10,27,2
630,13,5,3,12,4,11,20,19,10,2
642,62,61,59,52,54,51,60,55,53,46
646,49,57,43,44,51,50,27,58,42,59
648,30,22,14,21,6,12,4,28,18,36
677,29,28,41,43,27,21,19,20,35,11
692,63,64,56,55,62,61,54,53,60,50
693,59,60,51,52,61,49,57,50,62,58
697,63,64,56,55,62,61,54,53,40,50
698,55,56,63,64,48,61,47,54,62,40
701,46,14,6,30,38,54,22,48,56,47
704,52,62,61,63,53,64,49,44,57,60
710,63,64,62,61,56,55,53,54,59,50
726,41,49,57,51,42,59,50,58,44,43
730,18,17,26,28,25,27,10,9,19,1
734,32,23,24,15,16,31,7,40,8,45
736,15,16,23,24,7,8,32,31,40,22
739,28,36,27,19,20,11,35,43,3,18
741,23,24,15,16,32,7,22,8,31,14
756,42,41,43,33,50,58,34,35,26,25
761,62,61,60,59,53,55,54,63,64,51
770,32,23,24,15,16,7,31,8,40,48
835,33,25,26,27,41,17,18,9,1,10
839,49,57,26,27,25,19,51,33,34,11
