"","EVE1","SOX3","VED","BAMBIA","VOX","HES6","WNT11","OSR1","SP5L","SNAI1A"
"","TA","BMP4","MIXL1","CHD","NOTO","ADMP","BMP7A","FOXD5","TBX16","CST3"
"","SZL","AXIN2","VENT","NDR2","SEBOX","CDX4","WNT8A","LHX1A","FOXD3","APLNRB"
"","OTX1A","GATA5","FOXI1","GATA2A","BMP2B","ID3","HER1","FGF8A","OTX1B","FOXB1A"
5,15,16,23,24,7,8,32,31,40,22
7,15,16,23,24,7,8,32,21,30,31
20,21,29,28,13,5,20,3,19,27,12
35,33,41,18,17,26,27,19,25,10,20
36,12,20,4,18,3,28,17,19,36,26
49,53,52,41,44,36,28,20,61,42,54
53,18,17,33,26,25,9,10,1,19,2
63,63,64,56,55,48,62,47,54,40,39
72,63,64,56,55,62,50,54,58,49,61
89,33,34,18,17,41,26,25,9,1,10
102,23,48,24,32,15,16,7,8,31,47
115,21,35,13,29,5,28,3,36,12,4
120,33,34,18,17,26,19,10,25,9,1
121,15,16,23,24,7,8,32,31,40,48
125,49,57,33,34,35,50,58,17,61,18
128,3,12,18,4,17,26,28,25,10,9
130,62,54,63,64,56,55,61,53,46,30
139,15,16,48,23,24,7,8,32,31,47
145,30,22,40,14,46,6,39,32,23,24
146,36,10,9,1,37,2,35,11,34,13
158,63,64,56,55,62,61,54,50,58,48
159,55,56,45,61,21,54,46,63,64,38
172,59,51,60,50,58,52,61,56,49,57
194,17,18,25,9,1,26,10,2,19,11
226,29,28,21,27,19,20,11,3,13,36
227,15,40,16,7,8,23,24,32,21,39
242,61,53,45,29,37,21,62,49,57,54
258,23,24,15,16,32,7,8,31,22,14
277,36,50,58,52,34,35,44,28,51,42
291,59,60,51,52,50,58,49,57,62,42
301,30,38,56,22,18,17,33,41,42,32
319,61,62,53,54,55,63,64,56,59,60
333,28,27,19,20,35,11,3,12,36,18
337,48,47,40,39,32,23,24,15,16,7
344,15,16,23,7,24,8,32,31,21,40
360,17,18,26,25,9,1,10,27,19,2
366,34,35,54,63,36,64,56,42,55,43
368,61,53,59,60,62,52,54,63,64,56
371,50,58,61,51,62,60,54,63,42,64
372,60,61,59,49,57,52,50,58,62,44
376,17,18,25,28,9,1,26,10,2,27
383,41,42,43,33,49,57,34,35,17,18
394,18,17,26,25,9,10,1,2,19,27
395,33,41,34,25,26,42,35,17,18,43
400,49,57,34,42,50,58,43,33,41,35
409,15,16,23,24,7,8,32,31,22,21
414,15,16,7,8,23,24,32,31,40,39
435,50,58,34,59,49,3,57,36,18,17
438,28,36,27,19,20,29,11,21,3,12
452,43,44,52,60,45,53,48,37,42,35
456,48,47,40,46,63,39,64,38,56,55
459,49,57,50,58,51,34,35,36,42,25
471,22,14,30,6,21,13,29,5,23,24
484,53,55,45,61,54,48,37,56,46,47
495,49,57,50,58,51,42,59,43,52,61
497,49,57,50,58,41,51,42,61,59,53
504,59,44,36,43,60,52,51,35,53,42
506,50,58,59,60,52,49,57,51,42,43
510,15,16,23,24,7,8,32,31,22,40
549,13,5,21,29,14,6,22,30,37,3
594,18,17,26,27,25,19,9,10,1,20
610,23,24,15,16,32,7,8,31,40,39
618,12,4,13,5,28,36,14,41,6,3
627,41,36,44,28,42,20,18,17,43,12
633,15,16,7,8,23,24,32,31,63,22
649,61,62,54,63,64,56,60,51,55,53
667,22,13,21,5,14,30,6,29,23,45
679,30,41,28,18,17,3,22,21,33,12
681,21,13,5,14,6,29,30,22,3,37
683,17,18,25,9,1,26,10,2,19,33
689,21,23,15,24,16,32,7,8,29,31
700,63,55,64,48,56,47,40,62,39,32
715,30,21,22,14,29,6,31,38,18,23
724,43,35,42,36,44,34,41,51,49,28
742,29,21,13,18,28,5,17,26,27,19
744,61,62,60,52,54,53,45,55,59,46
749,12,4,3,11,28,19,20,10,2,9
781,21,29,13,37,5,12,4,14,45,6
793,28,27,19,20,11,3,12,35,36,4
814,41,27,42,26,35,25,34,43,28,49
818,21,13,22,5,29,14,30,6,37,23
823,41,18,17,28,36,26,27,25,19,10
831,18,17,26,25,10,9,19,1,2,11
843,48,47,40,32,23,56,24,39,15,16
849,43,35,41,44,36,28,27,19,51,20
