"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","SP5L","OSR1","WNT11","TA"
"","SNAI1A","MIXL1","BMP4","NOTO","CHD","ADMP","TBX16","FOXD5","CST3","BMP7A"
"","WNT8A","SZL","VENT","AXIN2","CDX4","NDR2","FOXD3","APLNRB","GATA5","LHX1A"
"","SEBOX","OTX1A","GATA2A","HER1","BMP2B","FOXI1","FGF8A","FOXB1A","ID3","OTX1B"
3,59,43,60,52,61,54,56,35,51,44
4,16,40,15,8,7,24,23,32,39,31
16,34,36,35,42,17,18,28,41,44,43
23,29,36,28,21,37,20,13,38,5,45
34,33,9,10,25,1,26,2,27,11,34
38,21,30,22,29,14,13,6,5,37,40
44,54,56,55,46,62,30,38,22,63,64
56,10,9,1,2,11,3,18,29,17,28
64,19,3,27,20,12,11,4,18,28,36
82,42,41,34,35,43,36,21,33,30,37
108,21,13,29,5,30,31,53,55,22,45
111,59,43,52,49,51,57,35,44,36,60
114,42,41,43,33,34,35,44,36,17,18
126,17,18,28,25,36,9,1,26,10,2
131,49,51,57,59,50,58,43,61,52,35
138,61,62,54,63,64,56,55,13,53,33
163,17,18,25,28,9,1,26,10,2,27
164,40,48,39,15,16,47,23,7,24,8
165,44,36,41,28,43,27,19,51,20,35
174,12,17,4,18,36,28,25,26,9,1
201,18,17,26,25,10,9,1,19,2,33
204,21,30,22,14,29,6,13,23,5,24
205,3,12,4,11,19,10,2,9,18,1
213,53,41,61,54,42,63,64,43,56,29
222,47,31,55,39,32,23,24,15,16,56
232,44,36,45,51,52,59,28,43,60,49
252,23,15,24,16,32,7,8,14,6,31
265,45,61,37,46,62,38,53,55,54,63
275,41,49,57,42,59,50,58,43,61,33
282,26,25,27,33,41,34,35,18,17,28
286,17,18,33,25,26,9,1,10,2,27
288,9,1,10,2,49,57,11,34,35,3
293,29,18,21,17,28,13,26,5,30,25
294,60,52,62,61,54,59,49,57,55,50
297,49,18,57,28,36,17,27,3,26,19
329,21,30,22,38,29,14,41,6,45,46
341,23,24,15,16,32,7,8,31,21,40
342,50,58,51,42,59,43,52,49,57,34
345,60,51,59,43,49,57,52,61,35,53
356,40,15,16,48,23,24,7,8,32,39
373,18,17,3,12,19,4,26,10,2,25
384,44,28,41,20,36,17,18,45,12,26
389,23,24,15,16,32,7,8,31,48,40
398,28,36,27,19,59,20,11,3,52,12
418,41,43,49,57,35,51,42,3,50,59
420,36,21,42,35,41,34,49,37,57,28
426,51,50,58,59,43,27,49,35,57,42
432,9,10,1,2,11,3,12,18,4,17
433,43,42,35,11,41,36,44,3,27,12
441,60,52,44,61,59,53,51,45,50,58
449,37,44,36,48,46,27,19,45,20,49
451,49,57,17,18,50,58,25,26,9,1
463,25,26,27,33,41,17,18,49,57,9
464,60,59,54,56,55,52,62,61,53,51
482,61,62,60,54,52,53,59,55,63,64
505,28,27,19,20,43,11,41,3,35,12
519,61,54,53,59,62,55,51,60,56,52
529,60,61,53,59,49,57,62,52,54,63
547,15,16,23,7,24,8,32,30,31,22
548,49,57,50,58,34,35,36,51,42,59
569,49,57,35,34,59,43,51,50,33,58
579,28,36,20,42,41,35,34,43,18,17
592,43,35,51,49,44,57,36,42,59,50
603,60,52,59,49,57,51,62,61,53,44
632,46,30,38,54,22,14,29,48,6,45
638,22,61,13,53,21,5,14,6,45,54
653,41,49,57,42,43,50,58,33,34,35
659,50,58,42,41,43,49,57,51,34,35
661,21,29,13,5,23,24,15,16,32,7
669,13,21,5,22,29,14,30,6,37,23
702,17,18,25,28,9,1,26,10,2,27
703,7,8,15,16,23,24,32,31,40,22
719,30,40,23,24,48,15,16,32,7,8
727,17,18,33,28,25,26,9,1,10,27
732,45,37,21,29,30,22,13,14,5,46
746,17,18,25,9,1,26,10,2,19,11
750,18,17,26,25,9,10,1,27,19,2
751,3,12,4,11,13,5,19,10,2,9
764,12,4,20,3,28,11,36,13,5,19
765,59,43,62,49,57,54,51,61,52,53
784,49,57,51,61,53,59,60,50,58,43
820,22,14,6,30,23,24,15,16,32,7
822,36,44,52,28,59,49,57,20,35,51
827,29,21,13,59,49,5,57,52,45,50
848,40,23,48,24,56,15,16,32,7,8
850,17,18,25,28,9,26,1,10,27,2
