,OSR1,SOX3,CHD,VED,OTX1A,WNT11,NOTO,BAMBIA,MIXL1,ADMP
,CST3,EVE1,TA,GATA5,SNAI1A,GATA2A,SEBOX,FOXD5,CDX4,ID3
33,41,33,25,17,9,1,26,18,10,2
54,41,25,33,26,27,42,43,57,49,58
75,21,12,4,3,13,5,28,29,30,14
84,25,26,33,27,17,9,1,41,58,50
86,34,35,36,52,33,17,9,1,28,18
90,6,14,22,46,30,47,7,8,48,16
91,9,17,1,26,25,33,18,27,10,2
95,17,9,1,25,33,26,18,10,2,27
119,41,53,57,49,42,43,25,26,27,50
122,52,36,44,35,34,37,43,42,45,59
133,33,17,9,1,25,18,26,10,2,27
143,17,9,1,33,18,10,25,2,26,19
155,40,39,32,31,24,23,48,47,16,15
162,17,9,1,33,25,18,10,26,2,19
179,17,9,1,25,18,2,10,26,35,34
200,17,9,1,25,26,18,10,2,27,19
206,17,9,33,1,6,25,14,38,7,39
209,33,25,17,26,9,1,18,10,2,27
216,51,58,50,35,57,34,49,43,42,44
236,33,17,9,1,18,25,10,2,26,19
246,19,11,10,2,18,20,1,9,27,17
251,40,39,32,31,24,23,16,15,48,8
254,19,11,10,2,18,20,3,1,4,9
259,33,17,9,1,25,26,18,10,2,27
267,3,4,12,28,19,2,10,11,18,34
284,33,17,49,9,1,57,25,26,18,50
295,19,11,10,2,27,18,20,28,1,9
302,62,61,54,45,53,64,63,55,56,46
310,57,49,58,50,51,42,59,43,41,60
318,51,57,58,49,50,59,61,60,43,44
325,21,31,24,32,23,16,13,15,5,8
346,59,52,60,36,51,44,58,50,35,33
363,51,58,50,59,60,57,49,41,44,52
367,22,14,6,31,32,24,23,16,30,15
377,40,39,31,32,24,23,16,15,8,7
385,31,32,24,23,16,15,8,7,40,39
391,59,60,52,51,58,57,50,49,44,43
392,9,1,17,18,26,25,10,2,27,19
402,21,3,5,13,4,12,33,17,9,1
407,56,55,64,63,48,47,62,46,54,61
412,57,58,49,50,51,62,61,53,42,59
413,49,57,59,58,50,60,51,42,52,34
430,35,37,22,32,13,34,5,36,31,21
461,49,57,41,50,58,42,51,43,59,33
462,34,35,36,44,43,37,42,51,57,22
476,17,33,9,1,18,25,10,2,26,19
477,59,60,52,51,58,50,57,49,41,43
489,17,9,1,33,25,18,26,10,2,27
490,57,49,41,50,58,51,42,43,62,33
496,34,35,36,9,1,49,52,17,57,33
513,57,49,41,50,58,51,42,33,43,59
518,3,9,1,17,4,18,12,10,2,33
533,12,4,3,20,11,19,10,2,27,18
541,3,4,12,19,11,10,2,18,20,27
545,57,49,50,58,51,59,60,42,43,34
546,22,32,31,14,24,6,23,16,15,8
553,50,58,51,57,49,43,42,59,35,44
580,62,64,56,63,55,61,54,53,46,48
587,53,61,62,63,64,55,56,54,50,58
590,49,57,41,34,50,42,58,35,51,33
602,33,25,26,27,17,41,9,1,18,34
617,27,26,18,10,1,9,25,2,17,19
630,3,10,18,19,2,27,11,4,12,1
642,60,59,51,62,61,58,50,52,53,54
646,50,58,57,51,49,59,43,42,60,35
648,3,4,12,19,10,11,2,18,28,1
677,59,41,49,57,60,9,17,1,33,18
692,56,64,55,63,62,61,54,48,47,46
693,60,59,57,49,50,58,51,52,42,43
697,64,56,55,63,61,62,54,48,47,53
698,56,55,64,63,62,48,47,54,46,61
701,62,61,29,6,54,14,53,37,30,21
704,57,49,50,58,51,59,42,43,60,44
710,61,62,54,63,64,55,56,53,46,45
726,57,49,50,58,41,51,42,59,43,33
730,34,18,1,9,17,10,28,2,19,33
734,32,31,24,23,16,15,8,7,38,22
736,31,32,24,23,16,15,8,7,22,14
739,28,18,27,10,2,1,9,26,19,17
741,22,14,6,21,13,5,31,24,32,23
756,27,26,33,25,41,42,50,58,34,18
761,63,64,62,55,56,53,61,54,60,45
770,32,31,24,23,16,15,8,7,48,47
835,33,26,25,27,17,10,18,2,9,1
839,41,57,49,50,58,33,51,42,25,34
