,SOX3,OSR1,CHD,VED,NOTO,BAMBIA,WNT11,GATA5,GATA2A,MIXL1
,CST3,EVE1,BMP7A,FOXD5,SNAI1A,OTX1A,ADMP,NDR1,TA,ID3
5,31,32,23,24,16,15,39,8,40,7
7,31,32,24,23,16,39,40,15,8,7
20,21,29,28,13,12,4,5,61,3,20
35,20,44,33,52,11,19,17,12,60,4
36,25,26,17,9,1,18,33,27,10,2
49,49,57,41,50,58,33,59,51,42,34
53,33,27,26,19,11,10,25,20,2,34
63,56,55,64,63,62,48,47,54,61,46
72,56,55,64,63,48,47,62,61,46,54
89,33,41,11,19,10,20,2,18,1,9
102,48,56,55,47,31,32,23,24,64,16
115,21,5,13,12,4,3,6,29,14,22
120,33,41,34,35,9,1,17,18,26,2
121,32,40,31,39,24,48,23,47,16,15
125,33,34,49,25,35,57,41,17,9,1
128,33,34,17,35,9,1,25,18,26,10
130,62,61,54,63,64,60,55,53,56,51
139,31,32,24,23,16,15,8,7,40,39
145,60,62,61,59,54,52,56,55,64,63
146,37,29,38,36,39,40,30,45,21,32
158,64,56,55,63,62,61,54,48,47,46
159,56,55,64,63,48,47,62,45,40,39
172,60,59,52,44,51,61,58,50,53,62
194,17,9,1,33,25,18,2,10,26,19
226,17,1,9,41,25,18,26,2,10,27
227,32,31,24,23,16,15,8,7,40,39
242,49,57,58,60,50,51,59,61,41,44
258,21,31,32,24,23,16,15,39,40,8
277,33,41,49,57,34,50,58,35,25,26
291,60,59,51,58,50,52,43,57,42,49
301,48,47,40,39,56,55,64,63,32,31
319,62,54,56,55,64,63,53,61,46,48
333,41,33,49,57,25,26,34,27,42,17
337,46,38,56,55,64,45,63,48,54,47
344,31,32,24,23,16,15,39,8,40,7
360,1,9,17,18,2,25,10,26,27,19
366,42,43,50,58,51,34,52,35,57,49
368,49,57,58,50,60,51,59,42,61,43
371,50,58,41,49,57,42,51,34,59,43
372,60,61,51,58,59,50,57,49,62,53
376,17,25,9,1,26,18,2,33,10,27
383,41,49,57,50,58,33,51,25,26,42
394,17,9,1,25,26,18,2,10,19,27
395,41,33,25,26,34,42,49,57,35,27
400,49,57,50,58,51,59,42,41,43,60
409,32,31,24,39,23,40,16,15,21,8
414,32,40,31,39,24,23,16,15,8,7
435,44,60,58,50,51,59,42,43,57,52
438,17,9,1,25,18,26,2,10,27,19
452,60,59,49,57,62,61,58,50,53,52
456,38,46,62,56,55,64,63,54,48,47
459,49,57,35,34,58,50,51,42,43,59
471,6,14,22,30,21,7,5,13,15,8
484,56,55,64,63,48,47,40,39,32,31
495,49,57,50,58,42,51,41,59,43,34
497,58,51,50,57,49,41,59,43,42,60
504,49,57,41,50,58,59,60,51,42,25
506,60,51,58,50,59,43,57,49,42,61
510,31,32,24,23,16,39,40,15,8,7
549,21,5,13,29,12,4,3,6,28,14
594,33,17,9,1,18,10,2,25,26,19
610,32,31,24,39,40,23,16,15,30,8
618,33,21,25,41,26,35,34,30,27,3
627,28,18,10,2,1,9,19,17,11,27
633,31,32,23,24,16,15,8,7,40,39
649,49,57,50,58,51,42,43,59,34,60
667,6,14,22,21,5,30,13,7,8,15
679,3,4,12,21,5,13,28,11,19,10
681,21,5,13,12,4,3,28,6,29,14
683,9,1,17,18,10,2,19,26,28,25
689,21,32,31,24,23,16,15,30,39,8
700,48,47,56,55,64,63,40,32,39,31
715,40,39,32,31,24,23,16,15,8,7
724,57,49,50,58,42,51,43,59,34,35
742,33,34,35,41,5,13,3,4,12,21
744,62,54,61,56,55,64,63,53,46,38
749,3,4,12,9,1,18,17,10,2,28
781,3,4,12,5,13,21,19,10,2,11
793,49,57,34,35,50,58,41,42,33,51
814,35,34,36,43,42,44,57,49,52,50
818,45,21,30,40,6,39,14,22,5,46
823,28,18,10,2,1,9,17,19,11,27
831,28,18,10,19,2,11,1,9,17,20
843,48,47,32,31,40,39,24,23,16,15
849,51,50,58,59,43,57,49,60,42,35
