,SOX3,OSR1,CHD,VED,BAMBIA,GATA5,NOTO,FOXD5,MIXL1,OTX1A
,EVE1,WNT11,GATA2A,SNAI1A,CST3,WNT8A,TA,FOXD3,GSC,CDX4
12,50,58,51,59,57,49,60,42,35,34
26,35,34,36,42,43,3,58,50,9,1
45,33,25,51,58,50,57,26,49,59,41
51,47,49,57,48,42,59,34,50,58,35
67,33,17,25,9,1,26,18,2,10,27
73,52,60,59,41,44,51,49,57,17,9
77,33,25,17,26,9,1,34,18,35,27
85,50,58,51,57,59,49,60,42,43,44
101,61,62,63,64,56,55,54,53,60,59
103,28,3,4,12,34,19,11,10,2,18
105,62,61,55,49,57,63,64,56,50,58
107,49,57,41,50,58,42,33,25,26,51
132,12,4,3,13,5,28,6,14,21,22
136,57,49,43,36,35,42,58,50,34,44
141,51,59,60,44,52,57,49,58,50,61
166,17,9,1,33,25,18,26,10,2,27
168,10,19,2,18,11,1,9,17,20,27
170,5,13,12,4,21,3,28,20,11,19
180,6,22,14,5,13,21,7,8,16,15
182,62,61,59,60,64,63,55,56,51,58
197,44,51,60,59,43,52,58,50,36,42
211,49,57,51,59,50,58,42,60,34,41
214,35,34,36,9,1,17,26,18,25,10
219,49,57,50,58,41,42,51,43,59,60
235,17,9,1,33,41,25,18,26,10,2
239,17,9,1,18,10,2,25,26,19,33
245,62,54,55,53,61,45,46,56,64,38
247,9,1,17,18,10,2,26,25,34,35
257,9,17,1,18,2,25,10,33,26,19
260,22,14,6,32,24,23,16,15,8,30
268,53,61,60,45,62,59,52,44,54,51
270,57,49,58,50,51,42,59,43,60,61
279,17,33,25,9,1,26,18,10,2,27
315,62,59,61,53,60,54,57,49,50,63
322,49,57,50,58,51,42,59,43,34,41
331,34,35,33,49,57,25,26,42,36,27
338,9,1,17,18,10,2,28,19,26,25
350,40,29,39,21,32,37,48,31,24,23
403,48,47,55,56,64,63,46,40,39,31
405,33,17,25,9,1,26,18,2,10,19
411,58,50,51,59,43,42,57,49,41,53
415,33,25,17,26,9,1,18,27,10,2
421,21,13,5,30,6,14,22,29,7,15
427,29,56,63,64,55,37,21,53,13,32
447,48,32,47,24,23,31,16,40,15,8
465,53,61,60,59,62,51,55,52,45,54
475,41,33,25,26,27,17,9,1,18,34
480,9,36,1,18,17,10,2,19,20,11
481,59,60,51,52,53,61,45,62,44,58
486,41,25,17,33,9,1,26,18,10,2
531,12,3,4,28,11,19,20,10,2,18
543,32,24,23,16,15,8,7,31,40,39
551,21,29,37,30,13,40,36,5,12,4
554,60,52,59,12,4,3,44,21,51,13
561,20,11,19,12,4,2,10,3,28,18
572,3,19,10,11,2,18,4,12,1,9
584,35,34,36,42,43,33,17,9,1,25
593,18,9,1,10,17,2,19,26,11,27
601,51,59,60,44,58,50,52,43,42,53
612,31,22,32,24,23,14,16,6,15,8
614,21,22,24,23,32,14,16,13,15,6
615,32,24,23,16,15,8,40,7,48,31
623,32,24,23,16,15,31,8,7,29,40
628,40,24,32,23,16,15,8,7,39,31
640,20,11,19,12,13,5,4,2,10,27
641,62,54,63,64,55,56,61,46,59,42
650,3,12,4,35,28,34,11,10,2,19
656,49,57,41,58,50,51,9,1,17,42
664,18,10,2,19,1,9,17,27,11,26
675,22,14,6,32,24,16,23,15,8,7
684,39,40,31,32,30,37,38,24,22,23
691,61,64,62,56,63,50,58,55,46,51
695,27,26,25,13,33,5,12,4,20,3
709,3,12,4,5,13,11,19,20,10,2
716,28,10,18,19,2,11,1,9,17,27
722,13,5,12,4,3,21,20,11,19,22
733,32,24,23,16,15,8,7,31,40,22
748,42,50,58,43,51,44,52,59,60,34
769,40,32,24,23,16,15,8,7,39,31
772,18,10,2,1,9,19,17,11,27,26
779,49,57,50,58,42,41,51,34,43,59
829,28,18,10,2,1,9,19,17,11,27
832,28,18,10,2,19,1,9,17,11,20
842,62,61,54,53,60,55,59,63,64,56
