,MIXL1,SOX3,CHD,VED,BAMBIA,NOTO,GATA5,OSR1,GATA2A,OTX1A
,EVE1,WNT11,SNAI1A,FOXD5,CST3,WNT8A,TA,FOXD3,GSC,CDX4
2,33,25,26,27,17,9,1,18,10,2
8,17,9,1,18,2,10,33,25,35,26
31,33,25,17,9,1,26,18,10,2,27
32,33,25,26,17,9,1,27,18,10,2
43,9,1,17,18,10,2,26,41,27,25
48,49,57,42,50,58,51,43,59,44,60
74,22,14,6,30,32,24,23,16,15,8
76,49,57,50,58,34,42,35,51,43,59
78,23,24,32,16,15,8,7,31,48,40
88,49,57,50,58,42,34,35,43,51,36
98,9,1,17,18,62,10,2,54,19,11
112,41,34,42,33,35,25,50,58,26,49
117,51,59,60,58,50,57,49,44,52,43
118,39,21,30,31,38,29,45,37,22,14
124,57,49,58,50,42,43,51,41,59,35
127,17,9,1,18,25,10,33,2,26,19
150,42,34,58,35,50,43,41,9,1,17
153,59,53,51,60,61,52,58,50,44,62
181,32,24,23,16,15,8,7,31,40,48
198,6,14,22,21,30,5,13,34,3,37
208,21,13,29,5,31,32,24,23,16,15
215,51,50,59,58,61,42,62,49,57,53
218,49,57,41,50,58,25,26,33,27,42
224,33,17,25,9,1,26,18,10,2,27
276,54,53,55,62,61,45,56,63,64,46
280,60,59,51,52,58,50,57,49,44,43
290,17,9,1,18,10,2,25,33,34,26
296,58,50,51,59,60,43,57,49,44,42
313,17,33,9,1,25,26,18,10,2,27
327,33,25,17,9,1,26,18,10,2,27
328,17,9,1,33,25,18,26,10,2,19
354,9,1,17,18,10,2,28,19,11,26
369,17,9,1,33,25,18,10,2,26,5
374,51,59,57,49,60,61,58,50,62,53
378,59,60,58,50,52,51,61,43,42,44
381,51,59,58,50,60,43,44,42,52,57
386,61,62,59,53,54,60,51,55,45,52
416,51,49,57,59,58,50,60,44,42,52
423,21,35,36,37,29,34,5,3,13,9
425,62,61,53,59,54,60,55,45,52,46
437,17,9,33,1,29,25,34,35,18,26
440,17,9,1,18,10,2,19,11,25,33
442,49,57,41,50,58,59,42,51,33,43
443,28,19,27,10,2,18,11,1,26,9
453,28,19,10,11,2,18,1,9,17,20
470,32,24,23,21,16,15,8,7,29,31
494,61,62,53,54,55,51,59,64,63,56
507,50,58,42,49,57,59,43,34,41,51
509,41,49,57,33,25,17,26,9,1,50
514,49,57,6,14,7,8,15,22,16,23
524,17,9,1,33,25,41,18,26,34,51
526,29,37,34,35,21,36,45,9,1,17
544,32,24,23,16,15,8,7,31,22,21
559,59,57,51,49,50,58,60,42,43,52
565,41,42,43,57,33,49,50,58,25,35
570,28,18,10,1,9,2,17,19,11,27
571,40,32,24,23,16,15,39,8,7,31
573,62,60,59,41,57,50,49,61,58,54
574,35,34,33,43,36,41,17,42,1,9
577,18,10,2,19,1,9,17,11,27,26
578,34,35,42,36,17,9,1,33,25,18
582,5,13,21,3,6,4,12,14,22,11
595,48,47,64,56,63,55,40,39,54,32
620,28,18,10,19,2,1,9,11,17,27
624,50,58,43,51,59,42,60,41,44,52
625,27,26,25,33,10,18,2,34,19,1
629,30,40,21,32,29,24,23,39,16,15
637,50,58,60,59,51,57,49,52,43,44
643,3,4,12,11,19,10,2,18,5,20
644,40,32,48,24,23,39,16,15,8,31
651,61,62,54,64,63,56,55,53,46,45
652,21,12,4,3,30,6,5,14,22,13
660,37,17,5,13,9,1,33,18,34,10
668,32,24,23,16,15,8,7,31,40,48
713,57,49,50,58,41,51,42,43,59,33
743,34,35,36,42,50,43,57,58,49,44
767,40,32,48,24,23,16,56,30,15,39
771,41,57,49,50,58,51,33,25,48,26
780,18,10,1,9,2,27,19,17,26,28
789,13,5,22,14,6,12,4,21,3,27
790,24,23,32,16,15,8,7,31,40,22
791,51,59,60,44,52,50,58,43,41,42
811,57,49,50,58,41,42,51,43,34,35
824,60,59,52,51,44,61,58,53,50,43
838,21,29,32,24,23,16,15,8,7,31
