,OSR1,SOX3,CHD,VED,OTX1A,WNT11,BAMBIA,NOTO,MIXL1,GATA2A
,EVE1,ID3,WNT8A,GATA5,SNAI1A,FOXD3,CST3,SP5L,SEBOX,ADMP
14,32,24,23,16,40,15,8,7,31,39
15,61,62,53,54,63,64,56,55,60,59
21,57,49,50,58,61,53,60,62,42,41
39,58,50,59,61,60,53,57,49,51,42
42,33,17,9,1,25,26,18,10,2,27
57,34,9,1,17,18,2,10,33,26,25
62,17,9,1,33,18,25,26,10,2,34
66,58,50,51,49,57,60,59,9,1,17
68,25,26,17,33,9,1,18,10,2,49
99,17,9,1,25,18,26,19,27,2,10
109,33,25,34,26,17,49,9,1,57,41
129,21,5,13,3,4,12,18,1,9,10
140,51,49,57,59,60,44,52,41,43,50
142,34,33,25,17,26,9,1,18,41,10
147,60,59,51,52,61,44,53,62,58,50
171,41,33,17,9,1,25,34,18,26,10
175,41,33,27,17,25,19,35,11,9,1
188,59,60,52,51,61,43,44,62,53,57
189,51,59,60,44,49,57,52,43,50,58
192,3,17,9,1,4,12,18,10,33,2
228,53,61,58,50,62,60,54,57,49,64
237,33,57,49,25,26,34,17,50,9,58
243,5,13,12,4,21,3,20,19,11,29
249,49,57,41,50,58,33,17,9,1,25
250,32,24,23,16,15,8,7,40,31,39
253,49,57,41,50,58,42,43,51,17,25
256,53,61,59,60,51,62,58,50,54,52
281,33,34,49,57,25,41,26,17,9,1
300,60,61,59,53,51,62,52,44,54,45
307,54,56,64,63,55,53,45,62,46,48
311,10,2,18,26,1,9,17,25,11,19
312,32,40,24,23,16,15,8,7,31,39
324,33,25,17,9,1,27,26,19,18,11
332,3,12,4,10,2,18,1,9,28,17
353,54,62,56,55,64,63,61,14,6,22
355,33,25,26,17,9,1,18,41,10,2
364,49,57,50,58,41,42,51,59,60,25
379,47,55,48,39,56,31,64,46,63,62
387,60,58,50,26,25,51,57,49,59,47
428,49,57,10,2,18,19,11,41,1,9
431,43,51,35,27,19,44,11,59,3,36
436,49,57,50,33,58,42,59,41,43,34
439,49,57,41,50,58,42,51,43,59,33
448,12,28,4,3,30,36,22,14,21,6
457,58,50,42,44,43,52,51,36,34,60
487,49,57,43,51,35,59,27,19,11,41
492,35,36,51,43,59,44,37,27,19,28
502,42,41,34,57,49,50,25,58,26,33
503,34,35,36,42,9,17,1,18,33,10
512,10,2,18,1,9,17,26,11,19,20
517,60,51,59,52,43,44,61,57,58,49
542,21,13,5,29,12,4,3,28,37,30
557,59,53,61,57,49,62,50,58,51,60
567,33,25,26,17,9,1,18,2,10,27
568,30,39,22,31,21,14,6,38,12,52
581,32,48,24,23,16,40,15,8,7,31
585,48,47,32,40,31,24,56,23,39,16
589,49,57,41,50,58,42,26,10,18,2
597,10,18,2,1,9,17,26,33,25,19
606,49,57,28,27,20,51,11,19,43,50
609,10,18,2,1,9,17,26,25,19,11
611,43,3,12,4,44,28,52,21,11,19
634,49,57,59,60,43,41,52,51,19,27
655,64,63,56,55,61,62,54,53,48,46
670,9,1,17,26,18,25,2,10,7,63
674,32,24,23,16,40,15,8,7,31,39
676,32,24,23,16,15,8,7,40,31,39
678,47,46,51,31,45,38,44,39,41,48
688,32,24,23,16,15,7,8,40,31,39
714,59,60,61,52,53,51,57,49,62,50
725,59,60,52,51,44,61,53,43,62,57
728,27,28,18,10,26,2,1,9,19,17
729,27,19,11,35,28,20,51,44,43,3
731,10,2,18,1,9,17,3,12,4,26
763,21,3,10,2,18,12,4,5,1,13
774,61,62,53,60,54,63,64,56,59,55
778,21,53,29,13,5,45,61,37,54,56
783,27,19,11,28,9,1,18,17,26,2
796,59,60,52,51,53,44,43,61,62,56
800,49,57,41,50,58,42,26,25,17,9
802,32,24,23,16,15,40,8,7,31,39
815,23,24,32,16,15,7,8,21,13,5
819,32,24,23,16,15,40,8,7,31,39
821,7,15,16,23,8,24,32,31,6,14
833,3,19,11,27,4,12,20,28,43,9
