,SOX3,OSR1,CHD,VED,WNT11,GATA5,NOTO,GATA2A,MIXL1,OTX1A
,EVE1,WNT8A,BAMBIA,TA,FOXD5,SNAI1A,CST3,NDR1,FOXD3,GSC
1,32,40,24,23,16,15,8,31,7,39
9,9,1,17,18,26,10,2,25,27,33
24,61,62,53,54,60,59,63,64,56,55
25,57,49,58,59,50,60,51,52,43,42
28,21,30,29,22,14,6,13,31,5,37
55,49,57,58,50,42,51,43,59,60,34
58,17,9,1,18,2,10,25,33,26,19
69,48,47,40,39,32,46,24,23,8,16
83,51,59,60,52,44,57,49,58,50,41
87,60,59,51,52,44,58,50,43,61,42
92,18,28,1,9,10,2,17,19,11,26
94,32,24,23,16,48,15,8,7,40,31
104,17,9,1,33,25,18,10,26,2,19
106,12,4,21,3,28,13,5,20,6,14
110,57,58,49,50,51,41,59,43,42,60
113,33,25,17,9,26,1,41,58,57,50
149,51,49,57,59,60,50,58,34,61,44
152,32,24,23,16,15,40,48,8,7,31
157,28,11,19,10,2,18,20,1,9,17
161,17,33,9,1,25,26,18,35,34,2
187,17,9,1,25,26,33,18,10,2,27
217,51,50,58,59,42,60,49,41,57,44
255,49,57,42,50,58,41,43,59,51,60
261,7,8,15,16,23,24,32,31,48,40
269,33,25,17,9,1,26,41,18,2,10
283,41,49,57,50,42,58,33,25,51,26
298,52,60,44,59,51,41,43,53,42,58
305,33,25,26,41,27,49,57,17,34,9
306,1,9,17,18,10,2,26,25,28,33
336,60,53,61,59,62,52,54,51,45,44
340,58,50,42,49,57,51,59,43,60,34
352,21,40,32,30,39,24,23,29,22,16
358,28,9,17,1,18,10,2,25,26,19
375,33,25,17,9,1,26,18,10,2,27
390,48,47,32,24,23,16,40,15,8,7
396,25,33,17,9,1,26,18,10,2,27
397,53,61,62,63,64,54,55,59,56,60
401,51,49,57,59,61,60,62,50,58,44
419,51,59,52,44,60,57,49,42,58,50
424,62,61,54,53,63,64,56,55,59,46
429,17,9,1,33,25,18,10,2,26,19
450,29,17,9,1,33,25,18,28,2,10
454,63,64,56,55,62,61,48,54,47,46
467,41,25,26,33,27,17,9,1,18,10
474,17,9,1,18,10,34,2,25,33,26
478,41,49,57,33,25,26,42,27,34,50
483,49,57,41,50,58,51,33,25,42,26
488,34,35,36,37,17,9,1,18,28,2
493,21,13,5,16,7,15,23,24,8,29
528,59,51,49,57,50,41,58,42,43,60
534,5,13,21,3,6,9,1,17,4,12
552,1,9,17,18,10,2,19,11,3,26
560,49,57,41,59,50,58,51,42,33,62
562,21,5,13,12,4,3,6,14,22,29
563,30,22,14,6,45,37,21,31,32,39
586,33,25,41,26,27,17,9,1,49,57
598,49,57,58,50,42,34,51,59,41,35
599,51,60,59,44,57,49,41,50,58,52
600,3,4,12,28,18,10,2,19,1,9
604,9,1,17,18,10,2,19,11,26,25
607,3,4,12,28,11,19,10,2,18,1
621,3,4,12,11,19,10,2,18,20,1
663,32,24,23,16,15,40,8,7,31,39
665,48,23,32,24,16,15,8,7,47,31
673,31,39,32,40,24,23,16,15,8,7
680,3,1,9,17,18,10,2,19,11,4
694,24,23,32,16,15,8,7,40,31,29
707,27,26,25,33,10,18,2,19,1,9
712,23,24,32,16,15,8,7,40,31,39
723,33,25,59,50,57,26,58,49,27,51
754,21,29,13,5,30,40,37,22,39,14
760,13,5,56,64,21,63,29,53,55,61
766,62,61,54,63,64,56,55,53,46,45
795,62,56,55,29,30,54,64,22,63,32
797,21,3,4,12,5,13,28,11,19,10
799,10,18,2,19,1,9,11,17,27,26
801,12,11,20,4,3,36,19,43,44,27
809,31,39,38,45,46,47,32,24,23,16
813,60,59,51,52,58,50,57,49,44,43
834,57,50,49,42,58,43,41,35,51,34
837,41,27,26,10,2,11,18,42,25,33
845,12,3,4,28,21,11,20,19,10,2
846,28,11,19,10,2,18,20,1,9,17
851,50,58,61,51,62,57,49,59,46,41
