,OSR1,SOX3,VED,CHD,NOTO,BAMBIA,GATA5,MIXL1,GATA2A,EVE1
,CST3,NDR1,WNT11,SNAI1A,FOXD5,OTX1A,ADMP,BMP7A,TA,FOXD3
11,41,49,57,33,25,34,50,58,26,42
17,30,22,24,23,32,16,14,15,8,7
19,33,9,1,18,17,10,2,19,28,26
22,17,9,1,25,18,2,10,26,19,11
27,6,14,22,30,21,7,8,5,15,16
29,17,25,9,1,26,18,33,10,2,27
46,49,57,58,50,60,34,35,51,42,43
52,58,50,59,34,35,57,49,51,33,42
59,17,9,1,25,18,26,2,10,19,27
60,25,17,9,1,26,18,2,10,27,19
65,59,51,52,60,57,49,41,58,50,44
71,49,57,41,42,34,50,58,33,35,43
93,60,34,35,33,58,50,59,51,61,17
96,40,32,24,23,16,15,8,39,31,7
100,61,62,55,63,64,54,53,56,25,60
116,57,49,41,51,34,35,50,33,58,59
134,34,35,36,42,43,57,49,50,58,44
135,6,14,21,22,5,13,31,7,30,8
148,21,5,13,6,14,22,34,30,35,29
151,63,64,55,56,62,54,61,48,47,7
176,33,34,41,25,26,35,27,49,57,42
177,44,3,49,57,42,52,36,43,4,12
191,21,30,22,14,6,13,5,29,32,24
193,56,64,63,55,48,47,40,62,54,39
195,33,9,1,17,18,2,25,26,10,19
221,30,22,14,32,24,23,6,16,15,8
223,28,29,36,20,11,37,19,12,4,10
231,60,51,58,50,59,57,49,41,43,52
234,53,52,60,45,44,61,54,59,62,55
238,17,9,1,18,2,10,19,11,25,3
264,49,57,41,25,26,33,50,58,27,42
272,34,49,57,35,33,42,41,27,26,43
278,9,1,17,34,18,26,33,2,10,35
287,17,9,1,18,2,10,28,44,36,3
292,49,57,41,58,50,60,51,33,42,59
317,24,23,16,32,15,8,7,31,40,39
330,3,36,28,2,10,18,1,9,4,17
335,53,61,60,62,59,54,52,51,55,45
343,45,59,44,62,60,46,61,58,50,51
348,41,33,51,49,57,42,52,59,25,34
349,49,57,50,41,58,42,34,51,33,43
380,25,41,26,49,57,33,17,9,1,27
399,10,2,18,28,1,9,19,17,27,11
408,33,34,17,25,9,1,26,35,18,2
434,51,59,60,58,50,57,49,52,41,43
468,3,28,4,11,19,12,10,2,18,20
473,33,17,9,1,18,2,10,25,26,34
491,21,5,13,7,8,15,16,23,6,24
499,33,17,9,1,25,18,2,10,26,19
525,58,50,51,60,43,59,42,44,57,49
530,40,32,24,23,16,15,39,31,8,7
532,36,35,34,44,17,37,9,1,25,18
535,31,39,32,24,23,16,15,8,7,40
539,28,19,10,18,2,11,3,1,9,4
550,31,39,32,24,23,16,15,40,8,7
564,32,24,23,16,15,8,31,7,40,30
575,33,19,10,11,18,2,1,9,27,17
588,64,56,63,55,62,61,54,48,47,53
591,32,24,23,16,15,40,8,7,31,39
635,58,57,50,49,51,41,59,60,43,42
636,38,55,56,64,63,62,50,58,46,51
645,24,23,32,16,15,8,7,31,40,39
671,32,40,24,23,16,15,8,7,31,39
672,17,3,9,1,25,18,2,26,10,4
685,33,9,1,17,18,2,10,25,26,19
696,51,62,59,61,60,55,54,52,50,58
708,32,24,23,48,16,15,8,7,40,31
720,57,49,50,58,42,51,43,59,41,34
721,17,9,1,18,25,10,26,2,27,19
737,57,50,58,49,51,43,59,42,60,44
738,21,5,13,6,14,29,22,30,37,7
747,56,64,63,55,62,48,47,54,61,46
768,24,23,32,16,15,8,7,40,31,39
777,7,8,15,16,23,24,32,31,40,6
785,3,12,4,28,11,19,20,10,2,18
803,41,57,49,42,50,58,43,51,33,34
804,30,40,22,14,6,32,39,24,16,23
806,56,64,63,55,48,54,32,62,24,47
807,21,3,17,25,9,5,1,13,26,4
808,30,22,37,45,14,21,6,40,32,39
817,61,53,55,62,54,63,64,56,60,45
826,41,49,57,33,50,58,42,34,26,43
836,7,8,15,16,23,24,29,5,32,13
840,37,30,22,14,6,21,45,32,24,23
844,10,18,19,2,11,1,9,17,20,27
847,24,32,23,16,15,8,7,40,31,39
