,SOX3,OSR1,CHD,VED,BAMBIA,GATA5,NOTO,GATA2A,MIXL1,OTX1A
,EVE1,NDR1,WNT11,FOXD5,SNAI1A,CST3,ADMP,VOX,TA,FOXD3
3,59,60,57,49,52,58,50,61,51,62
4,32,24,23,16,15,8,40,7,31,39
16,17,33,9,1,34,25,35,18,26,2
23,33,17,25,9,1,51,26,18,2,10
34,33,25,26,27,41,34,35,17,9,1
38,21,29,30,22,14,6,13,5,24,23
44,51,50,58,59,49,57,60,63,64,62
56,34,35,33,25,57,49,26,27,17,9
64,11,19,10,2,18,3,1,20,9,17
82,34,17,9,33,1,35,25,18,26,2
108,5,13,45,17,9,1,18,2,10,19
111,49,57,50,58,59,51,34,60,42,41
114,49,57,42,33,25,26,34,17,9,1
126,41,33,25,26,27,17,9,1,34,18
131,58,50,57,49,59,51,60,61,43,42
138,9,1,17,18,2,10,25,26,33,19
163,17,9,1,33,41,25,18,2,10,26
164,32,24,23,16,15,8,31,40,7,39
165,44,51,59,60,43,52,42,45,53,58
174,9,1,17,18,26,25,2,33,10,27
201,1,9,17,18,2,10,19,11,26,25
204,21,6,14,22,5,13,30,7,29,8
205,17,9,1,18,2,10,3,25,33,26
213,17,25,33,41,9,1,26,18,2,10
222,61,62,55,59,54,60,53,63,64,52
232,57,49,51,60,50,58,59,44,42,43
252,56,48,7,8,15,16,55,23,24,47
265,62,54,56,64,63,55,61,53,60,52
275,57,49,58,50,41,51,59,43,42,61
282,33,25,26,27,34,17,9,1,41,35
286,33,17,25,9,1,26,18,2,10,27
288,34,17,9,35,1,33,25,18,26,2
293,33,17,9,1,25,26,18,2,10,34
294,60,62,59,58,61,50,51,57,49,52
297,36,35,34,59,52,60,49,57,28,61
329,54,61,52,53,62,59,46,60,45,38
341,39,31,40,32,24,23,16,15,8,7
342,50,58,49,57,41,42,51,34,59,43
345,49,57,50,58,41,51,60,59,33,25
356,32,23,24,16,15,8,7,40,31,39
373,34,35,10,18,2,19,1,9,11,17
384,44,45,60,53,52,51,43,46,59,54
389,32,24,23,40,16,15,8,7,31,48
398,33,25,17,9,1,26,18,2,10,49
418,41,57,49,50,33,58,25,42,26,34
420,36,37,44,35,43,34,60,59,45,53
426,58,50,51,57,49,59,43,42,41,60
432,33,25,17,26,9,1,34,18,2,27
433,33,25,26,17,9,1,27,18,2,10
441,60,59,51,52,61,58,50,44,62,53
449,49,57,50,58,42,51,43,59,41,34
451,57,49,58,50,33,17,25,9,1,51
463,33,25,26,41,27,42,34,35,43,49
464,60,59,58,50,52,51,57,49,62,61
482,60,61,59,62,52,51,53,63,64,54
505,18,26,27,10,1,9,2,17,25,19
519,61,60,53,62,59,51,52,45,54,58
529,60,59,52,58,51,50,57,49,44,43
547,23,24,32,16,15,8,7,40,31,39
548,57,49,50,58,34,51,35,59,42,60
569,53,61,57,49,50,58,51,62,43,37
579,28,18,1,9,10,2,17,19,11,34
592,49,57,42,50,58,43,51,34,41,35
603,60,59,52,51,58,50,57,49,61,44
632,51,60,41,59,44,53,61,55,54,49
638,45,53,37,61,54,21,30,22,46,62
653,50,58,51,57,49,59,43,42,41,60
659,50,58,49,57,51,42,41,43,59,34
661,21,29,30,22,37,14,13,6,5,24
669,34,35,36,3,12,4,52,49,57,6
702,41,27,26,25,33,18,10,2,19,1
703,32,40,24,23,16,15,31,8,39,7
719,48,40,47,39,32,24,23,31,16,15
727,33,17,9,1,25,35,34,28,18,26
732,6,14,22,30,7,45,21,8,5,15
746,17,9,1,18,2,10,25,33,26,19
750,18,10,2,19,1,9,11,17,20,27
751,3,4,12,19,10,11,18,2,1,9
764,12,4,3,5,13,11,20,19,10,2
765,50,43,58,51,59,42,57,49,35,44
784,57,49,50,58,51,59,41,43,42,60
820,21,3,4,12,5,13,6,14,22,28
822,59,51,60,44,52,35,36,34,57,49
827,17,9,1,33,25,18,5,2,10,26
848,24,23,32,16,15,8,7,40,31,48
850,33,25,17,9,1,26,18,10,2,27
