,OSR1,SOX3,CHD,VED,OTX1A,WNT11,NOTO,BAMBIA,APLNRB,ADMP
,TBX16,WNT8A,GSC,CST3,MIXL1,EVE1,TA,GATA5,FOXI1,SP5L
,FGF8A,LFT2,SNAI1A,GATA2A,SEBOX,LFT1,AXIN2,ID3,FOXD5,NDR1
,CDX4,HES6,HER1,OTX1B,FOXD3,BMP7A,LHX1A,VOX,NDR2,VENT
33,52,28,44,20,36,4,12,33,1,2
54,27,41,33,43,35,25,26,11,19,20
75,28,4,12,20,36,21,3,5,13,35
84,41,42,33,43,34,35,1,2,9,10
86,36,34,35,28,42,41,4,12,44,20
90,39,31,47,41,44,21,46,30,7,15
91,33,41,1,2,9,10,17,18,28,34
95,1,2,9,10,17,18,28,11,19,20
119,41,25,26,27,42,53,33,43,29,49
122,36,34,35,42,44,43,52,3,37,1
133,3,33,4,12,1,2,9,10,17,18
143,33,4,12,28,34,1,2,9,10,17
155,7,15,23,39,40,31,8,16,24,32
162,3,5,13,1,2,9,10,17,18,4
179,1,2,9,10,17,18,28,11,19,20
200,1,2,9,10,17,18,28,11,19,20
206,40,7,15,23,39,8,16,24,31,32
209,33,3,34,35,1,2,9,10,17,18
216,33,1,2,9,10,17,18,28,34,35
236,1,2,9,10,17,18,37,29,5,13
246,33,1,2,9,10,17,18,11,19,20
251,7,15,23,39,40,30,8,16,24,32
254,33,3,1,2,9,10,17,18,4,12
259,11,19,20,27,3,33,4,12,28,1
267,36,21,3,37,35,28,5,13,29,4
284,51,59,52,60,44,11,19,20,27,3
295,33,49,57,1,2,9,10,17,18,28
302,59,61,52,51,62,50,58,34,54,53
310,49,57,50,58,41,51,42,59,33,43
318,36,44,49,57,42,50,58,43,1,2
325,5,13,21,6,14,22,29,30,7,15
346,34,35,60,36,53,42,59,50,58,52
363,60,51,59,52,49,57,61,44,50,58
367,5,13,21,6,14,22,45,37,29,53
377,7,15,23,39,40,8,16,24,31,32
385,7,15,23,31,8,16,24,32,39,40
391,59,43,52,35,49,57,51,36,44,60
392,1,2,9,10,17,18,28,11,19,20
402,21,30,6,14,22,5,13,29,37,38
407,64,56,63,62,55,61,54,51,50,58
412,44,46,45,38,52,54,51,30,47,36
413,49,57,42,59,50,58,43,52,34,35
430,52,5,13,34,35,21,44,36,31,42
461,1,2,9,10,17,18,11,19,25,26
462,36,3,35,28,4,12,5,13,20,44
476,1,2,9,10,17,18,11,19,20,25
477,59,52,49,57,60,50,58,41,51,62
489,35,28,11,19,20,27,36,3,4,12
490,51,59,63,49,57,64,43,52,28,35
496,5,13,36,21,3,37,1,2,9,10
513,51,49,57,59,43,50,58,35,27,41
518,34,35,3,33,43,4,12,36,11,19
533,4,12,5,13,20,36,3,28,35,11
541,3,4,12,11,19,33,1,2,9,10
545,49,57,60,59,50,58,52,61,53,37
546,5,13,21,29,6,14,22,45,37,30
553,1,2,9,10,17,18,28,11,19,20
580,64,63,56,55,62,61,54,53,48,50
587,52,44,61,53,51,55,59,45,62,28
590,3,4,12,28,44,20,27,36,11,19
602,33,34,25,26,41,1,2,9,10,17
617,33,1,2,9,10,17,18,28,34,35
630,3,4,12,11,19,20,27,1,2,9
642,59,51,52,60,50,58,61,53,49,57
646,49,57,43,51,35,50,58,36,27,44
648,30,6,14,22,4,12,36,21,3,28
677,41,43,29,28,35,21,53,11,19,20
692,64,63,56,55,62,61,54,53,60,48
693,59,60,52,51,49,57,61,53,44,50
697,64,63,56,55,62,61,54,50,58,40
698,56,64,63,55,62,48,54,61,47,40
701,53,45,37,30,46,6,14,22,38,61
704,52,49,57,51,63,61,62,64,36,44
710,63,62,64,55,56,61,54,53,59,60
726,41,49,57,51,25,26,27,44,42,59
730,1,2,9,10,17,18,28,11,19,20
734,7,15,23,8,16,24,32,31,39,40
736,7,15,23,31,8,16,24,32,39,40
739,28,11,19,27,20,3,4,12,1,2
741,7,15,23,6,14,22,8,16,24,31
756,42,41,33,43,34,35,50,58,25,26
761,62,60,61,53,59,54,52,51,55,63
770,8,16,24,32,48,7,15,23,40,31
835,33,41,25,26,27,34,35,1,2,9
839,49,57,51,59,50,58,33,43,62,41
