,SOX3,MIXL1,CHD,VED,BAMBIA,NOTO,GATA5,SP5L,APLNRB,ADMP
,GSC,FOXD5,WNT8A,OTX1A,GATA2A,OSR1,CST3,EVE1,WNT11,FOXI1
,LFT2,FGF8A,OTX1B,SNAI1A,BMP7A,TA,HES6,NOG1,NDR1,CDX4
,ISM1,ID3,VENT,FOXD3,VOX,SEBOX,LHX1A,FOXB1A,NDR2,SZL
10,52,44,46,45,41,38,51,60,47,59
30,1,2,9,10,11,3,4,12,28,33
37,28,20,35,36,19,27,11,29,3,4
40,51,59,28,43,52,35,36,20,49,57
41,28,30,35,36,20,22,7,15,23,21
47,35,36,43,52,28,34,20,21,3,4
50,8,16,24,32,40,48,64,7,15,23
79,41,28,33,3,4,12,17,18,20,34
97,3,4,12,1,2,9,10,11,33,17
123,34,35,36,49,57,60,42,59,50,58
137,51,61,59,53,28,33,52,38,20,34
156,43,28,20,35,36,41,44,19,27,11
160,60,52,59,50,58,61,53,44,51,62
167,5,13,22,21,6,14,36,44,45,37
173,6,14,7,15,23,22,8,16,24,31
183,22,6,14,21,30,5,13,29,37,7
184,28,33,41,17,18,20,34,35,36,1
199,7,15,23,54,8,16,24,31,32,39
202,51,49,57,60,59,50,58,43,52,28
203,7,15,23,8,16,24,31,32,39,40
210,28,33,17,18,20,34,35,36,19,25
225,50,58,42,59,41,49,57,63,33,43
229,1,2,9,10,11,28,3,4,12,17
230,28,20,19,27,11,17,18,35,36,3
233,22,21,5,13,6,14,30,29,7,15
248,48,8,16,24,32,40,47,7,15,23
262,35,27,59,33,43,28,41,20,34,36
263,3,4,12,34,35,36,6,14,42,44
271,49,57,50,58,41,51,42,59,28,33
289,25,26,27,30,41,28,33,22,7,15
308,56,37,45,55,54,53,30,29,46,22
320,36,28,20,35,37,21,3,4,12,5
321,33,28,36,34,35,20,17,18,41,1
326,28,20,36,3,4,12,19,27,11,17
334,7,15,23,8,16,24,32,31,40,39
347,49,57,42,43,50,58,34,35,36,44
361,63,7,15,23,64,31,56,8,16,24
388,3,4,12,34,35,36,19,11,28,33
406,51,34,35,36,50,58,44,42,59,60
410,35,36,34,49,57,42,28,33,43,52
417,49,57,50,58,30,46,22,51,6,14
422,34,35,36,44,42,43,52,33,28,53
444,21,30,22,29,36,7,15,23,6,14
445,19,11,28,33,3,4,12,20,36,17
446,7,15,23,8,16,24,32,31,39,40
458,49,57,50,58,28,17,18,20,34,35
460,51,59,52,49,57,44,60,50,58,61
469,28,36,17,18,20,30,22,1,2,9
498,28,43,20,35,36,41,44,19,27,29
501,1,2,9,10,11,17,18,3,4,12
508,49,57,33,50,58,35,34,25,26,27
515,28,33,41,17,18,20,34,35,36,1
520,17,18,20,1,2,9,10,19,25,26
522,35,36,34,42,43,28,33,41,17,18
538,31,6,14,7,15,23,22,8,16,24
540,28,20,35,36,19,27,51,49,57,11
555,64,56,63,55,62,50,58,59,54,49
556,52,60,59,44,51,49,57,43,28,45
576,49,57,51,50,58,59,44,42,52,43
605,7,15,23,31,39,8,16,24,32,40
616,7,15,23,8,16,24,31,32,6,14
619,52,60,37,45,21,59,44,49,57,30
622,7,15,23,31,8,16,24,32,39,40
626,7,15,23,5,13,8,16,24,32,31
639,19,11,17,18,20,3,4,12,1,2
657,36,28,17,18,20,34,35,21,3,4
658,51,59,60,52,50,58,44,43,36,35
662,28,17,18,20,1,2,9,10,19,25
666,28,17,18,20,36,1,2,9,10,19
686,48,8,16,24,32,40,47,7,15,23
699,8,16,24,32,7,15,23,31,40,22
706,55,62,61,63,54,64,60,56,47,53
711,7,15,23,31,8,16,24,32,6,14
717,33,41,34,49,57,25,26,42,50,58
762,50,58,49,57,51,42,59,43,52,60
773,62,50,58,54,59,63,64,61,56,49
775,8,16,24,32,40,7,15,23,31,39
776,41,42,29,21,43,28,33,17,18,20
786,36,44,28,30,22,37,20,35,3,4
787,28,17,18,20,36,27,1,2,9,10
792,49,57,50,58,59,61,60,52,53,51
794,35,27,33,43,28,41,20,34,36,49
810,37,5,13,45,21,6,14,36,29,22
816,1,2,9,10,33,11,17,18,3,4
825,28,27,20,29,8,16,24,32,40,30
830,36,3,4,12,28,5,13,11,20,35
